expediente,id_proyecto,id_adjunto,url_documento_original,archivo_local
0386-D-2026,289868,104448,https://rest.hcdn.gob.ar/web/proyectos/289868/adjuntos/104448,0386-D-2026.pdf
0396-D-2026,289873,104457,https://rest.hcdn.gob.ar/web/proyectos/289873/adjuntos/104457,0396-D-2026.pdf
0510-D-2026,289987,104562,https://rest.hcdn.gob.ar/web/proyectos/289987/adjuntos/104562,0510-D-2026.pdf
0529-D-2026,289995,104576,https://rest.hcdn.gob.ar/web/proyectos/289995/adjuntos/104576,0529-D-2026.pdf
0804-D-2026,290221,104776,https://rest.hcdn.gob.ar/web/proyectos/290221/adjuntos/104776,0804-D-2026.pdf
0973-D-2026,290444,104911,https://rest.hcdn.gob.ar/web/proyectos/290444/adjuntos/104911,0973-D-2026.pdf
1279-D-2026,290903,105133,https://rest.hcdn.gob.ar/web/proyectos/290903/adjuntos/105133,1279-D-2026.pdf
1280-D-2026,290909,105134,https://rest.hcdn.gob.ar/web/proyectos/290909/adjuntos/105134,1280-D-2026.pdf
1396-D-2026,290962,105192,https://rest.hcdn.gob.ar/web/proyectos/290962/adjuntos/105192,1396-D-2026.pdf
3170-D-2026,292868,106476,https://rest.hcdn.gob.ar/web/proyectos/292868/adjuntos/106476,3170-D-2026.pdf
3284-D-2026,293070,106578,https://rest.hcdn.gob.ar/web/proyectos/293070/adjuntos/106578,3284-D-2026.pdf
3368-D-2026,293197,106656,https://rest.hcdn.gob.ar/web/proyectos/293197/adjuntos/106656,3368-D-2026.pdf
3379-D-2026,293204,106666,https://rest.hcdn.gob.ar/web/proyectos/293204/adjuntos/106666,3379-D-2026.pdf
3501-D-2026,293335,106784,https://rest.hcdn.gob.ar/web/proyectos/293335/adjuntos/106784,3501-D-2026.pdf
3756-D-2026,293554,107029,https://rest.hcdn.gob.ar/web/proyectos/293554/adjuntos/107029,3756-D-2026.pdf
3832-D-2026,293624,107092,https://rest.hcdn.gob.ar/web/proyectos/293624/adjuntos/107092,3832-D-2026.pdf
4040-D-2026,293771,107250,https://rest.hcdn.gob.ar/web/proyectos/293771/adjuntos/107250,4040-D-2026.pdf
4166-D-2026,293892,107346,https://rest.hcdn.gob.ar/web/proyectos/293892/adjuntos/107346,4166-D-2026.pdf
4695-D-2025,287052,59078,https://rest.hcdn.gob.ar/web/proyectos/287052/adjuntos/59078,4695-D-2025.pdf
4848-D-2025,287174,59163,https://rest.hcdn.gob.ar/web/proyectos/287174/adjuntos/59163,4848-D-2025.pdf
5136-D-2025,287479,40925,https://rest.hcdn.gob.ar/web/proyectos/287479/adjuntos/40925,5136-D-2025.pdf
5167-D-2025,287501,43261,https://rest.hcdn.gob.ar/web/proyectos/287501/adjuntos/43261,5167-D-2025.pdf
6705-D-2025,288702,60822,https://rest.hcdn.gob.ar/web/proyectos/288702/adjuntos/60822,6705-D-2025.pdf
