"corte_publicacion","codigo_entidad","entidad","grupo_institucional","codigo_grupo_institucional","periodo_balance_resultados","periodo_indicadores","resultado_integral_acumulado_miles_pesos","otro_resultado_integral_acumulado_miles_pesos","resultado_neto_estimado_sin_ori_miles_pesos","intereses_por_prestamos_personales_miles_pesos","intereses_personales_pesos_cuenta_511107_miles_pesos","intereses_personales_moneda_extranjera_cuenta_515107_miles_pesos","ingresos_financieros_totales_miles_pesos","egresos_financieros_totales_miles_pesos","cargo_por_incobrabilidad_total_miles_pesos","ingresos_por_servicios_totales_miles_pesos","gastos_administracion_totales_miles_pesos","intereses_personales_sobre_ingresos_financieros_pct","prestamos_personales_miles_pesos","activo_total_miles_pesos","previsiones_miles_pesos","prestamos_personales_sobre_activo_pct","previsiones_sobre_prestamos_personales_pct","resultado_neto_sobre_activo_pct_no_anualizado","roe_pct","roa_pct","tasa_implicita_prestamos_totales_pct","margen_financiero_sobre_activo_pct","cargos_incobrabilidad_sobre_activo_pct","cartera_irregular_consumo_pct","unidad_balance","nota_comparabilidad"
"2023-09","7","BANCO DE GALICIA Y BUENOS AIRES S.A.U.","Bancos Locales de Capital Nacional","Casa Matriz","Set-2023","Set-2023","146032619","142","146032477","81437420","81437420",,"2227969204","1456036473","54700977","174682017","234929243","3,655231","155922987","5437178959","-61096377","2,867719","-39,183688","2,685813","18,78","3,33","55,39","20,3","-1,59","4,5","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","11","BANCO DE LA NACION ARGENTINA","Bancos P�blicos","Casa Matriz","Set-2023","Set-2023","521455419","-1433483","522888902","106642636","106642636",,"5868842219","3579734088","89038438","107711412","367643351","1,817098","198493809","13544900696","-240398619","1,46545","-121,111394","3,860411","27,6","5,26","65,24","24,2","-0,96","3,48","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","14","BANCO DE LA PROVINCIA DE BUENOS AIRES","Bancos P�blicos","Casa Central","Set-2023","Set-2023","27714935","2113865","25601070","90932191","90932191",,"2443685782","1788787372","30761852","132263565","349941921","3,721108","245983049","5926267958","-45991293","4,150724","-18,696936","0,431993","12,12","1,57","53,88","14,36","-0,82","2,86","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","15","INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.","Bancos Locales de Capital Extranjero","Casa Central no operativa","Set-2023","Set-2023","27126220","-21103545","48229765","10897020","10897020",,"969261561","607080130","18628149","43615584","148917542","1,12426","17267756","2451420139","-13615296","0,704398","-78,848091","1,967421","9,29","1,57","47,12","22,29","-0,97","2,34","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","16","CITIBANK N.A.","Bancos Sucursales de Entidades Financieras del Ext","Casa Central","Set-2023","Set-2023","69309330","-104588","69413918",,,,"674383978","71349723","7934250","26927268","51558954","0",,"1618623870","-9784349","0",,"4,288453","17,95","6,97","62,49","51,25","-0,43","99999","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","17","BANCO BBVA ARGENTINA S.A.","Bancos Locales de Capital Extranjero","Casa Matriz","Set-2023","Set-2023","71492669","-3743124","75235793","62876002","62876002",,"1518001398","844212103","35659382","118684312","257128942","4,142025","118533600","3837555516","-39582636","3,088779","-33,3936","1,960513","12,82","2,4","54,19","24,19","-1,25","2,49","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","20","BANCO DE LA PROVINCIA DE CORDOBA S.A.","Bancos P�blicos","Casa Matriz","Set-2023","Set-2023","2336499",,"2336499","20538512","20538512",,"679933189","532611594","9258792","29417830","111819928","3,020666","45436479","1489373501","-7394197","3,050711","-16,273702","0,156878","2,35","0,2","65,58","14,82","-0,74","1,58","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","27","BANCO SUPERVIELLE S.A.","Bancos Locales de Capital Nacional","Casa Matriz","Set-2023","Set-2023","14142433","-416698","14559131","32239097","32239097",,"585464826","426747615","13938005","39441129","117914333","5,506581","42603433","1238721638","-12254787","3,439306","-28,764788","1,175335","6,75","0,79","68,52","17,91","-1,56","3,88","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","29","BANCO DE LA CIUDAD DE BUENOS AIRES","Bancos P�blicos","Casa Matriz","Set-2023","Set-2023","82592429","196204","82396225","21259819","21259819",,"958175315","535479444","10452253","20574162","87410165","2,218782","47509588","2293321340","-14004763","2,07165","-29,477761","3,592877","26,97","4,66","72,13","27,33","-0,62","3,68","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","34","BANCO PATAGONIA S.A.","Bancos Locales de Capital Extranjero","Casa Central","Set-2023","Set-2023","42707267","2391233","40316034","18716408","18716408",,"884721508","596109075","2960005","40053252","94211674","2,115514","30973694","1874940219","-4490507","1,651983","-14,497809","2,150257","17,24","2,99","53,98","22,53","-0,25","1,59","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","44","BANCO HIPOTECARIO S.A.","Bancos Locales de Capital Nacional","Casa Matriz","Set-2023","Set-2023","13450896",,"13450896","6273756","6273756",,"379922669","303801614","2377900","20905019","42209949","1,651324","8218264","879451032","-3893976","0,934477","-47,381978","1,529465","12,67","1,65","63,19","13,86","-0,14","2,49","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","45","BANCO DE SAN JUAN S.A.","Bancos Locales de Capital Nacional","Casa Matriz","Set-2023","Set-2023","11720327","0","11720327","5490540","5490540",,"119150987","61358493","1061220","5297861","19754903","4,608052","7550648","262300018","-693000","2,87863","-9,17802","4,468291","12,98","7,06","66,88","16,6","-0,26","2,41","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","65","BANCO MUNICIPAL DE ROSARIO","Bancos P�blicos","Casa Central","Set-2023","Set-2023","2341588",,"2341588","2072411","2072411",,"45809779","22091087","439904","3781214","11311795","4,523949","5642327","97805325","-512943","5,768936","-9,090983","2,394131","18,58","3,3","59,39","30,78","-0,51","2,31","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
"2023-09","72","BANCO SANTANDER ARGENTINA S.A.","Bancos Locales de Capital Extranjero","Casa Central","Set-2023","Set-2023","144693147","1275904","143417243","56458893","56458893",,"1935363082","1240904792","53152520","222895272","266141215","2,917225","111509605","5107867904","-63025412","2,183095","-56,520164","2,807771","19,21","3,09","54,29","19,31","-1,33","3,08","miles de pesos corrientes","Los saldos son nominales. Resultados e intereses son acumulados al mes informado. La cuenta 511107+515107 mide ingreso bruto por intereses personales, no ganancia neta del producto."
