"cd_periodo","tx_grupo","nu_valor"
"201701","Bancos Privados / Private Banks","30,212990160022"
"201701","Bancos Públicos / Public Banks","10,5327155239068"
"201701","Compañías Financieras / Financial Companies","2,79480788482943"
"201701","EEFF / Financial Institutions","37,1061779100992"
"201701","OPNFC / Other Non-Financial Credit Providers","8,64774328811334"
"201701","PNFC / Non-Financial Credit Providers","23,4710925793108"
"201701","TCNB / Non-Bank Credit Cards","18,0175550874776"
"201702","Bancos Privados / Private Banks","30,1700895840542"
"201702","Bancos Públicos / Public Banks","10,5433398483479"
"201702","Compañías Financieras / Financial Companies","2,81425160640634"
"201702","EEFF / Financial Institutions","37,0778438363393"
"201702","OPNFC / Other Non-Financial Credit Providers","8,67997550796841"
"201702","PNFC / Non-Financial Credit Providers","23,4636961976427"
"201702","TCNB / Non-Bank Credit Cards","17,9909807920838"
"201703","Bancos Privados / Private Banks","30,3219864745056"
"201703","Bancos Públicos / Public Banks","10,4802375089359"
"201703","Compañías Financieras / Financial Companies","2,85485670717908"
"201703","EEFF / Financial Institutions","37,1948458704491"
"201703","OPNFC / Other Non-Financial Credit Providers","8,7895870694534"
"201703","PNFC / Non-Financial Credit Providers","23,4301843098376"
"201703","TCNB / Non-Bank Credit Cards","17,8423401811053"
"201704","Bancos Privados / Private Banks","30,3578882842668"
"201704","Bancos Públicos / Public Banks","10,4664146052996"
"201704","Compañías Financieras / Financial Companies","2,88141077378046"
"201704","EEFF / Financial Institutions","37,2207380545179"
"201704","OPNFC / Other Non-Financial Credit Providers","8,91309535849625"
"201704","PNFC / Non-Financial Credit Providers","23,534812352399"
"201704","TCNB / Non-Bank Credit Cards","17,8777789862552"
"201705","Bancos Privados / Private Banks","30,5207428358983"
"201705","Bancos Públicos / Public Banks","10,5077804339983"
"201705","Compañías Financieras / Financial Companies","2,91052145688956"
"201705","EEFF / Financial Institutions","37,4105838232199"
"201705","OPNFC / Other Non-Financial Credit Providers","8,98282540698489"
"201705","PNFC / Non-Financial Credit Providers","23,4610707431291"
"201705","TCNB / Non-Bank Credit Cards","17,7288703749531"
"201706","Bancos Privados / Private Banks","30,5047261633215"
"201706","Bancos Públicos / Public Banks","10,509097830797"
"201706","Compañías Financieras / Financial Companies","2,9115921455305"
"201706","EEFF / Financial Institutions","37,4126463014488"
"201706","OPNFC / Other Non-Financial Credit Providers","9,38748245678169"
"201706","PNFC / Non-Financial Credit Providers","23,7828465081759"
"201706","TCNB / Non-Bank Credit Cards","17,7342567952385"
"201707","Bancos Privados / Private Banks","29,740995036922"
"201707","Bancos Públicos / Public Banks","10,4155489803276"
"201707","Compañías Financieras / Financial Companies","2,82049602662035"
"201707","EEFF / Financial Institutions","36,700116580788"
"201707","OPNFC / Other Non-Financial Credit Providers","9,24975920122535"
"201707","PNFC / Non-Financial Credit Providers","22,1218735190011"
"201707","TCNB / Non-Bank Credit Cards","15,8696702633854"
"201708","Bancos Privados / Private Banks","29,8375978552162"
"201708","Bancos Públicos / Public Banks","10,473876428647"
"201708","Compañías Financieras / Financial Companies","2,85566816525506"
"201708","EEFF / Financial Institutions","36,8258962921939"
"201708","OPNFC / Other Non-Financial Credit Providers","9,58088659817862"
"201708","PNFC / Non-Financial Credit Providers","23,1437499919004"
"201708","TCNB / Non-Bank Credit Cards","16,8014851729981"
"201709","Bancos Privados / Private Banks","29,7605413710602"
"201709","Bancos Públicos / Public Banks","10,5079776439485"
"201709","Compañías Financieras / Financial Companies","2,8688802835112"
"201709","EEFF / Financial Institutions","36,7864210203027"
"201709","OPNFC / Other Non-Financial Credit Providers","9,64122106309114"
"201709","PNFC / Non-Financial Credit Providers","23,1393177301894"
"201709","TCNB / Non-Bank Credit Cards","16,7236209849809"
"201710","Bancos Privados / Private Banks","29,916697943749"
"201710","Bancos Públicos / Public Banks","10,5705790985757"
"201710","Compañías Financieras / Financial Companies","3,02178872989801"
"201710","EEFF / Financial Institutions","37,0115793729037"
"201710","OPNFC / Other Non-Financial Credit Providers","9,92831289718498"
"201710","PNFC / Non-Financial Credit Providers","23,3687070392518"
"201710","TCNB / Non-Bank Credit Cards","16,7530439476116"
"201711","Bancos Privados / Private Banks","30,0687383414511"
"201711","Bancos Públicos / Public Banks","10,6529586589254"
"201711","Compañías Financieras / Financial Companies","3,05229387601463"
"201711","EEFF / Financial Institutions","37,2038423620573"
"201711","OPNFC / Other Non-Financial Credit Providers","9,89222726552172"
"201711","PNFC / Non-Financial Credit Providers","23,3574493507748"
"201711","TCNB / Non-Bank Credit Cards","16,7568193008902"
"201712","Bancos Privados / Private Banks","30,164013174409"
"201712","Bancos Públicos / Public Banks","10,6751450914172"
"201712","Compañías Financieras / Financial Companies","3,0492181795463"
"201712","EEFF / Financial Institutions","37,294208388425"
"201712","OPNFC / Other Non-Financial Credit Providers","10,12691974096"
"201712","PNFC / Non-Financial Credit Providers","23,6590444066165"
"201712","TCNB / Non-Bank Credit Cards","16,8959655886083"
"201801","Bancos Privados / Private Banks","30,4331643509182"
"201801","Bancos Públicos / Public Banks","10,7371144099474"
"201801","Compañías Financieras / Financial Companies","3,13325055374876"
"201801","EEFF / Financial Institutions","37,5756935903612"
"201801","OPNFC / Other Non-Financial Credit Providers","10,2888890761262"
"201801","PNFC / Non-Financial Credit Providers","23,7663143781757"
"201801","TCNB / Non-Bank Credit Cards","16,9057966388602"
"201802","Bancos Privados / Private Banks","30,4875773002101"
"201802","Bancos Públicos / Public Banks","10,7035970339484"
"201802","Compañías Financieras / Financial Companies","3,15012228747216"
"201802","EEFF / Financial Institutions","37,6047291478517"
"201802","OPNFC / Other Non-Financial Credit Providers","10,3608566263634"
"201802","PNFC / Non-Financial Credit Providers","23,9082117572702"
"201802","TCNB / Non-Bank Credit Cards","17,0182704822155"
"201803","Bancos Privados / Private Banks","30,6085060463753"
"201803","Bancos Públicos / Public Banks","10,7931125883618"
"201803","Compañías Financieras / Financial Companies","3,190681554134"
"201803","EEFF / Financial Institutions","37,7894194880002"
"201803","OPNFC / Other Non-Financial Credit Providers","10,2230995530803"
"201803","PNFC / Non-Financial Credit Providers","23,8714032159519"
"201803","TCNB / Non-Bank Credit Cards","17,1327832633232"
"201804","Bancos Privados / Private Banks","30,5601932043958"
"201804","Bancos Públicos / Public Banks","10,8114677295419"
"201804","Compañías Financieras / Financial Companies","3,20814894961251"
"201804","EEFF / Financial Institutions","37,7513174963242"
"201804","OPNFC / Other Non-Financial Credit Providers","10,2165104683021"
"201804","PNFC / Non-Financial Credit Providers","23,8845078215764"
"201804","TCNB / Non-Bank Credit Cards","17,0922995499161"
"201805","Bancos Privados / Private Banks","30,8019515743661"
"201805","Bancos Públicos / Public Banks","10,8688495559893"
"201805","Compañías Financieras / Financial Companies","3,23814062910142"
"201805","EEFF / Financial Institutions","38,0166608882721"
"201805","OPNFC / Other Non-Financial Credit Providers","10,3001032346765"
"201805","PNFC / Non-Financial Credit Providers","24,0220582372581"
"201805","TCNB / Non-Bank Credit Cards","17,2519299389819"
"201806","Bancos Privados / Private Banks","30,6742883095007"
"201806","Bancos Públicos / Public Banks","10,8558919069078"
"201806","Compañías Financieras / Financial Companies","3,21465938160853"
"201806","EEFF / Financial Institutions","37,8946596870883"
"201806","OPNFC / Other Non-Financial Credit Providers","9,11982065468628"
"201806","PNFC / Non-Financial Credit Providers","22,9834869045797"
"201806","TCNB / Non-Bank Credit Cards","17,2294844621728"
"201807","Bancos Privados / Private Banks","30,6948653178584"
"201807","Bancos Públicos / Public Banks","10,8618739151996"
"201807","Compañías Financieras / Financial Companies","3,18666971046558"
"201807","EEFF / Financial Institutions","37,932215472353"
"201807","OPNFC / Other Non-Financial Credit Providers","9,09297871883881"
"201807","PNFC / Non-Financial Credit Providers","22,9187299729157"
"201807","TCNB / Non-Bank Credit Cards","17,1768665719353"
"201808","Bancos Privados / Private Banks","30,9042600922361"
"201808","Bancos Públicos / Public Banks","10,9308206532149"
"201808","Compañías Financieras / Financial Companies","3,15476775645788"
"201808","EEFF / Financial Institutions","38,1572951362066"
"201808","OPNFC / Other Non-Financial Credit Providers","8,95995867113356"
"201808","PNFC / Non-Financial Credit Providers","22,9168826406792"
"201808","TCNB / Non-Bank Credit Cards","17,2841067202697"
"201809","Bancos Privados / Private Banks","30,7533969357712"
"201809","Bancos Públicos / Public Banks","10,9286446889235"
"201809","Compañías Financieras / Financial Companies","3,11008890310718"
"201809","EEFF / Financial Institutions","38,01616404989"
"201809","OPNFC / Other Non-Financial Credit Providers","8,70353591119468"
"201809","PNFC / Non-Financial Credit Providers","22,642024935509"
"201809","TCNB / Non-Bank Credit Cards","17,1494351933622"
"201810","Bancos Privados / Private Banks","30,8541853894975"
"201810","Bancos Públicos / Public Banks","10,9356218671849"
"201810","Compañías Financieras / Financial Companies","3,07582424876767"
"201810","EEFF / Financial Institutions","38,1036595754492"
"201810","OPNFC / Other Non-Financial Credit Providers","8,74267733406736"
"201810","PNFC / Non-Financial Credit Providers","22,6874923080772"
"201810","TCNB / Non-Bank Credit Cards","17,1664254871887"
"201811","Bancos Privados / Private Banks","30,8514054071976"
"201811","Bancos Públicos / Public Banks","10,9296341939105"
"201811","Compañías Financieras / Financial Companies","3,05095711427183"
"201811","EEFF / Financial Institutions","38,1138570707652"
"201811","OPNFC / Other Non-Financial Credit Providers","8,71764494503316"
"201811","PNFC / Non-Financial Credit Providers","22,6939915610176"
"201811","TCNB / Non-Bank Credit Cards","17,1969162875162"
"201812","Bancos Privados / Private Banks","30,609258309909"
"201812","Bancos Públicos / Public Banks","10,8735489670037"
"201812","Compañías Financieras / Financial Companies","2,98277086245797"
"201812","EEFF / Financial Institutions","37,8596579793085"
"201812","OPNFC / Other Non-Financial Credit Providers","8,70462634380606"
"201812","PNFC / Non-Financial Credit Providers","22,7296565962709"
"201812","TCNB / Non-Bank Credit Cards","17,1965424534422"
"201901","Bancos Privados / Private Banks","30,6417310937309"
"201901","Bancos Públicos / Public Banks","10,9416998672883"
"201901","Compañías Financieras / Financial Companies","2,9550328265719"
"201901","EEFF / Financial Institutions","37,9305977871558"
"201901","OPNFC / Other Non-Financial Credit Providers","8,73520109980117"
"201901","PNFC / Non-Financial Credit Providers","22,5609670296934"
"201901","TCNB / Non-Bank Credit Cards","16,9757707274659"
"201902","Bancos Privados / Private Banks","30,8310502185809"
"201902","Bancos Públicos / Public Banks","10,9017689933262"
"201902","Compañías Financieras / Financial Companies","2,9138104981758"
"201902","EEFF / Financial Institutions","38,0360125894701"
"201902","OPNFC / Other Non-Financial Credit Providers","8,61599964558045"
"201902","PNFC / Non-Financial Credit Providers","22,1499700758743"
"201902","TCNB / Non-Bank Credit Cards","16,602040439756"
"201903","Bancos Privados / Private Banks","30,5826428313815"
"201903","Bancos Públicos / Public Banks","10,8613755190904"
"201903","Compañías Financieras / Financial Companies","2,88355057799114"
"201903","EEFF / Financial Institutions","37,8093422579212"
"201903","OPNFC / Other Non-Financial Credit Providers","8,59380208440042"
"201903","PNFC / Non-Financial Credit Providers","22,0968488726169"
"201903","TCNB / Non-Bank Credit Cards","16,543153419226"
"201904","Bancos Privados / Private Banks","30,2829796533152"
"201904","Bancos Públicos / Public Banks","10,9257747179309"
"201904","Compañías Financieras / Financial Companies","2,84398216868861"
"201904","EEFF / Financial Institutions","37,6142950802396"
"201904","OPNFC / Other Non-Financial Credit Providers","8,53303339215316"
"201904","PNFC / Non-Financial Credit Providers","22,1232089342981"
"201904","TCNB / Non-Bank Credit Cards","16,6041136157469"
"201905","Bancos Privados / Private Banks","30,1384342477966"
"201905","Bancos Públicos / Public Banks","10,9432284242835"
"201905","Compañías Financieras / Financial Companies","2,78686912435306"
"201905","EEFF / Financial Institutions","37,4986438587684"
"201905","OPNFC / Other Non-Financial Credit Providers","8,58813224395913"
"201905","PNFC / Non-Financial Credit Providers","22,4277862354962"
"201905","TCNB / Non-Bank Credit Cards","16,8661746997878"
"201906","Bancos Privados / Private Banks","29,9386849761066"
"201906","Bancos Públicos / Public Banks","10,8711857470468"
"201906","Compañías Financieras / Financial Companies","2,70880778359886"
"201906","EEFF / Financial Institutions","37,2569902363684"
"201906","OPNFC / Other Non-Financial Credit Providers","8,41831950887614"
"201906","PNFC / Non-Financial Credit Providers","22,1835479733512"
"201906","TCNB / Non-Bank Credit Cards","16,6772632261421"
"201907","Bancos Privados / Private Banks","29,9225626696489"
"201907","Bancos Públicos / Public Banks","10,89371235898"
