tab,label,references,primary,data,audit,status
tab-story,La historia del dashboard,3,0,0,3,ok
tab-power,Poder adquisitivo,18,14,4,0,ok
tab-rates,Tasas e inflación,9,7,1,1,ok
tab-pres,Inflación por presidencia,3,3,0,0,ok
tab-poverty,Pobreza: nivel absoluto,4,4,0,0,ok
tab-social,Asistencia social / transferencias,7,6,1,0,ok
tab-gini,Desigualdad (Gini),6,5,1,0,ok
tab-structure,Más allá de la pobreza,6,4,2,0,ok
tab-family,¿Cuánto necesita una familia?,6,6,0,0,ok
tab-risk,Riesgo país,2,1,0,1,ok
tab-bigmac,Índice Big Mac,5,3,1,1,ok
tab-wholesale,Precios mayoristas,5,1,3,1,ok
tab-health-education,Salud y educación,6,5,0,1,ok
tab-consumption,Consumo,35,27,8,0,ok
tab-work,Trabajo,9,9,0,0,ok
tab-investment,Inversión,4,4,0,0,ok
tab-housing,Vivienda,21,19,2,0,ok
tab-growth,Crecimiento,5,4,1,0,ok
tab-emae,Actividad real · ¿crecimiento o rebote?,6,3,1,2,ok
tab-morosidad,Morosidad · ¿la gente puede pagar sus deudas?,8,0,7,1,ok
tab-credit-mora,Del shock a la mora,2,2,0,0,ok
tab-mora-causal,¿Qué explica la mora?,7,7,0,0,ok
tab-mora-anatomy,Anatomía de la mora,1,1,0,0,ok
tab-youth-credit,Jóvenes y crédito,1,1,0,0,ok
tab-pendulo,Péndulo del poder económico,11,4,1,6,ok
tab-fiscal,Resultado fiscal,5,5,0,0,ok
tab-trade,Balanza comercial,4,3,1,0,ok
tab-bcra,BCRA · reservas y dólar,5,4,0,1,ok
tab-debt-spiral,Espiral de deuda,4,4,0,0,ok
tab-program,Programa y escenarios,13,13,0,0,ok
tab-wealth-contribution,Grandes fortunas,5,4,0,1,ok
tab-milei-cost,Lo que te robó Milei,20,14,4,2,ok
tab-meli-benefits,Privilegios fiscales,11,10,0,1,ok
tab-casta,La casta,21,19,1,1,ok
tab-roads,Rutas · ¿Público o privado?,6,6,0,0,ok
tab-tourism,Vacaciones · Turismo,6,6,0,0,ok
tab-debt-public,Deuda pública,5,5,0,0,ok
