year,grade_2_gasoline_thousand_m3,grade_3_gasoline_thousand_m3,diesel_thousand_m3
2002,2259.442930,435.997500,10029.016740
2003,2041.160442,521.317030,10359.051194
2004,2092.186230,693.711010,11124.721000
2005,2225.206890,924.864240,11974.266710
2006,2487.890340,1316.058060,12647.914630
2007,3049.093740,1558.284600,13513.804200
2008,3837.217250,1291.511160,13562.009010
2009,4316.448114,1054.247480,12482.940342
2010,4696.159248,1261.537366,13775.443888
2011,5027.853908,1732.813939,14210.673743
2012,5544.871267,1826.768822,13491.827239
2013,6089.915608,1953.811273,13749.914261
2014,6161.141597,1892.477957,13716.681944
2015,6159.178550,2355.671984,13415.023332
2016,6198.138816,2432.423580,13674.927068
2017,6387.761374,2894.205385,13717.553071
2018,6668.266437,2669.119481,13490.955939
2019,6877.807405,2293.600166,13396.212614
2020,5046.481817,1653.612251,11927.656250
2021,6377.333528,2352.760427,13715.446591
2022,7117.538469,2802.304051,14779.419729
2023,7544.967834,2809.698923,14667.898990
2024,7411.602483,2295.388350,13966.960954
