year,litres_per_capita
1963,82.9
1964,86.8
1965,85.8
1966,80.2
1967,82.8
1968,87.5
1969,88.5
1970,91.8
1971,85.3
1972,79.7
1973,72.5
1974,77.2
1975,83.7
1976,84.8
1977,88.5
1978,81.6
1979,76.3
1980,76.3
1981,74.7
1982,73.6
1983,71.1
1984,66.3
1985,60.1
1986,59.2
1987,58.1
1988,55.9
1989,53.7
1990,54.2
1991,52.4
1992,49.5
1993,44.4
1994,43.2
1995,41.1
1996,41.1
1997,40.3
1998,38.8
1999,38.7
2000,37.8
2001,36.3
2002,32.9
2003,33.7
2004,29.9
2005,29.2
2006,29.2
2007,29.1
2008,27.8
2009,26.7
2010,24.9
2011,25.0
2012,25.1
2013,25.6
2014,23.3
2015,23.8
2016,21.6
2017,20.2
2018,18.9
2019,19.7
2020,20.8
2021,18.3
2022,18.0
2023,16.7
2024,16.3
