"periodo","rango_etario","cobertura_personales_pct_poblacion_del_rango","tramo_metodologico","umbral_saldo_deuda_reportable_pesos","fuente","nota"
"2023-12","15 - 19","5,75976","A_2023-01_a_2024-06","1000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2023-12","20 - 24","28,63793","A_2023-01_a_2024-06","1000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2023-12","25 - 29","37,39864","A_2023-01_a_2024-06","1000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2023-12","30 - 34","40,64405","A_2023-01_a_2024-06","1000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2023-12","35 - 39","39,90575","A_2023-01_a_2024-06","1000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2023-12","40 - 44","38,1177","A_2023-01_a_2024-06","1000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2023-12","45 - 49","34,30746","A_2023-01_a_2024-06","1000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2023-12","50 - 54","32,45765","A_2023-01_a_2024-06","1000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2023-12","55 - 59","28,97817","A_2023-01_a_2024-06","1000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
"2023-12","60 - 64","27,59467","A_2023-01_a_2024-06","1000","BCRA, Indicadores de Inclusión Financiera, CENDEU","Denominador: población del rango etario; no es participación del rango dentro del total de deudores."
