"codigo_entidad","entidad","fecha_informacion","producto","nombre_corto","denominacion","beneficiario","tipo_tasa","monto_minimo","monto_maximo","plazo_maximo_meses","ingreso_minimo","relacion_cuota_ingreso_pct","tea_max_pct","cftea_max_pct","brecha_cftea_tea_pp","cftea_real_vs_ipc_jul2026_pct","cuota_inicial_cada_10k","territorio","mas_informacion","fuente_corte","fuente_url"
"7","BANCO DE GALICIA Y BUENOS AIRES S.A.","2026-06-12","PRESTAMOPERSONAL","PP","Pesos","Todos los beneficiarios","Fija","500","24800000","72","310000","30","283","398","115","272,125877","1442","0",,"2026-08-30","https://api.bcra.gob.ar/transparencia/v1.0/Prestamos/Personales"
"11","BANCO DE LA NACION ARGENTINA","2026-08-14","ADELANTO DE HABERES","ADELANTO DE HABERES","Pesos","Clientes que acrediten sueldos en la entidad","Fija","50000","1000000","1","417588","50","140,51","186,76","46,25","114,278748","10918","0",,"2026-08-30","https://api.bcra.gob.ar/transparencia/v1.0/Prestamos/Personales"
"11","BANCO DE LA NACION ARGENTINA","2026-08-14","MAS AUTOS CON BNA","MAS AUTOS","Pesos","Todos los beneficiarios","Fija","1000000","100000000","72","163735","30","57,05","72,3","15,25","28,749575","491","0",,"2026-08-30","https://api.bcra.gob.ar/transparencia/v1.0/Prestamos/Personales"
"11","BANCO DE LA NACION ARGENTINA","2026-08-14","NACION PERSONALES LIBRE DESTINO TRAMO IV","NACION LIBRE DESTINO","Pesos","Clientes con cuenta en la entidad","Fija","1000000","50000000","72","455153","30","140,4","186,76","46,36","114,278748","922","0",,"2026-08-30","https://api.bcra.gob.ar/transparencia/v1.0/Prestamos/Personales"
"11","BANCO DE LA NACION ARGENTINA","2026-08-14","NACION PREVISIONAL","NACION PREVISIONAL","Pesos","Clientes que acrediten sueldos en la entidad","Fija","1000000","50000000","72","193357","35","72,92","93,32","20,4","44,456575","677","0",,"2026-08-30","https://api.bcra.gob.ar/transparencia/v1.0/Prestamos/Personales"
"11","BANCO DE LA NACION ARGENTINA","2026-08-14","NACION SUELDOS TRAMO III","NACION SUELDOS","Pesos","Clientes que acrediten sueldos en la entidad","Fija","1000000","100000000","72","421284","35","72,86","93,32","20,46","44,456575","583","0",,"2026-08-30","https://api.bcra.gob.ar/transparencia/v1.0/Prestamos/Personales"
"14","BANCO DE LA PROVINCIA DE BUENOS AIRES","2026-08-07","PRESTAMO PERSONAL PROVINCIA","PRESTAMO PERSONAL","Pesos","Personas humanas en relación de dependencia","Fija","100000","3000000","24","1300","30","159,14","159,14","0","93,639959","9703","1","0","2026-08-30","https://api.bcra.gob.ar/transparencia/v1.0/Prestamos/Personales"
"14","BANCO DE LA PROVINCIA DE BUENOS AIRES","2026-08-07","PRESTAMO PERSONAL PROVINCIA","PRESTAMO PERSONAL","Pesos","Personas humanas en relación de dependencia","Fija","100000","3000000","24","1300","30","159,14","159,14","0","93,639959","9703","2","0","2026-08-30","https://api.bcra.gob.ar/transparencia/v1.0/Prestamos/Personales"
"14","BANCO DE LA PROVINCIA DE BUENOS AIRES","2026-08-07","PRESTAMO PERSONAL UVA","UVA","Pesos","Clientes que acrediten sueldos en la entidad","Fija","100000","50000000","24","1300","35","28,07","28,07","0","-4,300881","5337","1","0","2026-08-30","https://api.bcra.gob.ar/transparencia/v1.0/Prestamos/Personales"
"14","BANCO DE LA PROVINCIA DE BUENOS AIRES","2026-08-07","PRESTAMO PERSONAL UVA","UVA","Pesos","Clientes que acrediten sueldos en la entidad","Fija","100000","50000000","24","1300","35","28,07","28,07","0","-4,300881","5337","2","0","2026-08-30","https://api.bcra.gob.ar/transparencia/v1.0/Prestamos/Personales"
