universe,mandate,start_period,end_period,observations,start,end,change,average,coverage_note
private,Carlos Menem,1993,1999,7,23.573825144534105,2.813566649210329,-20.760258495323775,4.806516192395699,serie disponible desde 1993
private,Fernando de la Rúa,2000,2001,2,1.4790189211158788,4.134054363404109,2.6550354422882307,2.806536642259994,dato anual
private,Eduardo Duhalde,2002,2002,1,-16.65721615888969,-16.65721615888969,0.0,-16.65721615888969,un único dato anual
private,Néstor Kirchner,2003,2007,5,-16.498531932355988,-4.751499021441793,11.747032910914195,-8.290981466418248,dato anual; 2003 y 2007 contienen transiciones
private,Cristina Fernández I,,,0,,,,,sin serie comparable
private,Cristina Fernández II,,,0,,,,,sin serie comparable
private,Mauricio Macri,2016-T1,2019-T4,16,17.58894332093196,4.482636473041502,-13.106306847890458,6.49863011867295,serie moderna desde 2016-T1
private,Alberto Fernández,2020-T1,2023-T4,16,18.099921138935294,-0.566849243036171,-18.666770381971464,-0.3910528761795013,trimestres calendario; 2023-T4 contiene la transición
private,Javier Milei,2024-T1,2026-T1,9,6.388975912817699,15.160027954978657,8.771052042160958,6.192989552271724,mandato en curso; último dato 2026-T1
total,Carlos Menem,1993,1999,7,32.64777591701144,14.583744924979545,-18.064030992031892,15.640303546999268,serie disponible desde 1993
total,Fernando de la Rúa,2000,2001,2,13.743207067390475,16.437691682828508,2.694484615438032,15.090449375109491,dato anual
total,Eduardo Duhalde,2002,2002,1,-3.8446350635296245,-3.8446350635296245,0.0,-3.8446350635296245,un único dato anual
total,Néstor Kirchner,2003,2007,5,-4.5053607703078855,8.250808056686614,12.7561688269945,3.6764580616072444,dato anual; 2003 y 2007 contienen transiciones
total,Cristina Fernández I,,,0,,,,,sin serie comparable
total,Cristina Fernández II,,,0,,,,,sin serie comparable
total,Mauricio Macri,2016-T1,2019-T4,16,30.83160032589771,18.417598133586345,-12.414002192311365,20.435638799655667,serie moderna desde 2016-T1
total,Alberto Fernández,2020-T1,2023-T4,16,29.706417233703615,13.415321669809838,-16.291095563893776,13.164733316123073,trimestres calendario; 2023-T4 contiene la transición
total,Javier Milei,2024-T1,2026-T1,9,17.707174795152817,25.809401827714318,8.102227032561501,17.818726864014252,mandato en curso; último dato 2026-T1
