date,period,year,quarter,frequency,segment,universe,president,vab,rta,imb,taxes_net,eeb,share_rta,share_imb,share_households,share_capital,pendulo,change_since_mandate_start,coverage_note,method_note
1993-07-01,1993,1993,,annual,historical,private,Carlos Menem,183555.4042742564,68369.66964497643,45043.547515629725,,70142.18711365026,37.24742941527506,24.539483156992002,61.78691257226705,38.213087427732944,23.573825144534105,0.0,serie disponible desde 1993,CGI histórica: otros impuestos a la producción incluidos en IMB/EEB; no separables.
1994-07-01,1994,1994,,annual,historical,private,Carlos Menem,200617.3554821671,67032.43439123209,44472.875674348164,,89112.04541658684,33.41307845979986,22.168010124279284,55.58108858407914,44.41891141592085,11.16217716815829,-12.411647976375814,serie disponible desde 1993,CGI histórica: otros impuestos a la producción incluidos en IMB/EEB; no separables.
1995-07-01,1995,1995,,annual,historical,private,Carlos Menem,202290.80948355125,64772.95282892126,41775.080484675666,,95742.77616995432,32.01972101168942,20.65100267843483,52.67072369012424,47.32927630987576,5.341447380248488,-18.232377764285616,serie disponible desde 1993,CGI histórica: otros impuestos a la producción incluidos en IMB/EEB; no separables.
1996-07-01,1996,1996,,annual,historical,private,Carlos Menem,214464.5943593029,63917.708458512425,40586.98782812979,,109959.89807266067,29.803384866141585,18.924796397923124,48.728181264064716,51.271818735935284,-2.5436374718705688,-26.117462616404673,serie disponible desde 1993,CGI histórica: otros impuestos a la producción incluidos en IMB/EEB; no separables.
1997-07-01,1997,1997,,annual,historical,private,Carlos Menem,230147.24331949174,68249.36302471891,41571.89054344715,,120325.98975132567,29.6546515353976,18.06317118721114,47.717822722608744,52.28217727739125,-4.5643545547825095,-28.138179699316616,serie disponible desde 1993,CGI histórica: otros impuestos a la producción incluidos en IMB/EEB; no separables.
1998-07-01,1998,1998,,annual,historical,private,Carlos Menem,234027.92119860376,71846.4903550868,42666.401015422256,,119515.0298280947,30.69996519522793,18.231329320407948,48.93129451563588,51.068705484364116,-2.1374109687282448,-25.71123611326235,serie disponible desde 1993,CGI histórica: otros impuestos a la producción incluidos en IMB/EEB; no separables.
1999-07-01,1999,1999,,annual,historical,private,Carlos Menem,220090.73244939113,71606.43662380669,41535.12932398827,,106949.16650159616,32.53496220713076,18.8718211174744,51.406783324605165,48.593216675394835,2.813566649210329,-20.760258495323775,serie disponible desde 1993,CGI histórica: otros impuestos a la producción incluidos en IMB/EEB; no separables.
2000-07-01,2000,2000,,annual,historical,private,Fernando de la Rúa,219900.06206885024,70441.63991505341,41134.57288214364,,108323.84927165319,32.0334788686864,18.706030591871546,50.73950946055794,49.26049053944206,1.4790189211158788,0.0,dato anual,CGI histórica: otros impuestos a la producción incluidos en IMB/EEB; no separables.
2001-07-01,2001,2001,,annual,historical,private,Fernando de la Rúa,206767.06505867853,69325.258031295,38332.20593561472,,99109.60109176881,33.528191741572165,18.53883544012989,52.06702718170205,47.93297281829795,4.134054363404109,2.6550354422882307,dato anual,CGI histórica: otros impuestos a la producción incluidos en IMB/EEB; no separables.
2002-07-01,2002,2002,,annual,historical,private,Eduardo Duhalde,242799.27959204567,64535.84904230539,36641.99033678044,,141621.44021295983,26.57991784437718,15.091474076177972,41.67139192055516,58.32860807944484,-16.65721615888969,0.0,un único dato anual,CGI histórica: otros impuestos a la producción incluidos en IMB/EEB; no separables.
2003-07-01,2003,2003,,annual,historical,private,Néstor Kirchner,287600.50914635113,76827.87925432058,43247.44439929041,,167525.18549274013,26.713401684287426,15.03733234953458,41.750734033822006,58.24926596617799,-16.498531932355988,0.0,dato anual; 2003 y 2007 contienen transiciones,CGI histórica: otros impuestos a la producción incluidos en IMB/EEB; no separables.
2004-07-01,2004,2004,,annual,historical,private,Néstor Kirchner,337253.89533729374,97799.55701115745,51788.79152752799,,187665.5467986083,28.998792412270387,15.356024717144653,44.35481712941504,55.645182870584954,-11.290365741169914,5.2081661911860735,dato anual; 2003 y 2007 contienen transiciones,CGI histórica: otros impuestos a la producción incluidos en IMB/EEB; no separables.
2005-07-01,2005,2005,,annual,historical,private,Néstor Kirchner,396871.6478919491,123026.13231592512,61714.1727119247,,212131.34286409925,30.998972330071762,15.550159110566344,46.54913144063811,53.45086855936189,-6.901737118723789,9.596794813632199,dato anual; 2003 y 2007 contienen transiciones,CGI histórica: otros impuestos a la producción incluidos en IMB/EEB; no separables.
2006-07-01,2006,2006,,annual,historical,private,Néstor Kirchner,481975.9892227521,162706.4233953125,73431.0286780031,,245838.53714943648,33.758201037710904,15.235412203089208,48.993613240800116,51.006386759199884,-2.0127735183997646,14.485758413956223,dato anual; 2003 y 2007 contienen transiciones,CGI histórica: otros impuestos a la producción incluidos en IMB/EEB; no separables.
