period,date,owner_land,owner_only,renter,occupant,other,owner_total
2S-2016,2016-12-31,67.3,4.7,17.7,8.6,1.7,72.0
1S-2017,2017-06-30,65.6,5.4,18.2,9.1,1.7,71.0
2S-2017,2017-12-31,65.2,4.9,18.9,9.2,1.9,70.1
1S-2018,2018-06-30,64.8,5.8,18.5,9.1,1.8,70.6
2S-2018,2018-12-31,64.7,5.7,18.6,9.2,1.8,70.4
1S-2019,2019-06-30,64.2,6.4,18.4,9.3,1.7,70.6
2S-2019,2019-12-31,63.3,6.9,19.2,8.8,1.8,70.2
1S-2020,2020-06-30,62.2,6.3,18.8,10.7,2.0,68.5
2S-2020,2020-12-31,60.6,7.7,19.7,10.3,1.8,68.3
1S-2021,2021-06-30,63.6,7.0,18.7,9.1,1.6,70.6
2S-2021,2021-12-31,63.4,6.2,19.6,8.9,1.8,69.6
1S-2022,2022-06-30,61.6,6.4,21.6,8.6,1.8,68.0
2S-2022,2022-12-31,60.9,6.7,20.7,9.8,2.0,67.6
1S-2023,2023-06-30,60.0,6.8,21.8,9.2,2.1,66.8
2S-2023,2023-12-31,60.2,6.4,22.0,9.5,2.0,66.6
1S-2024,2024-06-30,60.4,6.6,21.1,9.8,2.1,67.0
2S-2024,2024-12-31,60.0,6.5,22.0,9.6,1.8,66.5
1S-2025,2025-06-30,61.1,6.4,20.7,9.9,1.9,67.5
2S-2025,2025-12-31,61.9,6.4,20.5,9.6,1.5,68.3
