fecha,monto_constituido_pf_30_59_nominal,fuente,codigo_serie,nota_metodologica
2021-04,2281661518000.0,BCRA tas1_ser.txt,1307+1309+1311+1313+1315+1317+1319+1321,"Suma mensual de montos diarios, cuatro estratos 30-44 días + cuatro estratos 45-59 días; miles de pesos ×1000"
2021-05,2295231018000.0,BCRA tas1_ser.txt,1307+1309+1311+1313+1315+1317+1319+1321,"Suma mensual de montos diarios, cuatro estratos 30-44 días + cuatro estratos 45-59 días; miles de pesos ×1000"
2021-06,2348110621000.0,BCRA tas1_ser.txt,1307+1309+1311+1313+1315+1317+1319+1321,"Suma mensual de montos diarios, cuatro estratos 30-44 días + cuatro estratos 45-59 días; miles de pesos ×1000"
2021-07,2413238784000.0,BCRA tas1_ser.txt,1307+1309+1311+1313+1315+1317+1319+1321,"Suma mensual de montos diarios, cuatro estratos 30-44 días + cuatro estratos 45-59 días; miles de pesos ×1000"
2021-08,2579720238000.0,BCRA tas1_ser.txt,1307+1309+1311+1313+1315+1317+1319+1321,"Suma mensual de montos diarios, cuatro estratos 30-44 días + cuatro estratos 45-59 días; miles de pesos ×1000"
2021-09,2587806856000.0,BCRA tas1_ser.txt,1307+1309+1311+1313+1315+1317+1319+1321,"Suma mensual de montos diarios, cuatro estratos 30-44 días + cuatro estratos 45-59 días; miles de pesos ×1000"
2021-10,2597161473000.0,BCRA tas1_ser.txt,1307+1309+1311+1313+1315+1317+1319+1321,"Suma mensual de montos diarios, cuatro estratos 30-44 días + cuatro estratos 45-59 días; miles de pesos ×1000"
2021-11,2719242236000.0,BCRA tas1_ser.txt,1307+1309+1311+1313+1315+1317+1319+1321,"Suma mensual de montos diarios, cuatro estratos 30-44 días + cuatro estratos 45-59 días; miles de pesos ×1000"
2021-12,2726478035000.0,BCRA tas1_ser.txt,1307+1309+1311+1313+1315+1317+1319+1321,"Suma mensual de montos diarios, cuatro estratos 30-44 días + cuatro estratos 45-59 días; miles de pesos ×1000"
2022-01,2974272623000.0,BCRA tas1_ser.txt,1307+1309+1311+1313+1315+1317+1319+1321,"Suma mensual de montos diarios, cuatro estratos 30-44 días + cuatro estratos 45-59 días; miles de pesos ×1000"
2022-02,2828416562000.0,BCRA tas1_ser.txt,1307+1309+1311+1313+1315+1317+1319+1321,"Suma mensual de montos diarios, cuatro estratos 30-44 días + cuatro estratos 45-59 días; miles de pesos ×1000"
2022-03,3584645836000.0,BCRA tas1_ser.txt,1307+1309+1311+1313+1315+1317+1319+1321,"Suma mensual de montos diarios, cuatro estratos 30-44 días + cuatro estratos 45-59 días; miles de pesos ×1000"
2022-04,3651024694000.0,BCRA tas1_ser.txt,1307+1309+1311+1313+1315+1317+1319+1321,"Suma mensual de montos diarios, cuatro estratos 30-44 días + cuatro estratos 45-59 días; miles de pesos ×1000"
2022-05,4076170546000.0,BCRA tas1_ser.txt,1307+1309+1311+1313+1315+1317+1319+1321,"Suma mensual de montos diarios, cuatro estratos 30-44 días + cuatro estratos 45-59 días; miles de pesos ×1000"
2022-06,4255513935000.0,BCRA tas1_ser.txt,1307+1309+1311+1313+1315+1317+1319+1321,"Suma mensual de montos diarios, cuatro estratos 30-44 días + cuatro estratos 45-59 días; miles de pesos ×1000"
2022-07,4362916183000.0,BCRA tas1_ser.txt,1307+1309+1311+1313+1315+1317+1319+1321,"Suma mensual de montos diarios, cuatro estratos 30-44 días + cuatro estratos 45-59 días; miles de pesos ×1000"
2022-08,5355878356000.0,BCRA tas1_ser.txt,1307+1309+1311+1313+1315+1317+1319+1321,"Suma mensual de montos diarios, cuatro estratos 30-44 días + cuatro estratos 45-59 días; miles de pesos ×1000"
2022-09,5659803855000.0,BCRA tas1_ser.txt,1307+1309+1311+1313+1315+1317+1319+1321,"Suma mensual de montos diarios, cuatro estratos 30-44 días + cuatro estratos 45-59 días; miles de pesos ×1000"
2022-10,6103183702000.0,BCRA tas1_ser.txt,1307+1309+1311+1313+1315+1317+1319+1321,"Suma mensual de montos diarios, cuatro estratos 30-44 días + cuatro estratos 45-59 días; miles de pesos ×1000"
2022-11,6353934052000.0,BCRA tas1_ser.txt,1307+1309+1311+1313+1315+1317+1319+1321,"Suma mensual de montos diarios, cuatro estratos 30-44 días + cuatro estratos 45-59 días; miles de pesos ×1000"
2022-12,6600586924000.0,BCRA tas1_ser.txt,1307+1309+1311+1313+1315+1317+1319+1321,"Suma mensual de montos diarios, cuatro estratos 30-44 días + cuatro estratos 45-59 días; miles de pesos ×1000"
2023-01,7266347996000.0,BCRA tas1_ser.txt,1307+1309+1311+1313+1315+1317+1319+1321,"Suma mensual de montos diarios, cuatro estratos 30-44 días + cuatro estratos 45-59 días; miles de pesos ×1000"
2023-02,6778744402000.0,BCRA tas1_ser.txt,1307+1309+1311+1313+1315+1317+1319+1321,"Suma mensual de montos diarios, cuatro estratos 30-44 días + cuatro estratos 45-59 días; miles de pesos ×1000"
