fecha,monto_operado_personales_nominal,fuente,codigo_serie,nota_metodologica
2021-04,32983971000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2021-05,29569598000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2021-06,30353853000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2021-07,32409240000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2021-08,42769452000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2021-09,48273216000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2021-10,51897666000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2021-11,58062667000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2021-12,48080523000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2022-01,45268321000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2022-02,50259631000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2022-03,66742627000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2022-04,59656946000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2022-05,60792637000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
2022-06,58960424000.0,BCRA tas2_ser.txt,1936+1938,"Suma mensual de personales hasta 180 días y más de 180 días; miles de pesos ×1000; incluye nuevas operaciones y refinanciaciones, no es flujo neto"
