id,stage,corridor,routes,km,status,company,award_date,start_date,duration_years,tariff,investment_committed,investment_certified,new_road_km,rehab_km,financing_bice,subsidy,source
I-ORIENTAL,I,Oriental,"RN 12, 14, 117, 135, A-015",682.28,En operación,Autovía Construcciones y Servicios S.A.,2025-11-19,2026-01-07,,,,,,,Instrumento opcional anunciado para Etapa I,El Gobierno informa sin subsidio presupuestario; auditar contrato,https://www.argentina.gob.ar/noticias/red-federal-de-concesiones-etapa-i-toma-de-posesion-de-los-tramos-oriental-y-conexion
I-CONEXION,I,Conexión,RN 174 · Puente Rosario–Victoria,59.43,En operación,"UTE Obring, Rovial, Edeca, Pitón y Pietroboni",2025-11-19,2026-01-07,,,,,,,Instrumento opcional anunciado para Etapa I,El Gobierno informa sin subsidio presupuestario; auditar contrato,https://www.argentina.gob.ar/noticias/red-federal-de-concesiones-etapa-i-toma-de-posesion-de-los-tramos-oriental-y-conexion
IIA-SUR,II-A,Sur Atlántico · Acceso Sur,"Au. Ezeiza–Cañuelas, Riccheri, Newbery; RN 3, 205, 226",1325.17,Adjudicado,"Concret Nor, Marcalba, Pose y Coarco",2026-05-15,,20,,,,,,,El Gobierno informa sin erogaciones; auditar contrato,https://www.argentina.gob.ar/noticias/avance-de-la-red-federal-de-concesiones-se-adjudicaron-los-tramos-de-la-etapa-ii
IIA-PAMPA,II-A,Pampa,RN 5,546.65,Adjudicado,Construcciones Electromecánicas del Oeste S.A.,2026-05-15,,20,,,,,,,El Gobierno informa sin erogaciones; auditar contrato,https://www.argentina.gob.ar/noticias/avance-de-la-red-federal-de-concesiones-se-adjudicaron-los-tramos-de-la-etapa-ii
IIB-MEDITERRANEO,II-B,Mediterráneo,"RN 7, 35",672.32,Ofertas económicas abiertas 06/07/2026,,,,,,,,,,,,https://www.argentina.gob.ar/noticias/avance-de-la-red-federal-de-concesiones-apertura-de-ofertas-economicas-para-la-etapa-ii-b
IIB-PUNTANO,II-B,Puntano,"RN 8, 36, 193, A-005",720.0,Ofertas económicas abiertas 06/07/2026,,,,,,,,,,,,https://www.argentina.gob.ar/noticias/avance-de-la-red-federal-de-concesiones-apertura-de-ofertas-economicas-para-la-etapa-ii-b
IIB-PORTUARIO-S,II-B,Portuario Sur,"RN 9, 188",636.75,Ofertas económicas abiertas 06/07/2026,,,,,,,,,,,,https://www.argentina.gob.ar/noticias/avance-de-la-red-federal-de-concesiones-apertura-de-ofertas-economicas-para-la-etapa-ii-b
IIB-PORTUARIO-N,II-B,Portuario Norte,"RN 9, 33, A-008",528.04,Ofertas económicas abiertas 06/07/2026,,,,,,,,,,,,https://www.argentina.gob.ar/noticias/avance-de-la-red-federal-de-concesiones-apertura-de-ofertas-economicas-para-la-etapa-ii-b
III-CENTRO,III,Centro,"RN 9, 19, 34",681.92,Ofertas económicas abiertas 22/07/2026 · adjudicación pendiente en la última fuente oficial,,,,,,,,,,Términos indicativos disponibles; instrumento por corredor,,https://www.argentina.gob.ar/noticias/avance-de-la-red-federal-de-concesiones-apertura-de-ofertas-economicas-para-la-etapa-iii
III-MESOPOTAMICO,III,Mesopotámico,"RN 12, 18",276.11,Ofertas económicas abiertas 22/07/2026 · adjudicación pendiente en la última fuente oficial,,,,,,,,,,Términos indicativos disponibles; instrumento por corredor,,https://www.argentina.gob.ar/noticias/avance-de-la-red-federal-de-concesiones-apertura-de-ofertas-economicas-para-la-etapa-iii
III-CENTRO-NORTE,III,Centro–Norte,RN 34,536.43,Ofertas económicas abiertas 22/07/2026 · adjudicación pendiente en la última fuente oficial,,,,,,,,,,Términos indicativos disponibles; instrumento por corredor,,https://www.argentina.gob.ar/noticias/avance-de-la-red-federal-de-concesiones-apertura-de-ofertas-economicas-para-la-etapa-iii
III-NOROESTE,III,Noroeste,"RN 9, 34, 66, 1V66, A-016",596.52,Ofertas económicas abiertas 22/07/2026 · adjudicación pendiente en la última fuente oficial,,,,,,,,,,Términos indicativos disponibles; instrumento por corredor,,https://www.argentina.gob.ar/noticias/avance-de-la-red-federal-de-concesiones-apertura-de-ofertas-economicas-para-la-etapa-iii
III-LITORAL,III,Litoral,"RN 12, 16",546.74,Ofertas económicas abiertas 22/07/2026 · adjudicación pendiente en la última fuente oficial,,,,,,,,,,Términos indicativos disponibles; instrumento por corredor,,https://www.argentina.gob.ar/noticias/avance-de-la-red-federal-de-concesiones-apertura-de-ofertas-economicas-para-la-etapa-iii
III-NORESTE,III,Noreste,"RN 12, 105",456.22,Ofertas económicas abiertas 22/07/2026 · adjudicación pendiente en la última fuente oficial,,,,,,,,,,Términos indicativos disponibles; instrumento por corredor,,https://www.argentina.gob.ar/noticias/avance-de-la-red-federal-de-concesiones-apertura-de-ofertas-economicas-para-la-etapa-iii
III-CHACO-SANTA-FE,III,Chaco–Santa Fe,RN 11,497.18,Ofertas económicas abiertas 22/07/2026 · adjudicación pendiente en la última fuente oficial,,,,,,,,,,Términos indicativos disponibles; instrumento por corredor,,https://www.argentina.gob.ar/noticias/avance-de-la-red-federal-de-concesiones-apertura-de-ofertas-economicas-para-la-etapa-iii
III-CUYO,III,Cuyo,RN 7,329.09,Ofertas económicas abiertas 22/07/2026 · adjudicación pendiente en la última fuente oficial,,,,,,,,,,Términos indicativos disponibles; instrumento por corredor,,https://www.argentina.gob.ar/noticias/avance-de-la-red-federal-de-concesiones-apertura-de-ofertas-economicas-para-la-etapa-iii
