era,year,months,source_real_index_mean,real_index_era_base100,base_definition,status
1996-2013,1996,12,77.525000,100.000000,promedio 1996=100,observado INDEC; promedio anual derivado
1996-2013,1997,12,82.758333,106.750511,promedio 1996=100,observado INDEC; promedio anual derivado
1996-2013,1998,12,88.808333,114.554445,promedio 1996=100,observado INDEC; promedio anual derivado
1996-2013,1999,12,90.808333,117.134258,promedio 1996=100,observado INDEC; promedio anual derivado
1996-2013,2000,12,92.591667,119.434591,promedio 1996=100,observado INDEC; promedio anual derivado
1996-2013,2001,12,87.975000,113.479523,promedio 1996=100,observado INDEC; promedio anual derivado
1996-2013,2002,12,65.075000,83.940664,promedio 1996=100,observado INDEC; promedio anual derivado
1996-2013,2003,12,59.183333,76.340965,promedio 1996=100,observado INDEC; promedio anual derivado
1996-2013,2004,12,64.291667,82.930238,promedio 1996=100,observado INDEC; promedio anual derivado
1996-2013,2005,12,68.050000,87.778136,promedio 1996=100,observado INDEC; promedio anual derivado
1996-2013,2006,12,74.383333,95.947544,promedio 1996=100,observado INDEC; promedio anual derivado
1996-2013,2007,12,87.091667,112.340105,promedio 1996=100,observado INDEC; promedio anual derivado
1996-2013,2008,12,110.266667,142.233688,promedio 1996=100,observado INDEC; promedio anual derivado
1996-2013,2009,12,122.141667,157.551328,promedio 1996=100,observado INDEC; promedio anual derivado
1996-2013,2010,12,142.200000,183.424702,promedio 1996=100,observado INDEC; promedio anual derivado
1996-2013,2011,12,166.466667,214.726432,promedio 1996=100,observado INDEC; promedio anual derivado
1996-2013,2012,12,190.933333,246.286144,promedio 1996=100,observado INDEC; promedio anual derivado
1996-2013,2013,12,226.916667,292.701279,promedio 1996=100,observado INDEC; promedio anual derivado
2017-2026,2017,12,100.008333,100.000000,promedio 2017=100,observado/derivado identificado; promedio anual derivado
2017-2026,2018,12,97.025000,97.016915,promedio 2017=100,observado/derivado identificado; promedio anual derivado
2017-2026,2019,12,87.633333,87.626031,promedio 2017=100,observado/derivado identificado; promedio anual derivado
2017-2026,2020,12,88.258333,88.250979,promedio 2017=100,observado/derivado identificado; promedio anual derivado
2017-2026,2021,12,89.550000,89.542538,promedio 2017=100,observado/derivado identificado; promedio anual derivado
2017-2026,2022,12,90.958333,90.950754,promedio 2017=100,observado/derivado identificado; promedio anual derivado
2017-2026,2023,12,91.808333,91.800683,promedio 2017=100,observado/derivado identificado; promedio anual derivado
2017-2026,2024,12,81.683333,81.676527,promedio 2017=100,observado/derivado identificado; promedio anual derivado
2017-2026,2025,12,83.316667,83.309724,promedio 2017=100,observado/derivado identificado; promedio anual derivado
2017-2026,2026,6,79.835850,79.829198,promedio 2017=100,parcial enero-junio; promedio anual derivado
