date,year,month,real_index,nominal_index,status
2017-01,2017,1,99.9,90.9507,derivado desde ventas oficiales; base promedio 2017=100
2017-02,2017,2,91.7,84.8631,derivado desde ventas oficiales; base promedio 2017=100
2017-03,2017,3,95.8,90.6932,derivado desde ventas oficiales; base promedio 2017=100
2017-04,2017,4,98.4,95.1145,derivado desde ventas oficiales; base promedio 2017=100
2017-05,2017,5,93.2,91.3102,derivado desde ventas oficiales; base promedio 2017=100
2017-06,2017,6,95.9,95.1093,derivado desde ventas oficiales; base promedio 2017=100
2017-07,2017,7,101.2,101.8006,derivado desde ventas oficiales; base promedio 2017=100
2017-08,2017,8,99.6,101.7112,derivado desde ventas oficiales; base promedio 2017=100
2017-09,2017,9,96.0,99.6433,derivado desde ventas oficiales; base promedio 2017=100
2017-10,2017,10,101.0,105.9262,derivado desde ventas oficiales; base promedio 2017=100
2017-11,2017,11,103.4,109.7883,derivado desde ventas oficiales; base promedio 2017=100
2017-12,2017,12,124.0,133.0894,derivado desde ventas oficiales; base promedio 2017=100
2018-01,2018,1,97.2,106.0346,derivado desde ventas oficiales; base promedio 2017=100
2018-02,2018,2,93.3,103.6109,derivado desde ventas oficiales; base promedio 2017=100
2018-03,2018,3,104.9,119.2635,derivado desde ventas oficiales; base promedio 2017=100
2018-04,2018,4,96.1,111.3707,derivado desde ventas oficiales; base promedio 2017=100
2018-05,2018,5,96.1,114.6988,derivado desde ventas oficiales; base promedio 2017=100
2018-06,2018,6,99.9,125.1624,derivado desde ventas oficiales; base promedio 2017=100
2018-07,2018,7,98.3,128.2319,derivado desde ventas oficiales; base promedio 2017=100
2018-08,2018,8,95.5,128.9289,derivado desde ventas oficiales; base promedio 2017=100
2018-09,2018,9,88.4,130.3445,derivado desde ventas oficiales; base promedio 2017=100
2018-10,2018,10,90.9,141.7539,derivado desde ventas oficiales; base promedio 2017=100
2018-11,2018,11,90.5,146.4195,derivado desde ventas oficiales; base promedio 2017=100
2018-12,2018,12,113.2,186.7535,derivado desde ventas oficiales; base promedio 2017=100
2019-01,2019,1,86.9,148.3,observado INDEC
2019-02,2019,2,82.0,145.6,observado INDEC
2019-03,2019,3,89.7,166.9,observado INDEC
2019-04,2019,4,84.0,162.2,observado INDEC
2019-05,2019,5,83.2,165.9,observado INDEC
2019-06,2019,6,86.7,177.8,observado INDEC
2019-07,2019,7,85.8,179.8,observado INDEC
2019-08,2019,8,88.6,195.0,observado INDEC
2019-09,2019,9,80.6,189.2,observado INDEC
2019-10,2019,10,89.7,216.7,observado INDEC
2019-11,2019,11,88.3,222.0,observado INDEC
2019-12,2019,12,106.1,272.9,observado INDEC
2020-01,2020,1,85.4,229.0,observado INDEC
2020-02,2020,2,86.2,236.7,observado INDEC
2020-03,2020,3,98.2,280.0,observado INDEC
2020-04,2020,4,84.2,244.9,observado INDEC
2020-05,2020,5,87.3,256.6,observado INDEC
2020-06,2020,6,85.3,255.4,observado INDEC
2020-07,2020,7,86.5,264.9,observado INDEC
2020-08,2020,8,83.5,262.5,observado INDEC
2020-09,2020,9,78.7,251.6,observado INDEC
2020-10,2020,10,87.7,291.3,observado INDEC
2020-11,2020,11,87.3,297.4,observado INDEC
2020-12,2020,12,108.8,378.1,observado INDEC
2021-01,2021,1,88.8,320.0,observado INDEC
