jurisdiccion,vs_promedio_1S_2017_2025_pct,status
Neuquén,12.8,referencia publicada; ranking parcial
Río Negro,5.1,referencia publicada; ranking parcial
Santa Fe,-0.4,referencia publicada; ranking parcial
Córdoba,-3.2,referencia publicada; ranking parcial
CABA,-3.8,referencia publicada; ranking parcial
Tierra del Fuego,-4.2,referencia publicada; ranking parcial
Resto PBA,-6.3,referencia publicada; ranking parcial
La Pampa,-8.8,referencia publicada; ranking parcial
San Luis,-12.9,referencia publicada; ranking parcial
Chaco,-21.1,referencia publicada; ranking parcial
Jujuy,-22.1,referencia publicada; ranking parcial
San Juan,-22.1,referencia publicada; ranking parcial
La Rioja,-25.0,referencia publicada; ranking parcial
Santiago del Estero,-25.1,referencia publicada; ranking parcial
Misiones,-29.0,referencia publicada; ranking parcial
Corrientes,-32.8,referencia publicada; ranking parcial
Tucumán,-33.0,referencia publicada; ranking parcial
Formosa,-35.9,referencia publicada; ranking parcial
