fecha,ventana,ipc,ipc_ref,periodo_referencia,banco_real,banco_promedio_historico,banco_brecha_pp,monto_personales_nominal,monto_personales_pesos_constantes,impacto_banco_nominal,impacto_banco_pesos_constantes,pf_real,pf_promedio_historico,pf_brecha_pp,monto_pf_nominal,monto_pf_pesos_constantes,impacto_pf_nominal,impacto_pf_pesos_constantes,pf_rendimiento_perdido_pesos_constantes,pf_rendimiento_adicional_pesos_constantes,fintech_real,fintech_promedio_historico,fintech_brecha_pp,saldo_fintech,exposicion_fintech,exposicion_fintech_pesos_constantes,nota
2021-04,espejo,453.6503,12076.3937,2026-07,0.511781,1.069151,-0.55737,32983971000.0,878049501092.3231,-183842833.200909,-4893986475.171743,-1.270795,-0.528703,-0.742092,2281661518000.0,60738949762642.37,-16932021746.996557,-450738731471.5591,450738731471.5591,0,6.991771,6.986491,0.00528,,,,
2021-05,espejo,468.725,12076.3937,2026-07,1.189214,1.069151,0.120063,29569598000.0,761841393138.2635,35502080.07268,914687921.759261,-0.562328,-0.528703,-0.033625,2295231018000.0,59135129139302.98,-771765549.880158,-19884035680.729156,19884035680.729156,0,7.903708,6.986491,0.917217,,,,
2021-06,espejo,483.6049,12076.3937,2026-07,1.17413,1.069151,0.104979,30353853000.0,757984625755.2935,31865103.206415,795722978.844496,-0.39295,-0.528703,0.135753,2348110621000.0,58636106272594.61,3187636626.715429,79600423562.20018,0,79600423562.20018,7.633889,6.986491,0.647398,,,,
2021-07,espejo,498.0987,12076.3937,2026-07,1.44621,1.069151,0.377059,32409240000.0,785761419890.8529,122201883.503474,2962782388.449296,-0.223862,-0.528703,0.304841,2413238784000.0,58508929350133.336,7356547423.768054,178359355208.40298,0,178359355208.40298,7.874343,6.986491,0.887852,,,,
2021-08,espejo,510.3942,12076.3937,2026-07,1.913213,1.069151,0.844062,42769452000.0,1011964361439.163,361000595.936832,8541604356.922177,0.282764,-0.528703,0.811467,2579720238000.0,61038540857136.9,20933585032.41823,495307772705.70435,0,495307772705.70435,8.50216,6.986491,1.515669,,,,
2021-09,espejo,528.4968,12076.3937,2026-07,0.891113,1.069151,-0.178038,48273216000.0,1103065073584.4365,-85944776.659635,-1963877471.727962,-0.754453,-0.528703,-0.22575,2587806856000.0,59132570741422.1,-5841967347.976937,-133491626962.95303,133491626962.95303,0,7.441496,6.986491,0.455005,,,,
2021-10,espejo,547.0802,12076.3937,2026-07,0.854934,1.069151,-0.214217,51897666000.0,1145602869062.1672,-111173739.668477,-2454078669.52202,-0.723534,-0.528703,-0.194831,2597161473000.0,57330432449245.875,-5060069016.05291,-111697307976.10034,111697307976.10034,0,7.146553,6.986491,0.160062,,,,
2021-11,espejo,560.9184,12076.3937,2026-07,1.743496,1.069151,0.674345,58062667000.0,1250070644792.5364,391542561.449485,8429786083.62718,0.218978,-0.528703,0.747681,2719242236000.0,58544415386630.77,20331264508.70135,437725620385.9859,0,437725620385.9859,7.929892,6.986491,0.943401,,,,
2021-12,espejo,582.4575,12076.3937,2026-07,0.54903,1.069151,-0.520121,48080523000.0,996878441860.4021,-250077004.957852,-5184976358.254245,-1.04028,-0.528703,-0.511577,2726478035000.0,56529484408840.78,-13948027552.421091,-289191695636.9941,289191695636.9941,0,6.560859,6.986491,-0.425632,,,,
2022-01,espejo,605.0317,12076.3937,2026-07,0.67758,1.069151,-0.391571,45268321000.0,903552766795.4882,-177257718.83546,-3538052632.648699,-0.87584,-0.528703,-0.347137,2974272623000.0,59366289677846.09,-10324793135.812523,-206082204914.43607,206082204914.43607,0,6.479303,6.986491,-0.507188,,,,
