fecha,banco_real,banco_promedio_historico,banco_brecha_tecnica_pp,monto_personales,impacto_banco_nominal,impacto_hogar_banco_nominal,impacto_hogar_banco_constante,pf_real,pf_promedio_historico,pf_brecha_pp,monto_pf,impacto_hogar_pf_nominal,impacto_hogar_pf_constante,impacto_hogar_total_nominal,impacto_hogar_total,fintech_tna,fintech_real,fintech_promedio_historico,fintech_brecha_tecnica_pp,stock_fintech_constante_feb_2026,stock_fintech_constante_jul_2026,impacto_costo_fintech_constante,impacto_hogar_fintech_constante,impacto_hogar_total_ampliado,fintech_tasa_metodo,fintech_stock_metodo,fintech_tasa_observada,ipc,ipc_ref,factor_ipc,periodo_referencia,ventana
2021-04,0.511781,1.069151,-0.55737,32983971000.0,-183842833.200909,183842833.200909,4893986475.171743,-1.270795,-0.528703,-0.742092,2281661518000.0,-16932021746.996557,-450738731471.5591,-16748178913.795649,-445844744996.3873,136.288201,6.991772,6.986491,0.005281,670058666666.6666,755219327149.02,39883010.975602,-39883010.975602,-445884628007.3629,TNA oficial mensual,interpolado entre cortes oficiales,True,453.6503,12076.3937,26.620491,2026-07,espejo
2021-05,1.189214,1.069151,0.120063,29569598000.0,35502080.07268,-35502080.07268,-914687921.759261,-0.562328,-0.528703,-0.033625,2295231018000.0,-771765549.880158,-19884035680.729156,-807267629.952838,-20798723602.48842,137.87189,7.903708,6.986491,0.917217,738490083333.3334,832347989192.8226,7634435893.049965,-7634435893.049965,-28433159495.538383,TNA oficial mensual,interpolado entre cortes oficiales,True,468.725,12076.3937,25.764347,2026-07,espejo
2021-06,1.17413,1.069151,0.104979,30353853000.0,31865103.206415,-31865103.206415,-795722978.844496,-0.39295,-0.528703,0.135753,2348110621000.0,3187636626.715429,79600423562.20018,3155771523.509015,78804700583.35568,132.609337,7.633889,6.986491,0.647398,806921500000.0,909476651236.6251,5887932562.739607,-5887932562.739607,72916768020.61607,TNA oficial mensual,interpolado entre cortes oficiales,True,483.6049,12076.3937,24.971612,2026-07,espejo
2021-07,1.44621,1.069151,0.377059,32409240000.0,122201883.503474,-122201883.503474,-2962782388.449296,-0.223862,-0.528703,0.304841,2413238784000.0,7356547423.768054,178359355208.40298,7234345540.26458,175396572819.95367,133.288471,7.874343,6.986491,0.887852,875352916666.6667,986605313280.4277,8759593376.208965,-8759593376.208965,166636979443.74472,TNA oficial mensual,interpolado entre cortes oficiales,True,498.0987,12076.3937,24.244981,2026-07,espejo
2021-08,1.913213,1.069151,0.844062,42769452000.0,361000595.936832,-361000595.936832,-8541604356.922177,0.282764,-0.528703,0.811467,2579720238000.0,20933585032.41823,495307772705.70435,20572584436.481396,486766168348.78217,134.166261,8.50216,6.986491,1.51567,943784333333.3333,1063733975324.23,16122692511.529263,-16122692511.529263,470643475837.2529,TNA oficial mensual,interpolado entre cortes oficiales,True,510.3942,12076.3937,23.660915,2026-07,espejo
2021-09,0.891113,1.069151,-0.178038,48273216000.0,-85944776.659635,85944776.659635,1963877471.727962,-0.754453,-0.528703,-0.22575,2587806856000.0,-5841967347.976937,-133491626962.95303,-5756022571.317303,-131527749491.22507,135.026619,7.441496,6.986491,0.455005,1012215750000.0,1140862637368.0325,5190986818.886573,-5190986818.886573,-136718736310.11163,TNA oficial mensual,interpolado entre cortes oficiales,True,528.4968,12076.3937,22.850458,2026-07,espejo
2021-10,0.854934,1.069151,-0.214217,51897666000.0,-111173739.668477,111173739.668477,2454078669.52202,-0.723534,-0.528703,-0.194831,2597161473000.0,-5060069016.05291,-111697307976.10034,-4948895276.384433,-109243229306.57832,130.969451,7.146554,6.986491,0.160063,1080647166666.6667,1217991299411.8352,1949551699.305136,-1949551699.305136,-111192781005.88345,TNA oficial mensual,interpolado entre cortes oficiales,True,547.0802,12076.3937,22.074266,2026-07,espejo
2021-11,1.743496,1.069151,0.674345,58062667000.0,391542561.449485,-391542561.449485,-8429786083.62718,0.218978,-0.528703,0.747681,2719242236000.0,20331264508.70135,437725620385.9859,19939721947.251865,429295834302.3587,127.91929,7.929892,6.986491,0.943402,1149078583333.3333,1295119961455.6375,12218183403.36692,-12218183403.36692,417077650898.99176,TNA oficial mensual,interpolado entre cortes oficiales,True,560.9184,12076.3937,21.52968,2026-07,espejo
2021-12,0.54903,1.069151,-0.520121,48080523000.0,-250077004.957852,250077004.957852,5184976358.254245,-1.04028,-0.528703,-0.511577,2726478035000.0,-13948027552.421091,-289191695636.9941,-13697950547.46324,-284006719278.7398,127.833174,6.560859,6.986491,-0.425632,1217510000000.0,1372248623499.44,-5840723760.770744,5840723760.770744,-278165995517.96906,TNA oficial mensual,corte oficial,True,582.4575,12076.3937,20.733519,2026-07,espejo
2022-01,0.67758,1.069151,-0.391571,45268321000.0,-177257718.83546,177257718.83546,3538052632.648699,-0.87584,-0.528703,-0.347137,2974272623000.0,-10324793135.812523,-206082204914.43607,-10147535416.977062,-202544152281.78735,127.273227,6.479303,6.986491,-0.507188,1242261166666.6667,1400145523227.8518,-7101364439.993366,7101364439.993366,-195442787841.79398,TNA oficial mensual,interpolado entre cortes oficiales,True,605.0317,12076.3937,19.959935,2026-07,espejo
