id,tema,institucion,titulo,url_original,archivo_local,fecha_descarga,fecha_publicacion,codigo_serie,periodo_utilizado,tipo,sha256,nota
indec_estrategias_manutencion_2025,ahorro_hogares,INDEC,Estrategias de manutención: ¿cómo organizan su economía los hogares argentinos?,https://www.indec.gob.ar/ftp/cuadros/publicaciones/dosier_estrategias_manutencion_2025.pdf,,2026-08-27,2025-11,,2018 y 2023-2025,PDF oficial referenciado,,"Uso de ahorros, préstamos, cuotas/fiado y ayudas; apertura por estrato de ingresos."
bcra_iif_1s2024_ahorro_ph,ahorro_hogares,BCRA,Informe de Inclusión Financiera · primer semestre 2024,https://www.bcra.gob.ar/publicaciones/informe-de-inclusion-financiera-primer-semestre-2024/,,2026-08-27,,,2023-12/2024-06,URL oficial referenciada,,"Stock ahorro/inversión PH: -20,6% real vs dic-2023; plazo fijo y composición."
bcra_iif_2s2024_ahorro_ph,ahorro_hogares,BCRA,Informe de Inclusión Financiera · segundo semestre 2024,https://www.bcra.gob.ar/publicaciones/informe-de-inclusion-financiera-segundo-semestre-del-2024/,,2026-08-27,,,2024-06/2024-12,URL oficial referenciada,,"Recomposición agregada: +21,7% semestral y +5,5% interanual; composición y regularización de activos."
bcra_iif_2s2025_ahorro_ph,ahorro_hogares,BCRA,Informe de Inclusión Financiera · segundo semestre 2025,https://www.bcra.gob.ar/publicaciones/informe-de-inclusion-financiera-segundo-semestre-de-2025/,,2026-08-27,2026-04-30,,2025-12,URL oficial referenciada,,"Stock PH 10,4% PIB; +12,4% real i.a.; cobertura y profundidad del ahorro."
capital_humano_auh_alimentar_cba_2024,proteccion_social,Ministerio de Capital Humano,AUH + Tarjeta Alimentar cubren 100% de la CBA,https://www.argentina.gob.ar/node/450359,,2026-08-27,2024-11-21,,2023-12/2024-11,URL oficial referenciada,,"54,8% CBA dic-2023 a 100% en 2024; cobertura normativa, no efecto causal de pobreza."
bcra_isb_dic2013_buffers,ciclo_ajuste_bancos,BCRA,Informe sobre Bancos · diciembre 2013,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-diciembre-de-2013/,,2026-08-27,,,2013-12,URL oficial referenciada,,"Baseline buffers: mora, previsiones, liquidez, capital y ROA."
bcra_isb_ene2014_ciclo,ciclo_ajuste_bancos,BCRA,Informe sobre Bancos · enero 2014,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-enero-de-2014/,,2026-08-27,2014-03-28,,2014-01,URL oficial referenciada,,"Overshoot inicial, FX/valuación, liquidez, capital y ROA."
bcra_isb_feb2014_ciclo,ciclo_ajuste_bancos,BCRA,Informe sobre Bancos · febrero 2014,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-febrero-de-2014/,,2026-08-27,,,2014-02,URL oficial referenciada,,Normalización del margen y cambios en exposición FX.
bcra_isb_abr2014_ciclo,ciclo_ajuste_bancos,BCRA,Informe sobre Bancos · abril 2014,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-abril-de-2014/,,2026-08-27,,,2014-04,URL oficial referenciada,,"Resultados por títulos, gastos de administración y mora."
bcra_isb_jun2014_ciclo,ciclo_ajuste_bancos,BCRA,Informe sobre Bancos · junio 2014,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-junio-de-2014/,,2026-08-27,2014-08-22,,2014-Q2,URL oficial referenciada,,"ROA Q2 +0,8 pp i.a., fundamentalmente por títulos; cobertura de mora y capital."
bcra_isb_jul2014_ciclo,ciclo_ajuste_bancos,BCRA,Informe sobre Bancos · julio 2014,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-julio-de-2014/,,2026-08-27,,,2014-07,URL oficial referenciada,,"Resultado acumulado, mora y buffers durante recovery."
bcra_imm_jun2014_a5590,regulacion_credito,BCRA,Informe Monetario Mensual · junio 2014,https://www.bcra.gob.ar/publicaciones/informe-monetario-mensual-junio-de-2014/,,2026-08-27,,,2014-06,URL oficial referenciada,,Entrada en vigencia de A5590 y descenso de tasas de personales/prendarios.
bcra_com_a5590,regulacion_credito,BCRA,Comunicación A 5590 · regulación de tasas de interés,https://www.bcra.gob.ar/Pdfs/comytexord/A5590.pdf,,2026-08-27,2014-06-10,,2014,PDF normativa oficial referenciada,,Topes de tasa para financiaciones alcanzadas; falsificador del signo regulatorio universal pro-banco.
bcra_proteccion_usuarios_2015_resumen,regulacion_credito,BCRA,"Protección de usuarios · resumen A 5460, A 5590 y A 5853",https://www.bcra.gob.ar/Pdfs/Informacion_usuario/pta_27_201512.pdf,,2026-08-27,,,2013-2015,PDF oficial referenciado,,Síntesis institucional de regulación y posterior liberalización de tasas.
bcra_com_a5853,regulacion_credito,BCRA,Comunicación A 5853 · tasas concertadas libremente,https://www.bcra.gob.ar/Pdfs/comytexord/A5853.pdf,,2026-08-27,2015-12-17,,2015-12,PDF normativa oficial referenciada,,Elimina el esquema general de topes de A5590; signo pro-libertad de pricing.
bcra_com_a5928,regulacion_credito,BCRA,Comunicación A 5928 · protección de usuarios y cargos,https://www.bcra.gob.ar/Pdfs/comytexord/A5928.pdf,,2026-08-27,2016-03-21,,2016-09+,PDF normativa oficial referenciada,,Seguro saldo deudor y cargos: costo removido al usuario ≠ ingreso bancario perdido.
bcra_ief_1s2018_ciclo,ciclo_ajuste_bancos,BCRA,IEF · primer semestre 2018,https://www.bcra.gob.ar/publicaciones/informe-de-estabilidad-financiera-primer-semestre-de-2018/,,2026-08-27,,,2018-Q1/Q2,URL oficial referenciada,,"Pretrend, solvencia/liquidez, crédito y quiebre NIIF."
bcra_isb_abr2018_ciclo,ciclo_ajuste_bancos,BCRA,Informe sobre Bancos · abril 2018,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-abril-2018/,,2026-08-27,,,2018-04,URL oficial referenciada,,"Baseline inmediato de previsiones, liquidez, capital y ROA."
bcra_isb_may2018_ciclo,ciclo_ajuste_bancos,BCRA,Informe sobre Bancos · mayo 2018,https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-mayo-de-2018/,,2026-08-27,,,2018-05,URL oficial referenciada,,Atribución oficial del aumento mensual de rentabilidad principalmente al tipo de cambio.
