id,tema,institucion,titulo,url_original,archivo_local,fecha_descarga,fecha_publicacion,codigo_serie,periodo_utilizado,tipo,sha256,nota
bcra_entidades_dic2023_red_pases,ciclo_ajuste_bancos,BCRA,Información de Entidades Financieras · diciembre 2023,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Entidades/202312e.pdf,,2026-08-27,,,2023-12,PDF oficial referenciado,,"Base individual por entidad, agregados institucionales y denominador de activos; asset share se usa sólo como diagnóstico de cobertura, no como pass-flow weight."
icbc_eeff_9m2023_aq,ciclo_ajuste_bancos,ICBC Argentina,Estados financieros 30/09/2023 · Anexo Q,https://www.icbc.com.ar/wcm/connect/4de3ed09-cb4e-4064-b6a5-0aa3f0bca5fd/Estados%2BFinancieros%2BICBC%2B202309_ESPA%C3%91OL%2BLEGALIZADO.pdf?CVID=oNG1sHj&MOD=AJPERES,,2026-08-27,,,2023-09 9M,PDF oficial referenciado,,Base individual compatible; pata 9M para bridge Q4 four-leg exacto.
icbc_eeff_fy2023_aq,ciclo_ajuste_bancos,ICBC Argentina,Estados financieros 31/12/2023 · Anexo Q,https://www.icbc.com.ar/wcm/connect/09254af5-2d9a-4742-bec0-bbd0018305d5/Estados%2BFinancieros%2BICBC%2B202312_ESPA%C3%91OL%2BLEGALIZADO.pdf?CVID=oUU1Wae&MOD=AJPERES,,2026-08-27,,,2023 FY,PDF oficial referenciado,,Base individual compatible; pata FY para bridge Q4 four-leg exacto.
bapro_eeff_fy2023_aq,ciclo_ajuste_bancos,Banco Provincia,Estados financieros FY 2023 · Anexo Q separado,https://www.bancoprovincia.com.ar/CDN/Get/EEFF_unificado_31122023,,2026-08-27,,,2023 FY,PDF oficial referenciado,,Control FY individual exacto; no se llama Q4 sin 9M separado compatible.
bapro_disciplina_sep2023_control,ciclo_ajuste_bancos,Banco Provincia,Disciplina de Mercado · septiembre 2023,https://www.bancoprovincia.com.ar/CDN/Get/Disciplina_de_Mercado_septiembre_2023,,2026-08-27,,,2023-09,PDF oficial referenciado,,Control primario al 30/09/2023; no contiene el Anexo Q separado requerido para el bridge.
credicoop_eeff_fy2023_aq,ciclo_ajuste_bancos,Banco Credicoop,Memoria y Balance 2023 · Anexo Q separado,https://www.bancocredicoop.coop/api/descargas/descargar.php?descarga=819,,2026-08-27,,,2023 FY,PDF oficial referenciado,,Control FY individual exacto; 9M primario compatible no recuperado al corte V70.
valo_eeff_9m2023_aq_mirror,ciclo_ajuste_bancos,Banco de Valores / mirror regulatorio,Estados separados 30/09/2023 · Anexo Q,https://cdn.financialreports.eu/financialreports/media/filings/68513/2023/RNS/68513_rns_2023-11-23_b356ffca-3ad3-4121-b2bc-c9ff8ad7aa0e.pdf,,2026-08-27,,,2023-09 9M,copia de filing regulatorio referenciada,,Bytes del filing recuperados vía mirror; usados con FY oficial para bridge Q4 exacto.
valo_eeff_fy2023_aq,ciclo_ajuste_bancos,Banco de Valores,Estados financieros FY 2023 · bloque separado / Anexo Q,https://www.valo.ar/wp-content/uploads/BVSA-2023-Estados-Financieros-con-PDU-e-ICF-Consolidado-Legalizado.pdf,,2026-08-27,,,2023 FY,PDF oficial referenciado,,Fuente del emisor; base separada para bridge Q4 exacto.
macro_eeff_9m2023_aq,ciclo_ajuste_bancos,Banco Macro,Estados financieros 30/09/2023 · bloque separado / Anexo Q,https://www.macro.com.ar/relaciones-inversores/documento/1580934703038/banco_macro_sa_eeff_30-09-2023.pdf,,2026-08-27,,,2023-09 9M,PDF oficial referenciado,,Base individual/separada compatible; bridge Q4 exacto.
macro_eeff_fy2023_aq,ciclo_ajuste_bancos,Banco Macro,Estados financieros 31/12/2023 · bloque separado / Anexo Q,https://www.macro.com.ar/relaciones-inversores/documento/1580935557769/eeff_bm_31-12-2023.pdf,,2026-08-27,,,2023 FY,PDF oficial referenciado,,Base individual/separada compatible; bridge Q4 exacto.
supervielle_eeff_9m2023_sep,ciclo_ajuste_bancos,Banco Supervielle,Estados financieros condensados 30/09/2023 · separados,https://content-us-7.content-cms.com/8ba19f21-9a97-4525-8886-f54d823a5cea/dxdam/02/025e5bb4-d630-480e-a03d-397a022080ff/EECC%20Banco%20Supervielle%2030.09.23.pdf,,2026-08-27,,,2023-09 9M,PDF oficial referenciado,,Permite total 9M de pases; no abre contraparte suficiente para four-leg exacto.
supervielle_eeff_fy2023_aq,ciclo_ajuste_bancos,Banco Supervielle,Estados financieros FY 2023 · Anexo Q separado,https://content-us-7.content-cms.com/8ba19f21-9a97-4525-8886-f54d823a5cea/dxdam/08/08afb7e5-b4c1-4396-925e-b66a2f5c13b1/EECC%20Banco%20Supervielle%2031.12.2023.pdf,,2026-08-27,,,2023 FY,PDF oficial referenciado,,"Abre contraparte FY; combinado con 9M sostiene bound Q4, no four-leg puntual."
santander_cnv_filings_2023,ciclo_ajuste_bancos,CNV,Banco Santander Argentina · presentaciones 2023,https://www.cnv.gov.ar/SitioWeb/Empresas/Empresa/30500008454,,2026-08-27,,,2023-09/2023-12,URL regulatoria oficial referenciada,,Metadata regulatoria distingue presentaciones individuales/separadas de consolidadas.
santander_eeff_9m2023_sep_mirror,ciclo_ajuste_bancos,Santander Argentina / mirror regulatorio,Estados separados intermedios 30/09/2023,https://cdn.financialreports.eu/financialreports/media/filings/68743/2023/RNS/68743_rns_2023-11-24_514c3f88-1bff-43e7-9afe-b8e793c5e3e1.pdf,,2026-08-27,,,2023-09 9M,copia de filing regulatorio referenciada,,"No contiene Anexo Q; Nota 26.1 da total acumulado de ingresos por pases. Se usa sólo para total/bound, no para completar four-leg."
santander_eeff_fy2023_aq_mirror,ciclo_ajuste_bancos,Santander Argentina / mirror regulatorio,Estados separados FY 2023 · Anexo Q,https://cdn.financialreports.eu/financialreports/media/filings/68743/2024/RNS/68743_rns_2024-03-06_8a497326-fbc5-4ac4-bb14-21ece6df12e5.pdf,,2026-08-27,,,2023 FY,copia de filing regulatorio referenciada,,"Abre contraparte FY; junto al total 9M sostiene bound individual de ingreso Q4, no four-leg completo."
bna_memoria_fy2023_aq,ciclo_ajuste_bancos,Banco Nación,Memoria y Estados Financieros 2023 · Schedule Q individual/consolidado,https://www.bna.com.ar/Downloads/Institucional_MemoriayBalances_Memoria%202023%20Ingles.pdf,,2026-08-27,,,2023 FY,PDF oficial referenciado,,Schedule Q individual difiere del consolidado en otherFI; valida que bases no deben mezclarse. FY no se sustituye por Q4.
agn_bna_informe210_9m2023,ciclo_ajuste_bancos,AGN,Informe 210/2023 · BNA 9M 2023,https://www.agn.gob.ar/informes/Informe-210-2023,,2026-08-27,,,2023-09 9M,URL oficial referenciada,,Identifica estados intermedios consolidados condensados y separados condensados; attachments no recuperados al cierre V70.
bna_balance_condensado_sep2023_control,ciclo_ajuste_bancos,Banco Nación,Balance Condensado · septiembre 2023,https://www.bna.com.ar/Downloads/Institucional_MemoriayBalances_BALANCE%20CONDENSADO%20SEPT%202023.pdf,,2026-08-27,,,2023-09 9M,PDF oficial referenciado,,"Primario pero inclusivo de filiales/subsidiarias/entes estructurados; no contiene Anexo Q. Control consolidado, no bridge individual."
ciudad_eeff_9m2023_consol_control,ciclo_ajuste_bancos,Banco Ciudad,Estados financieros consolidados 30/09/2023,https://www.bancociudad.com.ar/cms/recursos/institucional/carpetarecurso/Balances%20Trimestrales/EstadosFinancieros/2023.09_-_EEFF_consolidados.pdf,,2026-08-27,,,2023-09 9M,PDF oficial referenciado,,Control consolidado; no sustituye el estado individual/separado para panel sistémico.
bcra_prestamos_activos_sector_mapping,ciclo_ajuste_hogares,BCRA,Préstamos y otros activos de las entidades financieras,https://www.bcra.gob.ar/prestamos-y-otros-activos-de-las-entidades-financieras/,,2026-08-27,,,metodología vigente,URL oficial referenciada,,Apoya auditoría producto→tipo de titular; no convierte líneas de producto en flujo devengado de hogares.
bcra_boldat202505_tipo_titular,ciclo_ajuste_hogares,BCRA,Boletín Estadístico mayo 2025 · tipo de titular/destino,https://www7.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/BoletinEstadistico/boldat202505.pdf,,2026-08-27,,,metodología/cuadros XIX-XX,PDF oficial referenciado,,Hipotecarios/prendarios distinguen personas humanas y jurídicas; producto != sector hogar.
bcra_bolmetes_prestamos_titular,ciclo_ajuste_hogares,BCRA,Notas metodológicas del Boletín Estadístico,https://web2.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/bolmetes.pdf,,2026-08-27,,,metodología,PDF oficial referenciado,,Definiciones de préstamos y tipo de titular usadas para el gate sector hogar.
refs_ciclo_ajuste_v70,ciclo_ajuste_bancos,Elaboración propia,Referencias Ciclo del Ajuste · V70,,/data/fuentes/ciclo_ajuste/REFERENCIAS_CICLO_AJUSTE_V70.md,2026-08-27,,,V34-V70,mapa documental / auditoría,c5d252c43bbed9a733a4911cd38f903e0a1707218c87ca3f5cba549c16a3f378,"Mapa vigente: reglas, revocaciones, fuentes primarias y estado de gates."
audit_ciclo_ajuste_v70,ciclo_ajuste_bancos,Elaboración propia,Auditoría Ciclo del Ajuste · V70,,/data/fuentes/ciclo_ajuste/AUDITORIA_CICLO_AJUSTE_V70.md,2026-08-27,,,V70,auditoría metodológica,20e07483e3c8c05b027443b760b6fa5de98352b71453b611594caa2c4898015a,Auditoría de recuperación BNA 9M y gate de bancos públicos.
veredicto_ciclo_ajuste_v70,ciclo_ajuste_bancos,Elaboración propia,Veredicto Ciclo del Ajuste · V70,,/data/fuentes/ciclo_ajuste/VEREDICTO_CICLO_AJUSTE_V70.md,2026-08-27,,,V70,auditoría metodológica,0e8cf3a2fc75d74d4ea6309264ede4de86b7bc4a5ad052d6373dc95274d8fd69,"Estado autoritativo: cobertura exacta 11,260968%; red cerrada no alcanzada; IEF 7,7 pp BCRA share N/D."
ledger_ciclo_ajuste_v70,ciclo_ajuste_bancos,Elaboración propia,Evidence ledger Ciclo del Ajuste · V70,,/data/fuentes/ciclo_ajuste/v70/EVIDENCE_LEDGER_CICLO_AJUSTE_V70.csv,2026-08-27,,,V70,CSV derivado/auditoría,d1123924ec41b3e286d1026aa2b1339112b8bea7ca221826bb150ea108826b4a,"Ledger machine-readable de claims, evidencia y estado."
four_leg_pass_panel_v70,ciclo_ajuste_bancos,Elaboración propia,Panel four-leg de pases · V70,,/data/fuentes/ciclo_ajuste/v70/FOUR_LEG_PASS_PANEL_V70.csv,2026-08-27,,,2023-Q4 / V70,CSV derivado/auditoría,c514f7b0960afc492dffc5fbd85677739f9536c8c2ac9edca819206428b4cb57,Panel por entidad; exact/bound/N-D se conservan separados.
closed_network_coverage_v70,ciclo_ajuste_bancos,Elaboración propia,Cobertura de red de pases · V70,,/data/fuentes/ciclo_ajuste/v70/CLOSED_NETWORK_COVERAGE_V70.csv,2026-08-27,,,2023-Q4 / V70,CSV derivado/auditoría,bc6b203654dd2b7cde0c800056bcfe93ddef162448e0c6888d11a1eeea04f050,Cobertura estricta por activos usada sólo como diagnóstico documental.
bna_9m_recovery_v70,ciclo_ajuste_bancos,Elaboración propia,Auditoría recuperación BNA 9M · V70,,/data/fuentes/ciclo_ajuste/v70/BNA_9M_BINARY_RECOVERY_V70.csv,2026-08-27,,,2023-09 / V70,CSV derivado/auditoría,8f6c89ff13d127d2279cc18afde77bcc497cd16602fc543621cee0b6bf733d48,Clasifica fuentes AGN/BNA y evita usar resumen consolidado como individual.
household_sector_mapping_v70,ciclo_ajuste_hogares,Elaboración propia,Mapping producto → sector hogar · V70,,/data/fuentes/ciclo_ajuste/v70/HOUSEHOLD_SECTOR_MAPPING_V70.csv,2026-08-27,,,V70,CSV derivado/auditoría,0a809143c2981af02896c62c4a60e024bf293a1d95ae6604ad8821dea9cdd852,Mantiene producto != sector institucional y accrued-interest bridge no identificado.
