periodo,estrato_ipcf,perfil_exclusivo,porcentaje_ponderado,hogares_expandidos,hogares_expandidos_denominador,n_muestral
2025-Q1,total,combinacion_de_2_o_mas_canales,35.695,3644059,10208952,15984
2025-Q1,total,ninguna_v13_v17,28.902,2950549,10208952,15984
2025-Q1,total,solo_ahorro,9.118,930807,10208952,15984
2025-Q1,total,solo_cuotas_fiado,21.854,2231090,10208952,15984
2025-Q1,total,solo_prestamos,3.551,362533,10208952,15984
2025-Q1,total,solo_venta,0.881,89914,10208952,15984
2025-Q1,bajo,combinacion_de_2_o_mas_canales,35.2,1453506,4129284,8978
2025-Q1,bajo,ninguna_v13_v17,32.522,1342939,4129284,8978
2025-Q1,bajo,solo_ahorro,10.612,438219,4129284,8978
2025-Q1,bajo,solo_cuotas_fiado,14.946,617145,4129284,8978
2025-Q1,bajo,solo_prestamos,5.234,216127,4129284,8978
2025-Q1,bajo,solo_venta,1.486,61348,4129284,8978
2025-Q1,medio,combinacion_de_2_o_mas_canales,36.154,1465452,4053319,4857
2025-Q1,medio,ninguna_v13_v17,28.11,1139405,4053319,4857
2025-Q1,medio,solo_ahorro,9.517,385765,4053319,4857
2025-Q1,medio,solo_cuotas_fiado,22.905,928425,4053319,4857
2025-Q1,medio,solo_prestamos,2.85,115517,4053319,4857
2025-Q1,medio,solo_venta,0.463,18755,4053319,4857
2025-Q1,alto,combinacion_de_2_o_mas_canales,35.784,725101,2026349,2149
2025-Q1,alto,ninguna_v13_v17,23.106,468205,2026349,2149
2025-Q1,alto,solo_ahorro,5.272,106823,2026349,2149
2025-Q1,alto,solo_cuotas_fiado,33.83,685520,2026349,2149
2025-Q1,alto,solo_prestamos,1.524,30889,2026349,2149
2025-Q1,alto,solo_venta,0.484,9811,2026349,2149
2025-Q2,total,combinacion_de_2_o_mas_canales,36.801,3726505,10126162,16169
2025-Q2,total,ninguna_v13_v17,29.723,3009752,10126162,16169
2025-Q2,total,solo_ahorro,8.415,852107,10126162,16169
2025-Q2,total,solo_cuotas_fiado,20.479,2073693,10126162,16169
2025-Q2,total,solo_prestamos,3.449,349233,10126162,16169
2025-Q2,total,solo_venta,1.134,114872,10126162,16169
2025-Q2,bajo,combinacion_de_2_o_mas_canales,37.598,1550102,4122882,8962
2025-Q2,bajo,ninguna_v13_v17,32.524,1340937,4122882,8962
2025-Q2,bajo,solo_ahorro,9.529,392882,4122882,8962
2025-Q2,bajo,solo_cuotas_fiado,14.285,588955,4122882,8962
2025-Q2,bajo,solo_prestamos,4.377,180439,4122882,8962
2025-Q2,bajo,solo_venta,1.687,69567,4122882,8962
2025-Q2,medio,combinacion_de_2_o_mas_canales,37.692,1509256,4004146,4958
2025-Q2,medio,ninguna_v13_v17,28.395,1136987,4004146,4958
2025-Q2,medio,solo_ahorro,8.103,324447,4004146,4958
2025-Q2,medio,solo_cuotas_fiado,21.86,875295,4004146,4958
2025-Q2,medio,solo_prestamos,3.191,127761,4004146,4958
2025-Q2,medio,solo_venta,0.759,30400,4004146,4958
2025-Q2,alto,combinacion_de_2_o_mas_canales,33.372,667147,1999134,2249
2025-Q2,alto,ninguna_v13_v17,26.603,531828,1999134,2249
2025-Q2,alto,solo_ahorro,6.742,134778,1999134,2249
2025-Q2,alto,solo_cuotas_fiado,30.485,609443,1999134,2249
2025-Q2,alto,solo_prestamos,2.053,41033,1999134,2249
2025-Q2,alto,solo_venta,0.746,14905,1999134,2249
2025-S1,total,combinacion_de_2_o_mas_canales,36.246,7370564,20335114,32153
2025-S1,total,ninguna_v13_v17,29.31,5960301,20335114,32153
2025-S1,total,solo_ahorro,8.768,1782914,20335114,32153
2025-S1,total,solo_cuotas_fiado,21.169,4304783,20335114,32153
2025-S1,total,solo_prestamos,3.5,711766,20335114,32153
2025-S1,total,solo_venta,1.007,204786,20335114,32153
2025-S1,bajo,combinacion_de_2_o_mas_canales,36.398,3003608,8252166,17940
2025-S1,bajo,ninguna_v13_v17,32.523,2683876,8252166,17940
2025-S1,bajo,solo_ahorro,10.071,831101,8252166,17940
2025-S1,bajo,solo_cuotas_fiado,14.616,1206100,8252166,17940
2025-S1,bajo,solo_prestamos,4.806,396566,8252166,17940
2025-S1,bajo,solo_venta,1.586,130915,8252166,17940
2025-S1,medio,combinacion_de_2_o_mas_canales,36.919,2974708,8057465,9815
2025-S1,medio,ninguna_v13_v17,28.252,2276392,8057465,9815
2025-S1,medio,solo_ahorro,8.814,710212,8057465,9815
2025-S1,medio,solo_cuotas_fiado,22.386,1803720,8057465,9815
