persona_id,persona,camara,jurisdiccion,oa_nombre,oa_person_key,oa_anios,evidencia_misma_institucion_anios,nombre_padron_camara,distrito_padron_camara,nombre_presentacion_camara_2025,distrito_presentacion_camara_2025,tipo_presentacion_camara_2025,coincidencia_nombre_presentacion,coincidencia_nombre_fuente_actual,cuit_unico_en_consolidado,estado_revision_identidad,publicable_en_tab,alcance_serie,nota_alcance,criterio,fuente_padron_url,fuente_presentacion_url,fuente_serie_url,respaldo_padron_local,respaldo_presentacion_local,respaldo_oa_local
prov-rn-leg-sposito-ayelen,Ayelén SPÓSITO,Legislatura Río Negro,Río Negro,SPOSITO AYELEN,e0de4d50a49a6721,2019|2020,,Ayelén SPÓSITO,Río Negro,,,,exacta_por_tokens,exacta_por_tokens,sí,identidad_confirmada_cruce_oficial,sí,historial_publico_oa_previo_no_equivale_ddjj_mandato_actual,Historial público OA previo al corte: puede incluir Legislatura CABA o cargos nacionales anteriores; no equivale por sí solo a la DDJJ del mandato actual.,"Transcripción estructurada y fechada de la nómina oficial rionegrina, con URL de bloque por fila, + nombre exacto o compatible por tokens con una sola clave fiscal reservada en OA + historial oficial OA. El respaldo no se presenta como descarga HTML cruda del portal.",https://web.legisrn.gov.ar/institucional/legisladores,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/subnational_roster/rio_negro_legisladores_vigentes_2026-09-01.csv,,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
prov-rn-leg-agostino-daniela-beatriz,Daniela Beatriz AGOSTINO,Legislatura Río Negro,Río Negro,AGOSTINO DANIELA BEATRIZ,4487694925c1517b,2018,,Daniela Beatriz AGOSTINO,Río Negro,,,,exacta_por_tokens,exacta_por_tokens,sí,identidad_confirmada_cruce_oficial,sí,historial_publico_oa_previo_no_equivale_ddjj_mandato_actual,Historial público OA previo al corte: puede incluir Legislatura CABA o cargos nacionales anteriores; no equivale por sí solo a la DDJJ del mandato actual.,"Transcripción estructurada y fechada de la nómina oficial rionegrina, con URL de bloque por fila, + nombre exacto o compatible por tokens con una sola clave fiscal reservada en OA + historial oficial OA. El respaldo no se presenta como descarga HTML cruda del portal.",https://web.legisrn.gov.ar/institucional/legisladores,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/subnational_roster/rio_negro_legisladores_vigentes_2026-09-01.csv,,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
prov-rn-leg-lopez-facundo-manuel,Facundo Manuel LÓPEZ,Legislatura Río Negro,Río Negro,LOPEZ FACUNDO MANUEL,3a81dee1bc59e943,2020|2021|2022|2023,,Facundo Manuel LÓPEZ,Río Negro,,,,exacta_por_tokens,exacta_por_tokens,sí,identidad_confirmada_cruce_oficial,sí,historial_publico_oa_previo_no_equivale_ddjj_mandato_actual,Historial público OA previo al corte: puede incluir Legislatura CABA o cargos nacionales anteriores; no equivale por sí solo a la DDJJ del mandato actual.,"Transcripción estructurada y fechada de la nómina oficial rionegrina, con URL de bloque por fila, + nombre exacto o compatible por tokens con una sola clave fiscal reservada en OA + historial oficial OA. El respaldo no se presenta como descarga HTML cruda del portal.",https://web.legisrn.gov.ar/institucional/legisladores,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/subnational_roster/rio_negro_legisladores_vigentes_2026-09-01.csv,,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
prov-rn-leg-acevedo-javier-edue,Javier Edue ACEVEDO,Legislatura Río Negro,Río Negro,ACEVEDO JAVIER EDUE,83329ff679617f86,2017,,Javier Edue ACEVEDO,Río Negro,,,,exacta_por_tokens,exacta_por_tokens,sí,identidad_confirmada_cruce_oficial,sí,historial_publico_oa_previo_no_equivale_ddjj_mandato_actual,Historial público OA previo al corte: puede incluir Legislatura CABA o cargos nacionales anteriores; no equivale por sí solo a la DDJJ del mandato actual.,"Transcripción estructurada y fechada de la nómina oficial rionegrina, con URL de bloque por fila, + nombre exacto o compatible por tokens con una sola clave fiscal reservada en OA + historial oficial OA. El respaldo no se presenta como descarga HTML cruda del portal.",https://web.legisrn.gov.ar/institucional/legisladores,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/subnational_roster/rio_negro_legisladores_vigentes_2026-09-01.csv,,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
prov-rn-leg-martin-juan-carlos,Juan Carlos MARTIN,Legislatura Río Negro,Río Negro,MARTIN JUAN CARLOS,,2017|2018|2019|2020|2024,,Juan Carlos MARTIN,Río Negro,,,,exacta_por_tokens,exacta_por_tokens,no,requiere_revision_adicional,no,historial_publico_oa_previo_no_equivale_ddjj_mandato_actual,Historial público OA previo al corte: puede incluir Legislatura CABA o cargos nacionales anteriores; no equivale por sí solo a la DDJJ del mandato actual.,"Transcripción estructurada y fechada de la nómina oficial rionegrina, con URL de bloque por fila, + nombre exacto o compatible por tokens con una sola clave fiscal reservada en OA + historial oficial OA. El respaldo no se presenta como descarga HTML cruda del portal.",https://web.legisrn.gov.ar/institucional/legisladores,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/subnational_roster/rio_negro_legisladores_vigentes_2026-09-01.csv,,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
prov-rn-leg-murillo-ongaro-juan-sebastian,Juan Sebastián MURILLO ONGARO,Legislatura Río Negro,Río Negro,MURILLO ONGARO JUAN SEBASTIAN,c19bbb693ef9f4eb,2024,,Juan Sebastián MURILLO ONGARO,Río Negro,,,,exacta_por_tokens,exacta_por_tokens,sí,identidad_confirmada_cruce_oficial,sí,historial_publico_oa_previo_no_equivale_ddjj_mandato_actual,Historial público OA previo al corte: puede incluir Legislatura CABA o cargos nacionales anteriores; no equivale por sí solo a la DDJJ del mandato actual.,"Transcripción estructurada y fechada de la nómina oficial rionegrina, con URL de bloque por fila, + nombre exacto o compatible por tokens con una sola clave fiscal reservada en OA + historial oficial OA. El respaldo no se presenta como descarga HTML cruda del portal.",https://web.legisrn.gov.ar/institucional/legisladores,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/subnational_roster/rio_negro_legisladores_vigentes_2026-09-01.csv,,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
prov-rn-leg-garcia-leandro-gaston,Leandro Gastón GARCÍA,Legislatura Río Negro,Río Negro,GARCIA LEANDRO GASTON,d58f2fe67282eac9,2020|2021|2022,,Leandro Gastón GARCÍA,Río Negro,,,,exacta_por_tokens,exacta_por_tokens,sí,identidad_confirmada_cruce_oficial,sí,historial_publico_oa_previo_no_equivale_ddjj_mandato_actual,Historial público OA previo al corte: puede incluir Legislatura CABA o cargos nacionales anteriores; no equivale por sí solo a la DDJJ del mandato actual.,"Transcripción estructurada y fechada de la nómina oficial rionegrina, con URL de bloque por fila, + nombre exacto o compatible por tokens con una sola clave fiscal reservada en OA + historial oficial OA. El respaldo no se presenta como descarga HTML cruda del portal.",https://web.legisrn.gov.ar/institucional/legisladores,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/subnational_roster/rio_negro_legisladores_vigentes_2026-09-01.csv,,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
prov-rn-leg-matzen-lorena-maria-matilde,Lorena María Matilde MATZEN,Legislatura Río Negro,Río Negro,MATZEN LORENA MARIA MATILDE,d2c81f571af29cfe,2017,,Lorena María Matilde MATZEN,Río Negro,,,,exacta_por_tokens,exacta_por_tokens,sí,identidad_confirmada_cruce_oficial,sí,historial_publico_oa_previo_no_equivale_ddjj_mandato_actual,Historial público OA previo al corte: puede incluir Legislatura CABA o cargos nacionales anteriores; no equivale por sí solo a la DDJJ del mandato actual.,"Transcripción estructurada y fechada de la nómina oficial rionegrina, con URL de bloque por fila, + nombre exacto o compatible por tokens con una sola clave fiscal reservada en OA + historial oficial OA. El respaldo no se presenta como descarga HTML cruda del portal.",https://web.legisrn.gov.ar/institucional/legisladores,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/subnational_roster/rio_negro_legisladores_vigentes_2026-09-01.csv,,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
prov-rn-leg-delgado-sempe-luciano-jesus,Luciano Jesús DELGADO SEMPÉ,Legislatura Río Negro,Río Negro,DELGADO SEMPE LUCIANO JESUS,7c49368c47771c85,2019|2020|2021|2022,,Luciano Jesús DELGADO SEMPÉ,Río Negro,,,,exacta_por_tokens,exacta_por_tokens,sí,identidad_confirmada_cruce_oficial,sí,historial_publico_oa_previo_no_equivale_ddjj_mandato_actual,Historial público OA previo al corte: puede incluir Legislatura CABA o cargos nacionales anteriores; no equivale por sí solo a la DDJJ del mandato actual.,"Transcripción estructurada y fechada de la nómina oficial rionegrina, con URL de bloque por fila, + nombre exacto o compatible por tokens con una sola clave fiscal reservada en OA + historial oficial OA. El respaldo no se presenta como descarga HTML cruda del portal.",https://web.legisrn.gov.ar/institucional/legisladores,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/subnational_roster/rio_negro_legisladores_vigentes_2026-09-01.csv,,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
prov-rn-leg-odarda-maria-magdalena,María Magdalena ODARDA,Legislatura Río Negro,Río Negro,ODARDA MARIA MAGDALENA,290658e98b19ac31,2017|2018|2019|2020|2021|2022,,María Magdalena ODARDA,Río Negro,,,,exacta_por_tokens,exacta_por_tokens,sí,identidad_confirmada_cruce_oficial,sí,historial_publico_oa_previo_no_equivale_ddjj_mandato_actual,Historial público OA previo al corte: puede incluir Legislatura CABA o cargos nacionales anteriores; no equivale por sí solo a la DDJJ del mandato actual.,"Transcripción estructurada y fechada de la nómina oficial rionegrina, con URL de bloque por fila, + nombre exacto o compatible por tokens con una sola clave fiscal reservada en OA + historial oficial OA. El respaldo no se presenta como descarga HTML cruda del portal.",https://web.legisrn.gov.ar/institucional/legisladores,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/subnational_roster/rio_negro_legisladores_vigentes_2026-09-01.csv,,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
