persona_id,persona,nivel_cargo_actual,jurisdiccion_actual,oa_nombre,oa_person_key,estado_revision_identidad,anio,tipo_ddjj,rectificativa,dj_id,organismo_oa,cargo_oa,total_bienes_ars,deudas_ars,diferencia_valuacion_ars,ingresos_neto_gastos_ars,fuente_url,publicable_en_tab
dip-aguirre-hilda,Hilda Aguirre,Diputados nacionales,La Rioja,AGUIRRE HILDA CLELIA,ce66cf1896514e23,identidad_confirmada_cruce_oficial,2018,Anual,0,413490,HONORABLE SENADO DE LA NACION,DIPUTADA NACIONAL,10204100.00,139586.35,107278.95,855094.66,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-aguirre-hilda,Hilda Aguirre,Diputados nacionales,La Rioja,AGUIRRE HILDA CLELIA,ce66cf1896514e23,identidad_confirmada_cruce_oficial,2019,Anual,0,459938,HONORABLE SENADO DE LA NACION,DIPUTADA NACIONAL,21379800.00,89312.20,0.00,855094.66,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-aguirre-hilda,Hilda Aguirre,Diputados nacionales,La Rioja,AGUIRRE HILDA CLELIA,ce66cf1896514e23,identidad_confirmada_cruce_oficial,2020,Anual,1,521857,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADA DE LA NACION ARGENTINA,34200000.00,0.00,0.00,1704092.30,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-aguirre-hilda,Hilda Aguirre,Diputados nacionales,La Rioja,AGUIRRE HILDA CLELIA,ce66cf1896514e23,identidad_confirmada_cruce_oficial,2021,Anual,0,602444,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADA DE LA NACION ARGENTINA,102196770.00,0.00,4271833.66,1710744.30,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-aguirre-hilda,Hilda Aguirre,Diputados nacionales,La Rioja,AGUIRRE HILDA CLELIA,ce66cf1896514e23,identidad_confirmada_cruce_oficial,2022,Anual,0,676924,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADA DE LA NACION ARGENTINA,8897764.81,10055190.00,2071544.02,6903074.83,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-aguirre-hilda,Hilda Aguirre,Diputados nacionales,La Rioja,AGUIRRE HILDA CLELIA,ce66cf1896514e23,identidad_confirmada_cruce_oficial,2023,Anual,0,826768,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADA DE LA NACION ARGENTINA,247704800.00,421815.20,46343.52,16553572.32,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-aguirre-hilda,Hilda Aguirre,Diputados nacionales,La Rioja,AGUIRRE HILDA CLELIA,ce66cf1896514e23,identidad_confirmada_cruce_oficial,2024,Anual,0,826916,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADA DE LA NACION ARGENTINA,459773790.00,0.00,18093169.57,39721883.77,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-ajmechet-sabrina,Sabrina Ajmechet,Diputados nacionales,Ciudad De Buenos Aires,AJMECHET SABRINA CARLOTA,2d776c6b3c5e7b71,identidad_confirmada_cruce_oficial,2021,Anual,0,601455,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADA NACIONAL,11403828.45,0.00,0.00,211659.61,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-ajmechet-sabrina,Sabrina Ajmechet,Diputados nacionales,Ciudad De Buenos Aires,AJMECHET SABRINA CARLOTA,2d776c6b3c5e7b71,identidad_confirmada_cruce_oficial,2022,Anual,0,672844,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADA NACIONAL,22094136.95,0.00,8582560.78,8964483.78,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
dip-ajmechet-sabrina,Sabrina Ajmechet,Diputados nacionales,Ciudad De Buenos Aires,AJMECHET SABRINA CARLOTA,2d776c6b3c5e7b71,identidad_confirmada_cruce_oficial,2023,Anual,0,742424,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADA NACIONAL,78432747.35,3567420.23,44476398.08,309711350.00,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sí · identidad confirmada
