persona_id,persona,nivel_cargo,cargo_actual,jurisdiccion,oa_nombre,nombre_normalizado_exacto,oa_personas_por_cuit,oa_person_key,oa_anios_seleccionados,evidencia_misma_institucion_anios,presentacion_cargo_actual_localizada,ultimo_anio_oa,ultimo_organismo_oa,ultimo_cargo_oa,estado_revision_identidad,siguiente_accion
dip-aguirre-hilda,Hilda Aguirre,Diputados nacionales,Diputado/a nacional,La Rioja,AGUIRRE HILDA CLELIA,no,1,ce66cf1896514e23,2018|2019|2020|2021|2022|2023|2024,2018|2019|2020|2021|2022|2023|2024,sí,2024,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADA DE LA NACION ARGENTINA,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-ajmechet-sabrina,Sabrina Ajmechet,Diputados nacionales,Diputado/a nacional,Ciudad De Buenos Aires,AJMECHET SABRINA CARLOTA,no,1,2d776c6b3c5e7b71,2021|2022|2023|2024,2021|2022|2023|2024,sí,2024,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADA NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-andrade-javier,Javier Andrade,Diputados nacionales,Diputado/a nacional,Ciudad De Buenos Aires,ANDRADE JAVIER,no,1,f41ae687572ccd17,2022,,sí,2022,,Legislador CABA,revision_manual_identidad,Resolver variaciones de nombre o identificador antes de usar importes.
dip-ansaloni-pablo,Pablo Ansaloni,Diputados nacionales,Diputado/a nacional,Buenos Aires,ANSALONI PABLO MIGUEL,no,1,e73e4d9ee3f39bc8,2017|2018|2020|2022|2023,2017|2018|2020|2022|2023,sí,2023,,DIPUTADO NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-arabia-damian,Damián Arabia,Diputados nacionales,Diputado/a nacional,Ciudad De Buenos Aires,ARABIA DAMIAN EDUARDO,no,1,c4ec4a53c792b6aa,2017|2018|2019|2022|2023|2024,2022|2023|2024,sí,2024,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,Diputado Nacional,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-araujo-hernandez-jorge-neri,Jorge Neri Araujo Hernández,Diputados nacionales,Diputado/a nacional,Tierra Del Fuego,ARAUJO HERNANDEZ JORGE NERI,no,1,2a4db95745cb3fa5,2023,2023,sí,2023,,DIPUTADO,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-ardohain-martin,Martín Ardohain,Diputados nacionales,Diputado/a nacional,La Pampa,ARDOHAIN MARTIN MIGUEL,no,1,90ed3e6268339457,2022|2023|2024,2022|2023|2024,sí,2024,,DIPUTADO NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-arrieta-lourdes-micaela,Lourdes Micaela Arrieta,Diputados nacionales,Diputado/a nacional,Mendoza,ARRIETA LOURDES MICAELA,no,1,403abfc408976ede,2022|2023|2024,2022|2023|2024,no,2024,,DIPUTADA DE LA NACION,revision_manual_identidad,Resolver variaciones de nombre o identificador antes de usar importes.
dip-aveiro-martin,Martín Aveiro,Diputados nacionales,Diputado/a nacional,Mendoza,AVEIRO MARTIN GUILLERMO,no,1,c5b583006ccfecbd,2022|2023|2024,2022|2023|2024,sí,2024,,DIPUTADO NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-avila-jorge-antonio,Jorge Antonio Avila,Diputados nacionales,Diputado/a nacional,Chubut,AVILA JORGE ANTONIO,no,1,635304183a8845ad,2023|2024,2023|2024,no,2024,,diputado nacional,revision_manual_identidad,Resolver variaciones de nombre o identificador antes de usar importes.
dip-banfi-karina,Karina Banfi,Diputados nacionales,Diputado/a nacional,Buenos Aires,BANFI KARINA VERONICA,no,1,1c1f7427c8030784,2017|2018|2019|2020|2021|2022|2023|2024,2017|2018|2019|2020|2021|2022|2023|2024,no,2024,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,Diputada Nacional,revision_manual_identidad,Resolver variaciones de nombre o identificador antes de usar importes.
dip-basterra-luis-eugenio,Luis Eugenio Basterra,Diputados nacionales,Diputado/a nacional,Formosa,BASTERRA LUIS EUGENIO,no,1,4fa411946c1dc5f9,2017|2018|2019|2020|2021|2022|2023|2024,2017|2018|2023|2024,sí,2024,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-basualdo-carolina,Carolina Basualdo,Diputados nacionales,Diputado/a nacional,Cordoba,BASUALDO CAROLINA DEL VALLE,no,1,5a8a68765abdfcf8,2018,2018,sí,2018,,DIPUTADA NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-benedit-beltran,Beltrán Benedit,Diputados nacionales,Diputado/a nacional,Entre Rios,BENEDIT BELTRAN,no,1,0672b89337d40b66,2023|2024,2023|2024,sí,2024,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-bonacci-rocio,Rocío Bonacci,Diputados nacionales,Diputado/a nacional,Santa Fe,BONACCI ROCIO BELEN,no,1,9f56429d790be72b,2022|2023|2024,2022|2023|2024,sí,2024,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-bongiovanni-alejandro,Alejandro Bongiovanni,Diputados nacionales,Diputado/a nacional,Santa Fe,BONGIOVANNI ALEJANDRO,no,1,8b67c4f8d340b781,2017|2022|2023|2024,2022|2023|2024,sí,2024,FUNDACION DEL ORDEN SOCIAL DE LA LIBERTAD,DIPUTADO NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-bordet-gustavo,Gustavo Bordet,Diputados nacionales,Diputado/a nacional,Entre Rios,BORDET GUSTAVO EDUARDO,no,1,8053174f88f34498,2023|2024,2023|2024,sí,2024,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL POR ENTRE RIOS,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-borgatta-alejandrina,Alejandrina Borgatta,Diputados nacionales,Diputado/a nacional,Santa Fe,BORGATTA ALEJANDRINA BELEN,no,1,be9b101950203f17,2024,2024,sí,2024,,DIPUTADA NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-bornoroni-gabriel,Gabriel Bornoroni,Diputados nacionales,Diputado/a nacional,Cordoba,BORNORONI GABRIEL MARCOS,no,1,92d1171357f63701,2022|2023|2024,2022|2023|2024,sí,2024,,DIPUTADO NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-bregman-myriam,Myriam Bregman,Diputados nacionales,Diputado/a nacional,Ciudad De Buenos Aires,BREGMAN MYRIAM TERESA,no,1,c501f7ad6b598dda,2018|2020|2021|2022|2024,2018|2020|2021|2022|2024,sí,2024,,CANDIDATA A DIPUTADA NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-bruno-eliana,Eliana Bruno,Diputados nacionales,Diputado/a nacional,Salta,BRUNO ELIANA LORENA,no,1,61a15be9cf0090e5,2022|2024,,sí,2024,ADMINISTRACION NACIONAL DE LA SEGURIDAD SOCIAL ANS,JEFATURA OFICINA ORAN,revision_manual_identidad,Resolver variaciones de nombre o identificador antes de usar importes.
dip-brugge-juan-fernando,Juan Fernando Brügge,Diputados nacionales,Diputado/a nacional,Cordoba,BRUGGE JUAN FERNANDO,no,1,a1c15e99de8b8ed9,2017|2018|2019|2022|2023|2024,2017|2018|2019|2022|2023|2024,sí,2024,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-cafiero-santiago,Santiago Cafiero,Diputados nacionales,Diputado/a nacional,Buenos Aires,CAFIERO SANTIAGO ANDRES,no,1,3864a16581d86a6c,2019|2020|2021|2022|2023|2024,2023|2024,sí,2024,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL POR LA PROV DE BS AS,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-campero-mariano,Mariano Campero,Diputados nacionales,Diputado/a nacional,Tucuman,CAMPERO MARIANO,no,1,4f2c50c68e3195c7,2022|2023|2024,2024,sí,2024,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-campitelli-celia,Celia Campitelli,Diputados nacionales,Diputado/a nacional,Santiago Del Estero,CAMPITELLI CELIA MARIA,no,1,200d5116e36badec,2023|2024,2023|2024,sí,2024,,DIPUTADA NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-campo-julieta-marisol,Julieta Marisol Campo,Diputados nacionales,Diputado/a nacional,Chaco,CAMPO JULIETA MARISOL,no,1,d94b26a252bab907,2022|2023,,sí,2023,MINISTERIO DE DESARROLLO HUMANO,SUBSECRETARIA DE JUVENTUDES Y DIVERSIDADES,revision_manual_identidad,Resolver variaciones de nombre o identificador antes de usar importes.
dip-capozzi-sergio-eduardo,Sergio Eduardo Capozzi,Diputados nacionales,Diputado/a nacional,Rio Negro,CAPOZZI SERGIO EDUARDO,no,1,9e8364fc1e5f6917,2022|2023|2024,2022|2023|2024,no,2024,,DIPUTADO NACIONAL,revision_manual_identidad,Resolver variaciones de nombre o identificador antes de usar importes.
dip-casas-sergio-guillermo,Sergio Guillermo Casas,Diputados nacionales,Diputado/a nacional,La Rioja,CASAS SERGIO GUILLERMO,no,1,daea432c6d57b9e1,2022,2022,no,2022,,DIPUTADO NACIONAL,revision_manual_identidad,Resolver variaciones de nombre o identificador antes de usar importes.
dip-castagneto-carlos-daniel,Carlos Daniel Castagneto,Diputados nacionales,Diputado/a nacional,Buenos Aires,CASTAGNETO CARLOS DANIEL,no,1,fae95ffca18db386,2017|2018|2019|2020|2021|2022|2023|2024,2017|2018|2019|2023|2024,sí,2024,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-castelnuovo-giselle,Giselle Castelnuovo,Diputados nacionales,Diputado/a nacional,Buenos Aires,CASTELNUOVO GISELLE,no,1,5426f958d973bc06,2017|2018|2019|2024,,sí,2024,VICEJEFATURA DE GABINETE DEL INTERIOR,SUBSECRETARIA DE AUSNTOS POLITICOS,revision_manual_identidad,Resolver variaciones de nombre o identificador antes de usar importes.
dip-cipolini-gerardo,Gerardo Cipolini,Diputados nacionales,Diputado/a nacional,Chaco,CIPOLINI GERARDO,no,1,512bfb6fb6f7764b,2018|2019|2020|2021|2022,2019|2020|2021|2022,no,2022,,DIPUTADO NACIONAL,revision_manual_identidad,Resolver variaciones de nombre o identificador antes de usar importes.
dip-cisneros-carlos,Carlos Cisneros,Diputados nacionales,Diputado/a nacional,Tucuman,CISNEROS CARLOS ANIBAL,no,1,5a6a4ff8d519aa19,2019|2020|2021|2022|2023|2024,2019|2020|2021|2022|2023|2024,sí,2024,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO NACIONAL,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
dip-coletta-mariela,Mariela Coletta,Diputados nacionales,Diputado/a nacional,Ciudad De Buenos Aires,COLETTA MARIELA GISELLE,no,1,6fe79a1eef21bd8b,2022|2023|2024,2022|2023|2024,no,2024,,DIPUTADA NACIONAL,revision_manual_identidad,Resolver variaciones de nombre o identificador antes de usar importes.
dip-correa-llano-facundo,Facundo Correa Llano,Diputados nacionales,Diputado/a nacional,Mendoza,CORREA LLANO FACUNDO,no,1,73e839b8b11df8b9,2022|2023|2024,2022|2023|2024,sí,2024,HONORABLE CAMARA DE DIPUTADOS DE LA NACION,DIPUTADO DE LA NACION,identidad_confirmada_cruce_oficial,Serie normalizada y contrafactuales incorporados; actualizar con el consolidado 2025 cuando se publique.
