persona_id,persona,anio,estado_fuente,tipo_ddjj,rectificativa,dj_id,total_bienes_ars,deudas_ars,patrimonio_neto_ars,total_bienes_real_ars_2025,total_bienes_usd_a3500,ipc_indice,a3500_ars_por_usd,indice_nominal_base,indice_real_base,indice_usd_base,fuente_url,nota
prov-cba-leg-austin-brenda-lis,Brenda Lís Austin,2017,oficial_consolidado_oa,Anual,0,327997,804660.45,48117.50,756542.95,65260853.31,42859.91,124.7956,18.7742,100.00,100.00,100.00,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,"Identidad confirmada por cruce oficial; selección Anual > Baja > Inicial, luego rectificativa y dj_id. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual."
prov-cba-leg-austin-brenda-lis,Brenda Lís Austin,2018,oficial_consolidado_oa,Anual,0,389886,1168818.46,10231.70,1158586.76,64204678.35,30914.34,184.2552,37.8083,145.26,98.38,72.13,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,"Identidad confirmada por cruce oficial; selección Anual > Baja > Inicial, luego rectificativa y dj_id. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual."
prov-cba-leg-austin-brenda-lis,Brenda Lís Austin,2019,oficial_consolidado_oa,Anual,0,463443,1641083.15,0.00,1641083.15,58600642.47,27399.33,283.4442,59.8950,203.95,89.79,63.93,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,"Identidad confirmada por cruce oficial; selección Anual > Baja > Inicial, luego rectificativa y dj_id. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual."
prov-cba-leg-austin-brenda-lis,Brenda Lís Austin,2020,oficial_consolidado_oa,Anual,0,526993,2138115.27,0.00,2138115.27,56080940.05,25409.89,385.8826,84.1450,265.72,85.93,59.29,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,"Identidad confirmada por cruce oficial; selección Anual > Baja > Inicial, luego rectificativa y dj_id. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual."
prov-cba-leg-austin-brenda-lis,Brenda Lís Austin,2021,oficial_consolidado_oa,Baja,0,545112,2859920.04,0.00,2859920.04,49696867.47,27833.77,582.4575,102.7500,355.42,76.15,64.94,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,"Identidad confirmada por cruce oficial; selección Anual > Baja > Inicial, luego rectificativa y dj_id. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual."
prov-cba-leg-austin-brenda-lis,Brenda Lís Austin,2022,no_localizada,,,,,,,,,1134.5875,177.1283,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año; no equivale a patrimonio cero. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual.
prov-cba-leg-austin-brenda-lis,Brenda Lís Austin,2023,oficial_consolidado_oa,Inicial,1,688355,48475308.07,0.00,48475308.07,138864962.27,59958.33,3533.1922,808.4833,6024.32,212.78,139.89,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,"Identidad confirmada por cruce oficial; selección Anual > Baja > Inicial, luego rectificativa y dj_id. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual."
prov-cba-leg-austin-brenda-lis,Brenda Lís Austin,2024,no_localizada,,,,,,,,,7694.0075,1032.5000,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año; no equivale a patrimonio cero. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual.
prov-cba-leg-austin-brenda-lis,Brenda Lís Austin,2025,no_localizada,,,,,,,,,10121.3715,1459.4167,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año; no equivale a patrimonio cero. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual.
prov-cba-leg-grosso-gerardo-jose,Gerardo José Grosso,2017,no_localizada,,,,,,,,,124.7956,18.7742,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año; no equivale a patrimonio cero. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual.
prov-cba-leg-grosso-gerardo-jose,Gerardo José Grosso,2018,oficial_consolidado_oa,Anual,0,414202,0.00,0.00,0.00,0.00,0.00,184.2552,37.8083,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,"Identidad confirmada por cruce oficial; selección Anual > Baja > Inicial, luego rectificativa y dj_id. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual."
prov-cba-leg-grosso-gerardo-jose,Gerardo José Grosso,2019,no_localizada,,,,,,,,,283.4442,59.8950,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año; no equivale a patrimonio cero. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual.
