persona_id,persona,anio,estado_fuente,tipo_ddjj,rectificativa,dj_id,total_bienes_ars,deudas_ars,patrimonio_neto_ars,total_bienes_real_ars_2025,total_bienes_usd_a3500,ipc_indice,a3500_ars_por_usd,indice_nominal_base,indice_real_base,indice_usd_base,fuente_url,nota
pen-monteoliva-alejandra-susana,Alejandra Susana Monteoliva,2017,oficial_consolidado_oa,Anual,0,340756,1255772.19,390000.00,865772.19,101847636.09,66888.19,124.7956,18.7742,100.00,100.00,100.00,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,"Identidad confirmada por cruce oficial; selección Anual > Baja > Inicial, luego rectificativa y dj_id. La autoridad actual fue cotejada con fuente oficial; la serie OA termina en 2024 y no infiere 2025–2026."
pen-monteoliva-alejandra-susana,Alejandra Susana Monteoliva,2018,oficial_consolidado_oa,Anual,0,406287,1618283.87,285000.00,1333283.87,88894382.58,42802.34,184.2552,37.8083,128.87,87.28,63.99,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,"Identidad confirmada por cruce oficial; selección Anual > Baja > Inicial, luego rectificativa y dj_id. La autoridad actual fue cotejada con fuente oficial; la serie OA termina en 2024 y no infiere 2025–2026."
pen-monteoliva-alejandra-susana,Alejandra Susana Monteoliva,2019,oficial_consolidado_oa,Anual,0,423314,2617474.48,299625.50,2317848.98,93466127.03,43701.05,283.4442,59.8950,208.44,91.77,65.33,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,"Identidad confirmada por cruce oficial; selección Anual > Baja > Inicial, luego rectificativa y dj_id. La autoridad actual fue cotejada con fuente oficial; la serie OA termina en 2024 y no infiere 2025–2026."
pen-monteoliva-alejandra-susana,Alejandra Susana Monteoliva,2020,oficial_consolidado_oa,Baja,0,423318,2617474.48,299625.50,2317848.98,68654123.31,31106.71,385.8826,84.1450,208.44,67.41,46.51,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,"Identidad confirmada por cruce oficial; selección Anual > Baja > Inicial, luego rectificativa y dj_id. La autoridad actual fue cotejada con fuente oficial; la serie OA termina en 2024 y no infiere 2025–2026."
pen-monteoliva-alejandra-susana,Alejandra Susana Monteoliva,2021,no_localizada,,,,,,,,,582.4575,102.7500,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año; no equivale a patrimonio cero. La autoridad actual fue cotejada con fuente oficial; la serie OA termina en 2024 y no infiere 2025–2026.
pen-monteoliva-alejandra-susana,Alejandra Susana Monteoliva,2022,no_localizada,,,,,,,,,1134.5875,177.1283,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año; no equivale a patrimonio cero. La autoridad actual fue cotejada con fuente oficial; la serie OA termina en 2024 y no infiere 2025–2026.
pen-monteoliva-alejandra-susana,Alejandra Susana Monteoliva,2023,no_localizada,,,,,,,,,3533.1922,808.4833,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año; no equivale a patrimonio cero. La autoridad actual fue cotejada con fuente oficial; la serie OA termina en 2024 y no infiere 2025–2026.
pen-monteoliva-alejandra-susana,Alejandra Susana Monteoliva,2024,oficial_consolidado_oa,Anual,0,815087,59134409.58,0.00,59134409.58,77790582.84,57273.04,7694.0075,1032.5000,4709.01,76.38,85.63,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,"Identidad confirmada por cruce oficial; selección Anual > Baja > Inicial, luego rectificativa y dj_id. La autoridad actual fue cotejada con fuente oficial; la serie OA termina en 2024 y no infiere 2025–2026."
pen-monteoliva-alejandra-susana,Alejandra Susana Monteoliva,2025,no_localizada,,,,,,,,,10121.3715,1459.4167,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año; no equivale a patrimonio cero. La autoridad actual fue cotejada con fuente oficial; la serie OA termina en 2024 y no infiere 2025–2026.
pen-presti-carlos-alberto,Carlos Alberto Presti,2017,oficial_consolidado_oa,Anual,0,282191,3000000.00,0.00,3000000.00,243310777.78,159793.76,124.7956,18.7742,100.00,100.00,100.00,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,"Identidad confirmada por cruce oficial; selección Anual > Baja > Inicial, luego rectificativa y dj_id. La autoridad actual fue cotejada con fuente oficial; la serie OA termina en 2024 y no infiere 2025–2026."
pen-presti-carlos-alberto,Carlos Alberto Presti,2018,oficial_consolidado_oa,Anual,0,397359,3000000.00,0.00,3000000.00,164793799.58,79347.66,184.2552,37.8083,100.00,67.73,49.66,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,"Identidad confirmada por cruce oficial; selección Anual > Baja > Inicial, luego rectificativa y dj_id. La autoridad actual fue cotejada con fuente oficial; la serie OA termina en 2024 y no infiere 2025–2026."
pen-presti-carlos-alberto,Carlos Alberto Presti,2019,oficial_consolidado_oa,Anual,0,465025,3000000.00,0.00,3000000.00,107125545.35,50087.65,283.4442,59.8950,100.00,44.03,31.35,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,"Identidad confirmada por cruce oficial; selección Anual > Baja > Inicial, luego rectificativa y dj_id. La autoridad actual fue cotejada con fuente oficial; la serie OA termina en 2024 y no infiere 2025–2026."
pen-presti-carlos-alberto,Carlos Alberto Presti,2020,oficial_consolidado_oa,Anual,0,535375,3000000.00,0.00,3000000.00,78687441.47,35652.74,385.8826,84.1450,100.00,32.34,22.31,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,"Identidad confirmada por cruce oficial; selección Anual > Baja > Inicial, luego rectificativa y dj_id. La autoridad actual fue cotejada con fuente oficial; la serie OA termina en 2024 y no infiere 2025–2026."
pen-presti-carlos-alberto,Carlos Alberto Presti,2021,oficial_consolidado_oa,Anual,0,601964,3000000.00,0.00,3000000.00,52131038.75,29197.08,582.4575,102.7500,100.00,21.43,18.27,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,"Identidad confirmada por cruce oficial; selección Anual > Baja > Inicial, luego rectificativa y dj_id. La autoridad actual fue cotejada con fuente oficial; la serie OA termina en 2024 y no infiere 2025–2026."
