persona_id,persona,ambito,poder,nivel_cargo,cargo,jurisdiccion,partido_o_alianza,mandato_inicio,mandato_fin,estado_actividad,fuente_padron_url,fuente_padron_local,regimen_ddjj_actual,estado_ddjj_cargo_actual,detalle_ddjj_cargo_actual,fuente_ddjj_actual_url,oa_historial_2017_2024_estado,oa_historial_nombres,oa_anios_2017_2024,oa_cantidad_anios_2017_2024,oa_primer_anio,oa_ultimo_anio,serie_tab_id,nota_cobertura
dip-aguirre-hilda,Hilda Aguirre,Nacional,Legislativo,Diputados nacionales,Diputado/a nacional,La Rioja,UNIÓN POR LA PATRIA,10/12/2023,09/12/2027,activo_al_2026-09-01,https://www.hcdn.gob.ar/diputados/,sources/active_roster/hcdn_diputados_vigentes_2026-09-01.csv,Cámara de Diputados · Ley 25.188 / DSAD 545/2025,presentacion_2025_2026_localizada,ANUAL 2025,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,AGUIRRE HILDA CLELIA,2018|2019|2020|2021|2022|2023|2024,7,2018,2024,,"La Cámara publica cumplimiento. El cruce OA es nominal y no sustituye la verificación de CUIT, organismo y cargo antes de sumar una serie."
dip-aguero-guillermo-cesar,Guillermo César Agüero,Nacional,Legislativo,Diputados nacionales,Diputado/a nacional,Chaco,UCR - UNIÓN CÍVICA RADICAL,10/12/2025,09/12/2029,activo_al_2026-09-01,https://www.hcdn.gob.ar/diputados/,sources/active_roster/hcdn_diputados_vigentes_2026-09-01.csv,Cámara de Diputados · Ley 25.188 / DSAD 545/2025,presentacion_2025_2026_localizada,ANUAL 2025 | INICIAL 2025,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,0,,,,"La Cámara publica cumplimiento. El cruce OA es nominal y no sustituye la verificación de CUIT, organismo y cargo antes de sumar una serie."
dip-ajmechet-sabrina,Sabrina Ajmechet,Nacional,Legislativo,Diputados nacionales,Diputado/a nacional,Ciudad De Buenos Aires,LA LIBERTAD AVANZA,10/12/2025,09/12/2029,activo_al_2026-09-01,https://www.hcdn.gob.ar/diputados/,sources/active_roster/hcdn_diputados_vigentes_2026-09-01.csv,Cámara de Diputados · Ley 25.188 / DSAD 545/2025,presentacion_2025_2026_localizada,ANUAL 2025,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,AJMECHET SABRINA CARLOTA,2021|2022|2023|2024,4,2021,2024,,"La Cámara publica cumplimiento. El cruce OA es nominal y no sustituye la verificación de CUIT, organismo y cargo antes de sumar una serie."
dip-ali-ernesto-pipi,Ernesto Pipi Alí,Nacional,Legislativo,Diputados nacionales,Diputado/a nacional,San Luis,UNIÓN POR LA PATRIA,31/01/2024,09/12/2027,activo_al_2026-09-01,https://www.hcdn.gob.ar/diputados/,sources/active_roster/hcdn_diputados_vigentes_2026-09-01.csv,Cámara de Diputados · Ley 25.188 / DSAD 545/2025,sin_presentacion_localizada_en_listados_2025_2026,,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,0,,,,"La Cámara publica cumplimiento. El cruce OA es nominal y no sustituye la verificación de CUIT, organismo y cargo antes de sumar una serie."
dip-almena-carlos-alberto,Carlos Alberto Almena,Nacional,Legislativo,Diputados nacionales,Diputado/a nacional,San Luis,LA LIBERTAD AVANZA,10/12/2025,09/12/2029,activo_al_2026-09-01,https://www.hcdn.gob.ar/diputados/,sources/active_roster/hcdn_diputados_vigentes_2026-09-01.csv,Cámara de Diputados · Ley 25.188 / DSAD 545/2025,presentacion_2025_2026_localizada,ANUAL 2025 | INICIAL 2025,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,0,,,,"La Cámara publica cumplimiento. El cruce OA es nominal y no sustituye la verificación de CUIT, organismo y cargo antes de sumar una serie."
dip-almiron-lisandro,Lisandro Almirón,Nacional,Legislativo,Diputados nacionales,Diputado/a nacional,Corrientes,LA LIBERTAD AVANZA,10/12/2023,09/12/2027,activo_al_2026-09-01,https://www.hcdn.gob.ar/diputados/,sources/active_roster/hcdn_diputados_vigentes_2026-09-01.csv,Cámara de Diputados · Ley 25.188 / DSAD 545/2025,sin_presentacion_localizada_en_listados_2025_2026,,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,0,,,,"La Cámara publica cumplimiento. El cruce OA es nominal y no sustituye la verificación de CUIT, organismo y cargo antes de sumar una serie."
dip-alvarez-claudio,Claudio Álvarez,Nacional,Legislativo,Diputados nacionales,Diputado/a nacional,San Luis,ARGENTINA FEDERAL,10/12/2025,09/12/2027,activo_al_2026-09-01,https://www.hcdn.gob.ar/diputados/,sources/active_roster/hcdn_diputados_vigentes_2026-09-01.csv,Cámara de Diputados · Ley 25.188 / DSAD 545/2025,presentacion_2025_2026_localizada,ANUAL 2025 | INICIAL 2025,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,coincidencia_multiple_revisar_homonimia,ALVAREZ CLAUDIO ARIEL | ALVAREZ CLAUDIO DE JESUS | ALVAREZ CLAUDIO IVAN FERNANDO,2017|2018|2019|2020|2021|2022|2023,7,2017,2023,,"La Cámara publica cumplimiento. El cruce OA es nominal y no sustituye la verificación de CUIT, organismo y cargo antes de sumar una serie."
dip-andino-cristian,Cristian Andino,Nacional,Legislativo,Diputados nacionales,Diputado/a nacional,San Juan,UNIÓN POR LA PATRIA,10/12/2025,09/12/2029,activo_al_2026-09-01,https://www.hcdn.gob.ar/diputados/,sources/active_roster/hcdn_diputados_vigentes_2026-09-01.csv,Cámara de Diputados · Ley 25.188 / DSAD 545/2025,presentacion_2025_2026_localizada,ANUAL 2025 | INICIAL 2025,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,0,,,,"La Cámara publica cumplimiento. El cruce OA es nominal y no sustituye la verificación de CUIT, organismo y cargo antes de sumar una serie."
dip-andrade-javier,Javier Andrade,Nacional,Legislativo,Diputados nacionales,Diputado/a nacional,Ciudad De Buenos Aires,UNIÓN POR LA PATRIA,10/12/2025,09/12/2027,activo_al_2026-09-01,https://www.hcdn.gob.ar/diputados/,sources/active_roster/hcdn_diputados_vigentes_2026-09-01.csv,Cámara de Diputados · Ley 25.188 / DSAD 545/2025,presentacion_2025_2026_localizada,ANUAL 2025 | INICIAL 2025,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,nombre_compatible_unico_en_oa,ANDRADE JAVIER,2022,1,2022,2022,,"La Cámara publica cumplimiento. El cruce OA es nominal y no sustituye la verificación de CUIT, organismo y cargo antes de sumar una serie."
dip-andreussi-barbara,Barbara Andreussi,Nacional,Legislativo,Diputados nacionales,Diputado/a nacional,Jujuy,LA LIBERTAD AVANZA,10/12/2025,09/12/2029,activo_al_2026-09-01,https://www.hcdn.gob.ar/diputados/,sources/active_roster/hcdn_diputados_vigentes_2026-09-01.csv,Cámara de Diputados · Ley 25.188 / DSAD 545/2025,presentacion_2025_2026_localizada,ANUAL 2025 | INICIAL 2025,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,sin_nombre_compatible_oa_2017_2024,,,0,,,,"La Cámara publica cumplimiento. El cruce OA es nominal y no sustituye la verificación de CUIT, organismo y cargo antes de sumar una serie."
