path,origin,note
BACKUP_ACTUALIZACION_2026-08-28.md,generated/updated V98,Daily backup log appended with V98 state
data/fuentes/ciclo_ajuste/agn/agn_bna_informe210_9m2023_attachments.zip,Reconciled V72/manual AGN attachments,Deterministic bundle of three already-preserved official AGN attachments
data/fuentes/ciclo_ajuste/backfill_v96/bcra_ief_1s2024_ciclo.pdf,SOURCE_BACKFILL_PAYLOAD_V96_20260828_160057.zip,gap 23 P1; bcra_ief_1s2024_ciclo; SHA-256 verified e92721161bd571177a6236699a976197ce7f181b11f409bf4fa88390ac067e1a; source https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/ief0124.pdf
data/fuentes/ciclo_ajuste/backfill_v96/bcra_ief_2s2024_ciclo.pdf,SOURCE_BACKFILL_PAYLOAD_V96_20260828_160057.zip,gap 24 P1; bcra_ief_2s2024_ciclo; SHA-256 verified 5c6780311123ca5082b8d9ab6411474f6989e44d083cbec7367fc704b1c36aba; source https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/IEF0224.pdf
data/fuentes/ciclo_ajuste/backfill_v96/bna_balance_condensado_sep2023_control.pdf,SOURCE_BACKFILL_PAYLOAD_V96_20260828_160057.zip,gap 25 P1; bna_balance_condensado_sep2023_control; SHA-256 verified 3b037950f40b32ccbfea6fe696aa3e216e4ae664fa90868921f7529438c2010d; source https://www.bna.com.ar/Downloads/Institucional_MemoriayBalances_BALANCE%20CONDENSADO%20SEPT%202023.pdf
data/fuentes/ciclo_ajuste/backfill_v96/bna_memoria_fy2023_aq.pdf,SOURCE_BACKFILL_PAYLOAD_V96_20260828_160057.zip,gap 26 P1; bna_memoria_fy2023_aq; SHA-256 verified e48df5a1b31b7a5ebb8fa4e2753addefd21cb5abebc03c3a18fa38cffd264d91; source https://www.bna.com.ar/Downloads/Institucional_MemoriayBalances_Memoria%202023%20Ingles.pdf
data/fuentes/ciclo_ajuste/backfill_v96/ciudad_eeff_9m2023_consol_control.pdf,SOURCE_BACKFILL_PAYLOAD_V96_20260828_160057.zip,gap 27 P1; ciudad_eeff_9m2023_consol_control; SHA-256 verified 1b8445d43ce16aadd6f3205dfe0fb956e6961198c5f9c6bf2648bce6d589cb19; source https://www.bancociudad.com.ar/cms/recursos/institucional/carpetarecurso/Balances%20Trimestrales/EstadosFinancieros/2023.09_-_EEFF_consolidados.pdf
data/fuentes/ciclo_ajuste/backfill_v96/icbc_eeff_9m2023_aq.pdf,SOURCE_BACKFILL_PAYLOAD_V96_20260828_160057.zip,gap 28 P1; icbc_eeff_9m2023_aq; SHA-256 verified ccc422947b87a6c5f91ffc12bf1d4880c4d3e9ec83ea2575840a60a4a04dbe2e; source https://www.icbc.com.ar/wcm/connect/4de3ed09-cb4e-4064-b6a5-0aa3f0bca5fd/Estados%2BFinancieros%2BICBC%2B202309_ESPA%C3%91OL%2BLEGALIZADO.pdf?CVID=oNG1sHj&MOD=AJPERES
data/fuentes/ciclo_ajuste/backfill_v96/icbc_eeff_fy2023_aq.pdf,SOURCE_BACKFILL_PAYLOAD_V96_20260828_160057.zip,gap 29 P1; icbc_eeff_fy2023_aq; SHA-256 verified 236ea1fda3e545c98a081aca59b2f13357067fd39165861f2ddac9a31dd852b6; source https://www.icbc.com.ar/wcm/connect/09254af5-2d9a-4742-bec0-bbd0018305d5/Estados%2BFinancieros%2BICBC%2B202312_ESPA%C3%91OL%2BLEGALIZADO.pdf?CVID=oUU1Wae&MOD=AJPERES
data/fuentes/ciclo_ajuste/backfill_v96/macro_eeff_9m2023_aq.pdf,SOURCE_BACKFILL_PAYLOAD_V96_20260828_160057.zip,gap 30 P1; macro_eeff_9m2023_aq; SHA-256 verified 829395481a8d0a4da424fbc778d959981de203bd1af6e0f1dbd095387ce6d80e; source https://www.macro.com.ar/relaciones-inversores/documento/1580934703038/banco_macro_sa_eeff_30-09-2023.pdf
data/fuentes/ciclo_ajuste/backfill_v96/macro_eeff_fy2023_aq.pdf,SOURCE_BACKFILL_PAYLOAD_V96_20260828_160057.zip,gap 31 P1; macro_eeff_fy2023_aq; SHA-256 verified 3ac5e7a8a60645130a6d995a0b3ef20ec5834bcd97359c8c930d39a9689be36a; source https://www.macro.com.ar/relaciones-inversores/documento/1580935557769/eeff_bm_31-12-2023.pdf
data/fuentes/ciclo_ajuste/backfill_v96/santander_eeff_9m2023_sep_mirror.pdf,V96 final manual source recovery,CNV official download equivalence verification; sha256=dd043602ac6fe0685e3d683e2d26e39650c5411548a0cb062b3ad8ff542f958a; User-downloaded official CNV 9M separated financial statements are byte-for-byte identical to the already preserved mirror binary; no duplicate copy added.
data/fuentes/ciclo_ajuste/backfill_v96/santander_eeff_fy2023_aq_mirror.pdf,V96 final manual source recovery,CNV official download equivalence verification; sha256=3f324e4c932b6e33f8da9abba5e967ca8c9ffacc8d253637f9e8f3783d73faec; User-downloaded official CNV FY separated financial statements are byte-for-byte identical to the already preserved mirror binary; no duplicate copy added.
data/fuentes/ciclo_ajuste/backfill_v96/supervielle_eeff_9m2023_sep.pdf,SOURCE_BACKFILL_PAYLOAD_V96_20260828_160057.zip,gap 34 P1; supervielle_eeff_9m2023_sep; SHA-256 verified 6a3973b44fd75de3b57716f989a4a76b7c35a093ee07fe4269078d5298cdff0e; source https://content-us-7.content-cms.com/8ba19f21-9a97-4525-8886-f54d823a5cea/dxdam/02/025e5bb4-d630-480e-a03d-397a022080ff/EECC%20Banco%20Supervielle%2030.09.23.pdf
data/fuentes/ciclo_ajuste/backfill_v96/supervielle_eeff_fy2023_aq.pdf,SOURCE_BACKFILL_PAYLOAD_V96_20260828_160057.zip,gap 35 P1; supervielle_eeff_fy2023_aq; SHA-256 verified 698c6afe9fcbe13f90f08575651d6b6e673845e14f20e4705028ecaae5db7d77; source https://content-us-7.content-cms.com/8ba19f21-9a97-4525-8886-f54d823a5cea/dxdam/08/08afb7e5-b4c1-4396-925e-b66a2f5c13b1/EECC%20Banco%20Supervielle%2031.12.2023.pdf
data/fuentes/ciclo_ajuste/backfill_v96/valo_eeff_9m2023_aq_mirror.pdf,SOURCE_BACKFILL_PAYLOAD_V96_20260828_160057.zip,gap 36 P1; valo_eeff_9m2023_aq_mirror; SHA-256 verified ab482f80e582595b217058504a7548d33e10aaf6b1d7d9e493e74af5f8322231; source https://cdn.financialreports.eu/financialreports/media/filings/68513/2023/RNS/68513_rns_2023-11-23_b356ffca-3ad3-4121-b2bc-c9ff8ad7aa0e.pdf
data/fuentes/ciclo_ajuste/backfill_v96/valo_eeff_fy2023_aq.pdf,SOURCE_BACKFILL_PAYLOAD_V96_20260828_160057.zip,gap 37 P1; valo_eeff_fy2023_aq; SHA-256 verified fbff4a1065165db438e70c37ef76c29704ea2e8a09fc367f4b06b5dfb18786c5; source https://www.valo.ar/wp-content/uploads/BVSA-2023-Estados-Financieros-con-PDU-e-ICF-Consolidado-Legalizado.pdf
data/fuentes/ciclo_ajuste/backfill_v96_round2/bapro_disciplina_sep2023_control.pdf,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/bapro_eeff_fy2023_aq.pdf,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_bolmetes_prestamos_titular.pdf,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_isb_abr2014_ciclo.pdf,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_isb_dic2023_ciclo.pdf,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_isb_jul2014_ciclo.pdf,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_isb_jun2014_ciclo.pdf,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_isb_jun2018_ciclo.pdf,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/bcra_isb_nov2018_ciclo.pdf,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/credicoop_eeff_fy2023_aq.pdf,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_baldethis.xls,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_bef_1s2015.pdf,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_bef_2s2016.pdf,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_depuva_mensual.xls,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_din3_ser.txt,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_din4_ser.txt.zip,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest; GitHub-safe ZIP; contains hist_bcra_din4_ser.txt; original SHA-256 ba88bb6aeb80500ce1a5d8241628444abdb2a808be6974c56d901ebfd3b50bb8; archive SHA-256 5077091065b6ef0e3509f71f5b39b024cd6e1349403e0d8ade098edbbb77c9b4
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_entidades_jun2023.pdf,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_finuva_mensual.xls,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_ief_1s2025.pdf,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_infbanc_dic2018_series.xls,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_infbanc_dic2023_xlsx.xlsx,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_infbanc_jun2023_xlsx.xlsx,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_informe_bancos_anexo.xlsx,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_informe_congreso_2024.pdf,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_perser_priv.xls,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_perser_pub.xls,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_t_cladeu.pdf,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_t_prevmi.pdf,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_t_so_s12.pdf,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bcra_titpubser.xls,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_bna_memoria_2023_es.pdf,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_indec_ipc_dic2023.pdf,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_indec_pib_1t2024.pdf,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round2/hist_indec_pib_1t2026.pdf,V96 Round2 payload 20260828_163814,Validated by payload bytes + magic + SHA-256 before ingest
data/fuentes/ciclo_ajuste/backfill_v96_round3/bcra_ief_1s2018_ciclo.pdf,V96 source backfill round3 payload 20260828_170012,DOWNLOAD_OK revalidated; bytes=1423308.0; sha256=09e0305bf0cae9d40eb7f6002bc4d0b28f4fc37d951761a882dafafee1de43cc; source=https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/ief0118.pdf
