entity,status,9m_evidence,fy_evidence,raw_role,decision
Nuevo Banco de Santa Fe Sociedad Anonima,PROMOTE,Official 9M separated issuer presentation: BCRA income 7241340k; BCRA expense 0k; other-FI income 0k; other-FI expense 281272k.,Official FY separated/official comparative presentation: BCRA income 21133658k; BCRA expense 0k; other-FI income 9965k; other-FI expense 431159k.,control/universe only; promotion does not rely on universal six-digit mapping,EXACT_FOUR_LEG
Nuevo Banco de Entre Ríos S.A.,PROMOTE,Official 9M separated issuer presentation: BCRA income 9061982k; BCRA expense 0k; other-FI income 4894k; other-FI expense 1679k.,Official FY separated/official comparative presentation: BCRA income 32055217k; BCRA expense 0k; other-FI income 7502k; other-FI expense 2573k.,control/universe only; promotion does not rely on universal six-digit mapping,EXACT_FOUR_LEG
Banco de San Juan S.A.,PROMOTE,Official 9M separated issuer presentation: BCRA income 4494873k; BCRA expense 0k; other-FI income 1820k; other-FI expense 62383k.,Official FY separated/official comparative presentation: BCRA income 49465317k; BCRA expense 0k; other-FI income 14443k; other-FI expense 208239k.,control/universe only; promotion does not rely on universal six-digit mapping,EXACT_FOUR_LEG
Banco de Santa Cruz S.A.,PROMOTE,Official 9M separated issuer presentation: BCRA income 1899286k; BCRA expense 0k; other-FI income 0k; other-FI expense 0k.,Official FY separated/official comparative presentation: BCRA income 7526661k; BCRA expense 0k; other-FI income 0k; other-FI expense 0k.,control/universe only; promotion does not rely on universal six-digit mapping,EXACT_FOUR_LEG
Banco de Santiago del Estero S.A.,HOLD_V94_RAW_AUDIT_STRENGTHENED,"BCRA entity 00321 Sep raw: 511108=95,939,845k; no 511027/521007/521022. No compatible issuer counterparty opening recovered.","BCRA entity 00321 Dec raw: 511108=212,143,831k; no 511027/521007/521022. Official BCRA IEF confirms entity data but not Annex-Q counterparty split.",control only; raw-only counterparty classification remains prohibited after Santander counterexample,N/D_STRICT
Banco de Inversion y Comercio Exterior S.A.,PROMOTE,"BCRA target-basis entity 00300 Sep raw: 511108=26,984,941k; 511027=68,496k; no pass-expense result account. Same account identities are validated one-to-one for BICE at FY.","Official BICE FY separated Annex Q: BCRA income 76,247,460k; other-FI income 104,997k; pass expense total 44,197k. Separated Note 5 incorporates repo detail from consolidated Note 5; consolidated Annex Q assigns the same 44,197k entirely to other-FI.",target-basis 9M values plus FY one-to-one reconciliation; crosswalk is BICE-specific and same-year only,EXACT_FOUR_LEG
Banco BMA / ex Banco Itaú Argentina S.A.,HOLD_MANUAL_ATTACHMENT,"CNV individual 30/09/2023 filing #3119515/publicview identified; BCRA raw entity 00259 Sep account set extracted, but attachment body not recovered.",CNV annual individual filings identified; BCRA raw Dec account set extracted. No issuer Annex-Q attachment body recovered in V91.,raw values retained only as candidate entity evidence; no counterparty classification until issuer crosswalk is recovered,N/D_STRICT
Banco Industrial S.A.,PROMOTE,"BCRA target-basis entity 00322 Sep raw: 511108=91,303,079k; 511027=63,741k; 521022=605k; no BCRA pass-expense leg. Same account identities validated one-to-one for Banco Industrial at FY.","Official/public separated FY Annex Q: BCRA income 292,074,698k; other-FI income 110,798k; BCRA expense 0; other-FI expense 2,892k. These values match raw Dec 00322 exactly.",target-basis 9M values plus FY one-to-one issuer reconciliation; crosswalk is Banco-Industrial-specific and same-year only,EXACT_FOUR_LEG
Nuevo Banco del Chaco S.A.,PROMOTE,"BCRA target-basis entity 00311 Sep raw: 511108=10,833,268k; 511027=338k; no nonzero pass-expense result account. Same account identities validated one-to-one for NBCH at FY.","Official Provincia del Chaco publication of NBCH FY separated Annex Q: BCRA pass income 27,741,649k; other-FI pass income 518k; no pass-expense line. Raw Dec 00311 matches income values exactly and has no pass-expense account.",target-basis 9M values plus FY one-to-one issuer reconciliation; crosswalk is NBCH-specific and same-year only,EXACT_FOUR_LEG
Banco de La Pampa S.E.M.,PROMOTE,"BCRA target-basis entity 00093 Sep raw: 511108=19,150,613k; 521022=3,334k; no 511027. CNV registry independently labels the 30/09/2023 filing #3121031 as individual. Same account identities are validated one-to-one for Banco de La Pampa at FY.","Official Banco de La Pampa FY Annex Q: BCRA pass income 54,227,326k; other-FI pass income 0; BCRA pass expense 0; other-FI pass expense 5,110k. Raw Dec 00093 matches 511108 and 521022 exactly.",target-basis 9M values plus FY one-to-one issuer reconciliation; crosswalk is Banco-de-La-Pampa-specific and same-year only,EXACT_FOUR_LEG
Banco Provincia del Neuquén S.A.,PROMOTE,"BCRA target-basis entity 00097 Sep raw: 511108=50,821,306k; no 511027/521007/521022. Same identity validated one-to-one at FY for BPN only.","Official BPN Balance 2023 Annex Q page 83: BCRA pass income 129,240,317k; other-FI pass income 0; no pass-expense line. Raw Dec 00097 matches exactly. Official BPN disclosure says the bank is not part of economic groups.",target-basis 9M values plus FY one-to-one issuer reconciliation; BPN-specific and same-year only,EXACT_FOUR_LEG
