entity,period,raw_account,raw_value_k,mapped_four_leg,issuer_value_k,difference_k,evidence,scope
BACS Banco de Crédito y Securitización S.A.,202309,511108,23876889,income_bcra,23876889,0,Separated issuer Note 18/19 direct; same-period raw exact,BACS_ONLY
BACS Banco de Crédito y Securitización S.A.,202309,511027,386346,income_otherfi,386346,0,Separated issuer Note 18/19 direct; same-period raw exact,BACS_ONLY
BACS Banco de Crédito y Securitización S.A.,202309,521022,2167,expense_otherfi,2167,0,Separated issuer Note 18/19 direct; same-period raw exact,BACS_ONLY
BACS Banco de Crédito y Securitización S.A.,202312,511108,63177601,income_bcra,63177601,0,Separated issuer Note 18/19 direct; same-period raw exact,BACS_ONLY
BACS Banco de Crédito y Securitización S.A.,202312,511027,610427,income_otherfi,610427,0,Separated issuer Note 18/19 direct; same-period raw exact,BACS_ONLY
BACS Banco de Crédito y Securitización S.A.,202312,521022,14063,expense_otherfi,14063,0,Separated issuer Note 18/19 direct; same-period raw exact,BACS_ONLY
Banco Municipal de Rosario,202309,511108,5210550,income_bcra,5210550,0,9M separated Annex Q direct (Sep); FY separated Note 6 + annual Q amount (Dec),BMR_ONLY
Banco Municipal de Rosario,202312,511108,11420465,income_bcra,11420465,0,9M separated Annex Q direct (Sep); FY separated Note 6 + annual Q amount (Dec),BMR_ONLY
Banco Provincia de Tierra del Fuego,202309,511108,7194047,income_bcra,N/A_RAW_SAME_ENTITY_CARRYBACK,N/A,FY official Annex Q exact same-entity mapping; Sep same account/year plus exhaustive interest reconciliation,BTF_ONLY
Banco Provincia de Tierra del Fuego,202312,511108,14938203,income_bcra,14938203,0,FY official Annex Q exact same-entity mapping; Sep same account/year plus exhaustive interest reconciliation,BTF_ONLY
