period,ripte_nominal_ars,ipc_gba_apr2008_100,real_ripte_dec2001_100,real_ripte_nov2001_100,dec2001_primary_recovery_flag,source_ripte_id,source_ipc_id,formula
2001-07,881.29,47.21627,99.948878,99.418496,PRE_BASELINE,e0_argentina_ripte_serie_junio_2026,e0_indec_ipc_gba_empalme_1943_2008,100*(RIPTE_t/IPC_t)/(RIPTE_base/IPC_base)
2001-08,879.63,47.04740,100.118690,99.587408,PRE_BASELINE,e0_argentina_ripte_serie_junio_2026,e0_indec_ipc_gba_empalme_1943_2008,100*(RIPTE_t/IPC_t)/(RIPTE_base/IPC_base)
2001-09,876.40,47.01178,99.826634,99.296902,PRE_BASELINE,e0_argentina_ripte_serie_junio_2026,e0_indec_ipc_gba_empalme_1943_2008,100*(RIPTE_t/IPC_t)/(RIPTE_base/IPC_base)
2001-10,880.26,46.80438,100.710610,100.176186,PRE_BASELINE,e0_argentina_ripte_serie_junio_2026,e0_indec_ipc_gba_empalme_1943_2008,100*(RIPTE_t/IPC_t)/(RIPTE_base/IPC_base)
2001-11,875.83,46.65088,100.533484,100.000000,PRE_BASELINE,e0_argentina_ripte_serie_junio_2026,e0_indec_ipc_gba_empalme_1943_2008,100*(RIPTE_t/IPC_t)/(RIPTE_base/IPC_base)
2001-12,870.52,46.61541,100.000000,99.469347,AT_OR_ABOVE_BASELINE,e0_argentina_ripte_serie_junio_2026,e0_indec_ipc_gba_empalme_1943_2008,100*(RIPTE_t/IPC_t)/(RIPTE_base/IPC_base)
2002-01,875.77,47.68412,98.348343,97.826455,BELOW_BASELINE,e0_argentina_ripte_serie_junio_2026,e0_indec_ipc_gba_empalme_1943_2008,100*(RIPTE_t/IPC_t)/(RIPTE_base/IPC_base)
2002-02,887.02,49.18163,96.578676,96.066179,BELOW_BASELINE,e0_argentina_ripte_serie_junio_2026,e0_indec_ipc_gba_empalme_1943_2008,100*(RIPTE_t/IPC_t)/(RIPTE_base/IPC_base)
2002-03,882.39,51.12700,92.418948,91.928525,BELOW_BASELINE,e0_argentina_ripte_serie_junio_2026,e0_indec_ipc_gba_empalme_1943_2008,100*(RIPTE_t/IPC_t)/(RIPTE_base/IPC_base)
2002-04,882.13,56.43840,83.696761,83.252622,BELOW_BASELINE,e0_argentina_ripte_serie_junio_2026,e0_indec_ipc_gba_empalme_1943_2008,100*(RIPTE_t/IPC_t)/(RIPTE_base/IPC_base)
2002-05,882.12,58.70200,80.468430,80.041422,BELOW_BASELINE,e0_argentina_ripte_serie_junio_2026,e0_indec_ipc_gba_empalme_1943_2008,100*(RIPTE_t/IPC_t)/(RIPTE_base/IPC_base)
2002-06,874.52,60.82820,76.986670,76.578138,BELOW_BASELINE,e0_argentina_ripte_serie_junio_2026,e0_indec_ipc_gba_empalme_1943_2008,100*(RIPTE_t/IPC_t)/(RIPTE_base/IPC_base)
2002-07,906.76,62.76780,77.358173,76.947669,BELOW_BASELINE,e0_argentina_ripte_serie_junio_2026,e0_indec_ipc_gba_empalme_1943_2008,100*(RIPTE_t/IPC_t)/(RIPTE_base/IPC_base)
2002-08,885.30,64.23780,73.799014,73.407398,BELOW_BASELINE,e0_argentina_ripte_serie_junio_2026,e0_indec_ipc_gba_empalme_1943_2008,100*(RIPTE_t/IPC_t)/(RIPTE_base/IPC_base)
