clock_id,regime,indicator,unit,universe,period,value,source_id,comparability,method_note
eph_punctual_employment,EPH_PUNCTUAL,employment_rate,percent,population_total_agglomerates,2001-05,35.8,e0_indec_eph_puntual_tasas_1974_2003,WITHIN_REGIME,"May/October wave; total surveyed agglomerates."
eph_punctual_employment,EPH_PUNCTUAL,employment_rate,percent,population_total_agglomerates,2001-10,34.5,e0_indec_eph_puntual_tasas_1974_2003,WITHIN_REGIME,"May/October wave; total surveyed agglomerates."
eph_punctual_employment,EPH_PUNCTUAL,employment_rate,percent,population_total_agglomerates,2002-05,32.8,e0_indec_eph_puntual_tasas_1974_2003,WITHIN_REGIME,"May/October wave; trough in the frozen E0 window."
eph_punctual_employment,EPH_PUNCTUAL,employment_rate,percent,population_total_agglomerates,2002-10,35.3,e0_indec_eph_puntual_tasas_1974_2003,WITHIN_REGIME,"Three agglomerates incorporated in October 2002."
eph_punctual_employment,EPH_PUNCTUAL,employment_rate,percent,population_total_agglomerates,2003-05,36.2,e0_indec_eph_puntual_tasas_1974_2003,WITHIN_REGIME_WITH_COVERAGE_NOTE,"Gran Santa Fe excluded due to flooding."
eph_punctual_unemployment,EPH_PUNCTUAL,unemployment_rate,percent,economically_active_population_total_agglomerates,2001-05,16.4,e0_indec_eph_puntual_tasas_1974_2003,WITHIN_REGIME,"May/October wave."
eph_punctual_unemployment,EPH_PUNCTUAL,unemployment_rate,percent,economically_active_population_total_agglomerates,2001-10,18.3,e0_indec_eph_puntual_tasas_1974_2003,WITHIN_REGIME,"May/October wave."
eph_punctual_unemployment,EPH_PUNCTUAL,unemployment_rate,percent,economically_active_population_total_agglomerates,2002-05,21.5,e0_indec_eph_puntual_tasas_1974_2003,WITHIN_REGIME,"Peak in the frozen E0 window."
eph_punctual_unemployment,EPH_PUNCTUAL,unemployment_rate,percent,economically_active_population_total_agglomerates,2002-10,17.8,e0_indec_eph_puntual_tasas_1974_2003,WITHIN_REGIME,"Three agglomerates incorporated in October 2002."
eph_punctual_unemployment,EPH_PUNCTUAL,unemployment_rate,percent,economically_active_population_total_agglomerates,2003-05,15.6,e0_indec_eph_puntual_tasas_1974_2003,WITHIN_REGIME_WITH_COVERAGE_NOTE,"Gran Santa Fe excluded due to flooding."
eph_punctual_underemployment,EPH_PUNCTUAL,underemployment_rate,percent,economically_active_population_total_agglomerates,2001-05,14.9,e0_indec_eph_puntual_tasas_1974_2003,WITHIN_REGIME,"Total underemployment rate in the source table."
eph_punctual_underemployment,EPH_PUNCTUAL,underemployment_rate,percent,economically_active_population_total_agglomerates,2001-10,16.3,e0_indec_eph_puntual_tasas_1974_2003,WITHIN_REGIME,"Total underemployment rate in the source table."
eph_punctual_underemployment,EPH_PUNCTUAL,underemployment_rate,percent,economically_active_population_total_agglomerates,2002-05,18.6,e0_indec_eph_puntual_tasas_1974_2003,WITHIN_REGIME,"Total underemployment rate in the source table."
eph_punctual_underemployment,EPH_PUNCTUAL,underemployment_rate,percent,economically_active_population_total_agglomerates,2002-10,19.9,e0_indec_eph_puntual_tasas_1974_2003,WITHIN_REGIME,"Three agglomerates incorporated in October 2002."
eph_punctual_underemployment,EPH_PUNCTUAL,underemployment_rate,percent,economically_active_population_total_agglomerates,2003-05,18.8,e0_indec_eph_puntual_tasas_1974_2003,WITHIN_REGIME_WITH_COVERAGE_NOTE,"Gran Santa Fe excluded due to flooding."
poverty_punctual_persons,EPH_PUNCTUAL_HISTORICAL_METHOD,poverty_persons,percent,persons_total_agglomerates,2001-05,35.9,e0_indec_pobreza_puntual_2001_2003,WITHIN_HISTORICAL_REGIME,"Historical LP method; May/October wave."
poverty_punctual_persons,EPH_PUNCTUAL_HISTORICAL_METHOD,poverty_persons,percent,persons_total_agglomerates,2001-10,38.3,e0_indec_pobreza_puntual_2001_2003,WITHIN_HISTORICAL_REGIME,"Historical LP method; May/October wave."
poverty_punctual_persons,EPH_PUNCTUAL_HISTORICAL_METHOD,poverty_persons,percent,persons_total_agglomerates,2002-05,53.0,e0_indec_pobreza_puntual_2001_2003,WITHIN_HISTORICAL_REGIME,"Historical LP method."
poverty_punctual_persons,EPH_PUNCTUAL_HISTORICAL_METHOD,poverty_persons,percent,persons_total_agglomerates,2002-10,57.5,e0_indec_pobreza_puntual_2001_2003,WITHIN_HISTORICAL_REGIME_WITH_COVERAGE_NOTE,"Three agglomerates incorporated in October 2002."
poverty_punctual_persons,EPH_PUNCTUAL_HISTORICAL_METHOD,poverty_persons,percent,persons_total_agglomerates,2003-05,54.7,e0_indec_pobreza_puntual_2001_2003,WITHIN_HISTORICAL_REGIME,"Do not compare as method-identical with 2016+ publication regime."
indigence_punctual_persons,EPH_PUNCTUAL_HISTORICAL_METHOD,indigence_persons,percent,persons_total_agglomerates,2001-05,11.6,e0_indec_pobreza_puntual_2001_2003,WITHIN_HISTORICAL_REGIME,"Historical LI method; May/October wave."
indigence_punctual_persons,EPH_PUNCTUAL_HISTORICAL_METHOD,indigence_persons,percent,persons_total_agglomerates,2001-10,13.6,e0_indec_pobreza_puntual_2001_2003,WITHIN_HISTORICAL_REGIME,"Historical LI method; May/October wave."
indigence_punctual_persons,EPH_PUNCTUAL_HISTORICAL_METHOD,indigence_persons,percent,persons_total_agglomerates,2002-05,24.8,e0_indec_pobreza_puntual_2001_2003,WITHIN_HISTORICAL_REGIME,"Historical LI method."
indigence_punctual_persons,EPH_PUNCTUAL_HISTORICAL_METHOD,indigence_persons,percent,persons_total_agglomerates,2002-10,27.5,e0_indec_pobreza_puntual_2001_2003,WITHIN_HISTORICAL_REGIME_WITH_COVERAGE_NOTE,"Three agglomerates incorporated in October 2002."
indigence_punctual_persons,EPH_PUNCTUAL_HISTORICAL_METHOD,indigence_persons,percent,persons_total_agglomerates,2003-05,26.3,e0_indec_pobreza_puntual_2001_2003,WITHIN_HISTORICAL_REGIME,"Do not compare as method-identical with 2016+ publication regime."
poverty_punctual_households,EPH_PUNCTUAL_HISTORICAL_METHOD,poverty_households,percent,households_total_agglomerates,2001-05,26.2,e0_indec_pobreza_puntual_2001_2003,WITHIN_HISTORICAL_REGIME,"Historical LP method."
poverty_punctual_households,EPH_PUNCTUAL_HISTORICAL_METHOD,poverty_households,percent,households_total_agglomerates,2001-10,28.0,e0_indec_pobreza_puntual_2001_2003,WITHIN_HISTORICAL_REGIME,"Historical LP method."
poverty_punctual_households,EPH_PUNCTUAL_HISTORICAL_METHOD,poverty_households,percent,households_total_agglomerates,2002-05,41.4,e0_indec_pobreza_puntual_2001_2003,WITHIN_HISTORICAL_REGIME,"Historical LP method."
poverty_punctual_households,EPH_PUNCTUAL_HISTORICAL_METHOD,poverty_households,percent,households_total_agglomerates,2002-10,45.7,e0_indec_pobreza_puntual_2001_2003,WITHIN_HISTORICAL_REGIME_WITH_COVERAGE_NOTE,"Three agglomerates incorporated in October 2002."
poverty_punctual_households,EPH_PUNCTUAL_HISTORICAL_METHOD,poverty_households,percent,households_total_agglomerates,2003-05,42.6,e0_indec_pobreza_puntual_2001_2003,WITHIN_HISTORICAL_REGIME,"Do not compare as method-identical with 2016+ publication regime."
indigence_punctual_households,EPH_PUNCTUAL_HISTORICAL_METHOD,indigence_households,percent,households_total_agglomerates,2001-05,8.3,e0_indec_pobreza_puntual_2001_2003,WITHIN_HISTORICAL_REGIME,"Historical LI method."
indigence_punctual_households,EPH_PUNCTUAL_HISTORICAL_METHOD,indigence_households,percent,households_total_agglomerates,2001-10,9.4,e0_indec_pobreza_puntual_2001_2003,WITHIN_HISTORICAL_REGIME,"Historical LI method."
indigence_punctual_households,EPH_PUNCTUAL_HISTORICAL_METHOD,indigence_households,percent,households_total_agglomerates,2002-05,18.0,e0_indec_pobreza_puntual_2001_2003,WITHIN_HISTORICAL_REGIME,"Historical LI method."
indigence_punctual_households,EPH_PUNCTUAL_HISTORICAL_METHOD,indigence_households,percent,households_total_agglomerates,2002-10,19.5,e0_indec_pobreza_puntual_2001_2003,WITHIN_HISTORICAL_REGIME_WITH_COVERAGE_NOTE,"Three agglomerates incorporated in October 2002."
indigence_punctual_households,EPH_PUNCTUAL_HISTORICAL_METHOD,indigence_households,percent,households_total_agglomerates,2003-05,17.9,e0_indec_pobreza_puntual_2001_2003,WITHIN_HISTORICAL_REGIME,"Do not compare as method-identical with 2016+ publication regime."
eph_continuous_employment,EPH_CONTINUOUS,employment_rate,percent,population_28_agglomerates,2003-S1,36.9,e0_indec_eph_continua_tasas_2003_2007,SEPARATE_REGIME,"First semester 2003; Gran Santa Fe excluded due to flooding."
eph_continuous_employment,EPH_CONTINUOUS,employment_rate,percent,population_28_agglomerates,2003-S2,38.6,e0_indec_eph_continua_tasas_2003_2007,SEPARATE_REGIME,"Second semester 2003."
eph_continuous_unemployment,EPH_CONTINUOUS,unemployment_rate,percent,economically_active_population_28_agglomerates,2003-S1,19.1,e0_indec_eph_continua_tasas_2003_2007,SEPARATE_REGIME,"First semester 2003; Gran Santa Fe excluded due to flooding."
eph_continuous_unemployment,EPH_CONTINUOUS,unemployment_rate,percent,economically_active_population_28_agglomerates,2003-S2,15.4,e0_indec_eph_continua_tasas_2003_2007,SEPARATE_REGIME,"Second semester 2003."
eph_continuous_underemployment_demanding,EPH_CONTINUOUS,demanding_underemployment_rate,percent,economically_active_population_28_agglomerates,2003-S1,11.9,e0_indec_eph_continua_tasas_2003_2007,SEPARATE_REGIME,"First semester 2003."
eph_continuous_underemployment_demanding,EPH_CONTINUOUS,demanding_underemployment_rate,percent,economically_active_population_28_agglomerates,2003-S2,11.5,e0_indec_eph_continua_tasas_2003_2007,SEPARATE_REGIME,"Second semester 2003."
eph_continuous_underemployment_nondemanding,EPH_CONTINUOUS,nondemanding_underemployment_rate,percent,economically_active_population_28_agglomerates,2003-S1,5.9,e0_indec_eph_continua_tasas_2003_2007,SEPARATE_REGIME,"First semester 2003."
eph_continuous_underemployment_nondemanding,EPH_CONTINUOUS,nondemanding_underemployment_rate,percent,economically_active_population_28_agglomerates,2003-S2,4.9,e0_indec_eph_continua_tasas_2003_2007,SEPARATE_REGIME,"Second semester 2003."
poverty_continuous_persons,EPH_CONTINUOUS_HISTORICAL_METHOD,poverty_persons,percent,persons_total_agglomerates,2003-S1,54.0,e0_indec_pobreza_continua_2003_2007,SEPARATE_REGIME,"Not a mechanical continuation of the punctual May wave."
