map_id,institution,producer_or_custodian,system_or_record,record_class,exact_fields_or_trace,target_use,source_id,source_locator,applicability,caveat
PS121_01,Ministerio de Economía / Tesoro,Mesa de Entradas de la ONCP,Sistema de Regularización de la Deuda Pública,reporte diario de ingresos,"número; fecha; estado de validación; motivo de devolución",localizar actuación contemporánea y cruce documental,e0_argentina_rc_26_216_2008_tsa_sigade,Anexo I puntos 1-3,CONTEMPORANEOUS_ADJACENT_PROCEDURE,"El procedimiento regulado es BOCON; no prueba uso en recompras."
PS121_02,Ministerio de Economía / Tesoro,Mesa de Entradas de la ONCP,COMDOC III,asiento diario de solicitudes,"número COMDOC; fecha; remitente; asunto; área",buscar identificador heredado previo a GDE,e0_argentina_rc_26_216_2008_tsa_sigade,Anexo I punto 1,CONTEMPORANEOUS_ADJACENT_PROCEDURE,"COMDOC III está probado para esa serie; debe verificarse su uso en la serie de recompra."
PS121_03,Ministerio de Economía / Tesoro,Unidad de Registro de la Deuda Pública de la DADP,SIGADE,registro de operación de deuda,"código SIGADE; fecha; especie; nominal; importe; estado",buscar registro analítico y referencia a expediente,e0_argentina_rc_26_216_2008_tsa_sigade,Anexo I punto 6,CONTEMPORANEOUS_SYSTEM_CAPABILITY,"Prueba administración contemporánea de SIGADE; no identifica el código de las recompras."
PS121_04,Ministerio de Economía / Tesoro,DADP / agentes habilitados,TSA sobre VPN Tesoro-Caja,archivo transmitido,"emisor; receptor; fecha; lote; aceptación; rechazo",buscar intercambio electrónico con Caja,e0_argentina_rc_26_216_2008_tsa_sigade,Considerandos y Anexo I punto 5,CONTEMPORANEOUS_SYSTEM_CAPABILITY,"La norma lo aplica a BOCON; la extensión a recompras debe ser confirmada."
PS121_05,Ministerio de Economía / Tesoro,DADP / Unidad de Registro,constancia de aceptación Caja,acuse o validación de archivo,"fecha; archivo/lote; monto; estado; firma o usuario",probar recepción por Caja o rechazo,e0_argentina_rc_26_216_2008_tsa_sigade,Anexo I punto 5,CONTEMPORANEOUS_ADJACENT_RECORD_CLASS,"La clase existe en el procedimiento vecino; no prueba que exista para cada recompra."
PS121_06,Ministerio de Economía / Tesoro,ONCP y TGN,nota conjunta a agente de registro o pago,instrucción firmada,"número; fecha; firmantes; agente; especie; monto",buscar orden conjunta o equivalente,e0_argentina_rc_26_216_2008_tsa_sigade,Artículo 5,CONTEMPORANEOUS_DEBT_CONTROL,"El artículo cubre ciertos títulos/órdenes de pago; la aplicabilidad a recompras debe acreditarse."
PS121_07,BCRA / CRyL,CRyL / Sistema de Pago y Operaciones,CG1,errores de prematching,"fórmula; tipo; agente/cuenta cedente y receptor; especie; modalidad; nominal; importe; fechas",localizar incongruencias previas a liquidación,e0_bcra_b7971_cryl_operational_files_2003,Anexo página 1,CONTEMPORANEOUS_OPERATIONAL_SCHEMA,"El diseño prueba la clase y los campos; no la existencia del archivo objetivo."
PS121_08,BCRA / CRyL,CRyL / Sistema de Pago y Operaciones,CG2,operaciones rechazadas,"agente/cuenta; especie; modalidad; nominal; importe; mercado; fechas",buscar rechazo o fallo,e0_bcra_b7971_cryl_operational_files_2003,Anexo página 2,CONTEMPORANEOUS_OPERATIONAL_SCHEMA,"El diseño no prueba conservación ni inclusión de la recompra."
PS121_09,BCRA / CRyL,CRyL / Sistema de Pago y Operaciones,CG3,operaciones liquidadas,"agente/cuenta; especie; modalidad; nominal; importe; mercado; concertación; liquidación; subcuenta; comitente Caja",probar liquidación por evento,e0_bcra_b7971_cryl_operational_files_2003,Anexo página 2,CONTEMPORANEOUS_OPERATIONAL_SCHEMA,"Debe vincularse por fecha, especie y cuentas; CG3 no revela por sí solo beneficiario final."
PS121_10,BCRA / CRyL,CRyL / Sistema de Pago y Operaciones,CG4,operaciones para liquidar,"agente/cuenta; especie; modalidad; nominal; importe; mercado; fechas; subcuenta; comitente Caja",distinguir pendiente de liquidado,e0_bcra_b7971_cryl_operational_files_2003,Anexo página 3,CONTEMPORANEOUS_OPERATIONAL_SCHEMA,"Pendiente no equivale a liquidado ni fallido."
PS121_11,BCRA / CRyL,CRyL / Sistema de Pago y Operaciones,CG5 y CG6,saldo anterior y saldo actual,"agente; cuenta; especie; saldo; fecha de liquidación",conciliar movimientos con saldo,e0_bcra_b7971_cryl_operational_files_2003,Anexo página 3,CONTEMPORANEOUS_OPERATIONAL_SCHEMA,"Saldos agregados no identifican el origen económico de cada título."
PS121_12,BCRA / CRyL,CRyL / Sistema de Pago y Operaciones,CG7,extracto diario CRyL,"cuenta; especie; fecha; fórmula; origen/destino; débitos; créditos; saldo VNR",obtener extracto de cada fecha T+3,e0_bcra_b7971_cryl_operational_files_2003,Anexo página 4,CONTEMPORANEOUS_OPERATIONAL_SCHEMA,"El extracto requiere cuenta y especie correctas y no equivale a identidad del titular final."
PS121_13,BCRA / CRyL,CRyL / Gerencia de Mercado Abierto,Formulario 4359 DVP/FD&P,instrucción entrega contra pago,"número de instrucción y operación; concertación; liquidación; cuenta registro/corriente; código; nominal; importe",localizar instrucción original o reemplazo,e0_bcra_a3191_cryl_dvp_regime_2000,Sección 12.1 página PDF 23,CONTEMPORANEOUS_BASELINE_FORM,"El formulario base puede haber tenido modificaciones; verificar versión vigente en 2008."
PS121_14,BCRA / CRyL,CRyL / Gerencia de Mercado Abierto,Formulario 4359B FTC,transferencia libre conformada con Caja,"cuenta debitada/acreditada; código; nominal; comitente Caja; aceptación/rechazo",localizar transferencia con Caja,e0_bcra_a3191_cryl_dvp_regime_2000,Secciones 8.1 y 12.3 páginas PDF 19 y 25,CONTEMPORANEOUS_BASELINE_FORM,"FTC no debe presumirse si la operación usó DVP u otra modalidad."
PS121_15,BCRA / CRyL,CRyL,régimen informativo diario y mensual,detalle por cuenta y especie,"fecha; tipo de operación; cuenta origen/destino; débitos; créditos; saldo VNR",pedir informe preexistente alternativo,e0_bcra_a3191_cryl_dvp_regime_2000,Sección 9 y 12.5 páginas PDF 20 y 27,CONTEMPORANEOUS_BASELINE_REPORT,"Un informe de cuenta no identifica necesariamente beneficiario o mandante."
PS121_16,BCRA / CRyL,CRyL,registro de incumplimientos,saldo insuficiente o instrucción no coincidente,"instrucción; fecha; cuenta; especie; causa; aviso CNV/mercado",buscar operación no liquidada,e0_bcra_a3191_cryl_dvp_regime_2000,Secciones 5.4 y 6.5-6.6 páginas PDF 11 y 14-17,CONTEMPORANEOUS_BASELINE_CONTROL,"La regla describe tratamiento; no prueba incumplimiento en las rondas objetivo."
