award_id,tender_date,scheduled_settlement_date,participant,participant_role,instrument,isin,native_currency,awarded_notional_native,awarded_effective_native,awarded_effective_ars_raw,bcra_account_candidate,bcra_account_directory_source,account_match_status,ultimate_holder_identified,securities_transfer_status,cash_credit_status,source_id,source_locator,caveat
A20080828_GDPARS_CITI,2008-08-28,2008-09-02,Citibank,MAE_PARTICIPANT_INTERMEDIARY_OR_OWN_ACCOUNT,GDP_UNIT_ARS,ARARGE03E147,ARS,73135,6509.015,6509.015,016,e0_bcra_com_b9322_cuentas_corrientes_2008,B9322_DIRECTORY_MATCH,NO,SCHEDULED_NOT_CONFIRMED,NOT_CONFIRMED,e0_argentina_resultado_recompra_2008_08_28,PDF_pp1_3,La moneda del instrumento orienta el candidato de cuenta; falta la orden de pago para confirmar moneda y cuenta efectivamente acreditada.
A20080828_GDPARS_HSBC,2008-08-28,2008-09-02,HSBC Bank,MAE_PARTICIPANT_INTERMEDIARY_OR_OWN_ACCOUNT,GDP_UNIT_ARS,ARARGE03E147,ARS,110000000,9884000.00,9884000.00,150,e0_bcra_com_b9322_cuentas_corrientes_2008,B9322_DIRECTORY_MATCH,NO,SCHEDULED_NOT_CONFIRMED,NOT_CONFIRMED,e0_argentina_resultado_recompra_2008_08_28,PDF_pp1_3,La moneda del instrumento orienta el candidato de cuenta; falta la orden de pago para confirmar moneda y cuenta efectivamente acreditada.
A20080904_GDPARS_CITI,2008-09-04,2008-09-09,Citibank,MAE_PARTICIPANT_INTERMEDIARY_OR_OWN_ACCOUNT,GDP_UNIT_ARS,ARARGE03E147,ARS,52268,4704.12,4704.12,016,e0_bcra_com_b9322_cuentas_corrientes_2008,B9322_DIRECTORY_MATCH,NO,SCHEDULED_NOT_CONFIRMED,NOT_CONFIRMED,e0_argentina_resultado_recompra_2008_09_04,PDF_pp1_3,La moneda del instrumento orienta el candidato de cuenta; falta la orden de pago para confirmar moneda y cuenta efectivamente acreditada.
A20080904_GDPUSD_CITI,2008-09-04,2008-09-09,Citibank,MAE_PARTICIPANT_INTERMEDIARY_OR_OWN_ACCOUNT,GDP_UNIT_USD_LAW_AR,ARARGE03E154,USD,50000,1625.00,4950.075000,80016,e0_bcra_com_b9322_cuentas_corrientes_2008,B9322_DIRECTORY_MATCH,NO,SCHEDULED_NOT_CONFIRMED,NOT_CONFIRMED,e0_argentina_resultado_recompra_2008_09_04,PDF_pp1_3,La moneda del instrumento orienta el candidato de cuenta; falta la orden de pago para confirmar moneda y cuenta efectivamente acreditada.
A20080904_GDPUSD_STANDARD,2008-09-04,2008-09-09,Standard Bank,MAE_PARTICIPANT_INTERMEDIARY_OR_OWN_ACCOUNT,GDP_UNIT_USD_LAW_AR,ARARGE03E154,USD,21200000,1876200.00,5715280.440000,80015,e0_bcra_com_b9322_cuentas_corrientes_2008,B9322_DIRECTORY_MATCH,NO,SCHEDULED_NOT_CONFIRMED,NOT_CONFIRMED,e0_argentina_resultado_recompra_2008_09_04,PDF_pp1_3,La moneda del instrumento orienta el candidato de cuenta; falta la orden de pago para confirmar moneda y cuenta efectivamente acreditada.
A20080911_GDPARS_CITI,2008-09-11,2008-09-16,Citibank,MAE_PARTICIPANT_INTERMEDIARY_OR_OWN_ACCOUNT,GDP_UNIT_ARS,ARARGE03E147,ARS,300570000,26267385.00,26267385.00,016,e0_bcra_com_b9322_cuentas_corrientes_2008,B9322_DIRECTORY_MATCH,NO,SCHEDULED_NOT_CONFIRMED,NOT_CONFIRMED,e0_argentina_resultado_recompra_2008_09_11,PDF_pp1_3,La moneda del instrumento orienta el candidato de cuenta; falta la orden de pago para confirmar moneda y cuenta efectivamente acreditada.
A20081002_GDPARS_CITI,2008-10-02,2008-10-07,Citibank,MAE_PARTICIPANT_INTERMEDIARY_OR_OWN_ACCOUNT,GDP_UNIT_ARS,ARARGE03E147,ARS,489371069,40722213.986,40722213.986,016,e0_bcra_com_b9322_cuentas_corrientes_2008,B9322_DIRECTORY_MATCH,NO,SCHEDULED_NOT_CONFIRMED,NOT_CONFIRMED,e0_argentina_resultado_recompra_2008_10_02,PDF_pp1_2,La moneda del instrumento orienta el candidato de cuenta; falta la orden de pago para confirmar moneda y cuenta efectivamente acreditada.
A20081002_GDPARS_HSBC,2008-10-02,2008-10-07,HSBC Bank,MAE_PARTICIPANT_INTERMEDIARY_OR_OWN_ACCOUNT,GDP_UNIT_ARS,ARARGE03E147,ARS,140275578,11705872.974,11705872.974,150,e0_bcra_com_b9322_cuentas_corrientes_2008,B9322_DIRECTORY_MATCH,NO,SCHEDULED_NOT_CONFIRMED,NOT_CONFIRMED,e0_argentina_resultado_recompra_2008_10_02,PDF_pp1_2,La moneda del instrumento orienta el candidato de cuenta; falta la orden de pago para confirmar moneda y cuenta efectivamente acreditada.
A20081002_GDPARS_MERVAL,2008-10-02,2008-10-07,MERVAL,MAE_PARTICIPANT_INTERMEDIARY_OR_OWN_ACCOUNT,GDP_UNIT_ARS,ARARGE03E147,ARS,5000000,415000.00,415000.00,UNKNOWN,e0_bcra_com_b9322_cuentas_corrientes_2008,ROUTING_ACCOUNT_OPEN,NO,SCHEDULED_NOT_CONFIRMED,NOT_CONFIRMED,e0_argentina_resultado_recompra_2008_10_02,PDF_pp1_2,La moneda del instrumento orienta el candidato de cuenta; falta la orden de pago para confirmar moneda y cuenta efectivamente acreditada.
A20081002_GDPUSD_CITI,2008-10-02,2008-10-07,Citibank,MAE_PARTICIPANT_INTERMEDIARY_OR_OWN_ACCOUNT,GDP_UNIT_USD_LAW_AR,ARARGE03E154,USD,8230362,625205.34,1960018.74090,80016,e0_bcra_com_b9322_cuentas_corrientes_2008,B9322_DIRECTORY_MATCH,NO,SCHEDULED_NOT_CONFIRMED,NOT_CONFIRMED,e0_argentina_resultado_recompra_2008_10_02,PDF_pp1_2,La moneda del instrumento orienta el candidato de cuenta; falta la orden de pago para confirmar moneda y cuenta efectivamente acreditada.
