source_id,original_url,retrieval_url,capture_timestamp,cdx_digest,local_path,sha256,bytes,provenance_note
e0_mecon_strip_boden2012_call_2009_06_10,http://www.mecon.gov.ar/finanzas/sfinan/documentos/comunicado_de_prensa_boden2012.pdf,https://web.archive.org/web/20090619202926id_/http://www.mecon.gov.ar/finanzas/sfinan/documentos/comunicado_de_prensa_boden2012.pdf,20090619202926,S7GOXGJQEH56CLSGQ5TXP6Z6U2QCHIYX,/research/ciclo_ajuste/inputs/historical_retrieval/v120/binaries/mecon_strip_boden2012_llamado_2009-06-10_wayback.pdf,5e985d7a96ee628e6abd83d1a05e76ca3111fd806c429641792aa41af639f841,24883,Binario oficial original preservado por Internet Archive; URL institucional histórica ya no es una ruta viva confiable.
e0_mecon_strip_boden2012_result_2009_06_12,http://www.mecon.gov.ar/finanzas/sfinan/documentos/comunicado_de_prensa_resultado_con%20anexo.pdf,https://web.archive.org/web/20090619203017id_/http://www.mecon.gov.ar/finanzas/sfinan/documentos/comunicado_de_prensa_resultado_con%20anexo.pdf,20090619203017,2J7QZWPHLWKE5A2WQTC4HMWS2IUD44XS,/research/ciclo_ajuste/inputs/historical_retrieval/v120/binaries/mecon_strip_boden2012_resultado_2009-06-12_wayback.pdf,a6afe3d95aab9726b437e8ac46ad71b0db4c9dfeb80d9892b5452d16379e3b20,20729,Binario oficial original preservado por Internet Archive; incluye comunicado y anexo de 35 ofertas.
e0_bcra_inflation_report_q4_2008_buyback_control,https://www.bcra.gob.ar/archivos/Pdfs/publicacionesestadisticas/informe-de-inflacion-trimestre-4-2008.pdf,https://www.bcra.gob.ar/archivos/Pdfs/publicacionesestadisticas/informe-de-inflacion-trimestre-4-2008.pdf,,,/research/ciclo_ajuste/inputs/historical_retrieval/v120/binaries/bcra_informe_inflacion_4t_2008.pdf,7eadf384bb38d996f246bfe12284e93401791c1f97ab30c5f186af77ab6e9bae,1472963,Descarga directa actual desde BCRA; control oficial aproximado independiente.
e0_caja_archive_recompra_2008_query,https://contenidos.sba.com.ar/CAJVAL/vistas/Comunicados/ListadoComunicadosInstitucional.aspx?c=2,https://contenidos.sba.com.ar/CAJVAL/vistas/Comunicados/ListadoComunicadosInstitucional.aspx?c=2,20260829,N/A_LIVE_OFFICIAL,/research/ciclo_ajuste/inputs/historical_retrieval/v128/binaries/caja_archive_recompra_2008.html,ebe50392348978745c22cd29d1e35ae49b1c1712bb042a58e9efc29af1e9a417,28574,Descarga directa o respuesta filtrada preservada desde el portador institucional oficial; hash local congelado en V134.
e0_caja_archive_window_2008_09_12_2008_10_10_query,https://contenidos.sba.com.ar/CAJVAL/vistas/Comunicados/ListadoComunicadosInstitucional.aspx?c=2,https://contenidos.sba.com.ar/CAJVAL/vistas/Comunicados/ListadoComunicadosInstitucional.aspx?c=2,20260829,N/A_LIVE_OFFICIAL,/research/ciclo_ajuste/inputs/historical_retrieval/v128/binaries/caja_archive_window_2008-09-12_2008-10-10.html,86b99286f08393a60185f79c3cd819614a6b97da2ac5a9c44316e7b324546b83,56094,Descarga directa o respuesta filtrada preservada desde el portador institucional oficial; hash local congelado en V134.
e0_argentina_deuda_publica_2008_q3,https://www.argentina.gob.ar/sites/default/files/deuda_publica_30-09-08.xls,https://www.argentina.gob.ar/sites/default/files/deuda_publica_30-09-08.xls,20260829,N/A_LIVE_OFFICIAL,/research/ciclo_ajuste/inputs/historical_retrieval/v128/binaries/deuda_publica_30-09-08.xls,9e986552e6a6b37662046b0b808b78878b52bc885595ed3d0f75eca58f4d0b82,2236928,Descarga directa o respuesta filtrada preservada desde el portador institucional oficial; hash local congelado en V134.
e0_argentina_deuda_publica_2008_q4,https://www.argentina.gob.ar/sites/default/files/deuda_publica_31-12-2008.xls,https://www.argentina.gob.ar/sites/default/files/deuda_publica_31-12-2008.xls,20260829,N/A_LIVE_OFFICIAL,/research/ciclo_ajuste/inputs/historical_retrieval/v128/binaries/deuda_publica_31-12-2008.xls,7eae7145e29214a2aaae75384e38f592ce8367a94f920978187417ceef8c2e31,6036992,Descarga directa o respuesta filtrada preservada desde el portador institucional oficial; hash local congelado en V134.
e0_argentina_2005_prospectus_supplement,https://www.argentina.gob.ar/sites/default/files/mfin_us_prospectus_and_prospectus_supplement.pdf,https://www.argentina.gob.ar/sites/default/files/mfin_us_prospectus_and_prospectus_supplement.pdf,20260830,N/A_DIRECT_OFFICIAL,/research/ciclo_ajuste/inputs/historical_retrieval/v128/binaries/argentina_2005_prospectus_supplement.pdf,ffec6c453fddf7d4a9ca99c8e53e8cd0af630cfa4a9f4212c679c343b74dfe17,956554,Descarga directa desde el portador institucional oficial; binario o HTML preservado y hash congelado en V134.
e0_argentina_resolution_115_323_2005_buyback_procedure,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-115-2005-111413/texto,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-115-2005-111413/texto,20260830,N/A_DIRECT_OFFICIAL,/research/ciclo_ajuste/inputs/historical_retrieval/v128/binaries/argentina_resolucion_conjunta_115_323_2005.html,9ea2b24c84833cd05b19fd5d0f37ec472f5eb05a6fea6933883b216820ad527d,54348,Descarga directa desde el portador institucional oficial; binario o HTML preservado y hash congelado en V134.
e0_argentina_gdp_units_third_payment_2008,https://www.argentina.gob.ar/sites/default/files/comunicado_3er_cupon_unidad_pbi.pdf,https://www.argentina.gob.ar/sites/default/files/comunicado_3er_cupon_unidad_pbi.pdf,20260830,N/A_DIRECT_OFFICIAL,/research/ciclo_ajuste/inputs/historical_retrieval/v128/binaries/argentina_gdp_units_third_payment_2008.pdf,64a18c8d9473cc6d61bc41333c6c9f230524617d84a3eb816f2bd31957bb0ced,59024,Descarga directa desde el portador institucional oficial; binario o HTML preservado y hash congelado en V134.
e0_argentina_colocaciones_deuda_2008_xls,https://www.argentina.gob.ar/sites/default/files/coloc2008_castellano_con_letras.xls,https://www.argentina.gob.ar/sites/default/files/coloc2008_castellano_con_letras.xls,20260830,N/A_DIRECT_OFFICIAL,/research/ciclo_ajuste/inputs/historical_retrieval/v129/binaries/coloc2008_castellano_con_letras.xls,08077e8abac8a714e2d28b10a85d8f7b0510b0015c73cb94144569905d7e0fab,83456,Descarga directa desde el portador institucional oficial; XLS preservado y auditado como control negativo de alcance en V134.
e0_bcra_com_b9195_cuentas_corrientes_2008,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/b9195.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/b9195.pdf,20260830,N/A_DIRECT_OFFICIAL,/research/ciclo_ajuste/inputs/historical_retrieval/v130/binaries/bcra_com_b9195_cuentas_corrientes_2008.pdf,70421c39f9ee663a387477b4abe6efef2fc94ef70678c2265578ddf9220098de,217990,Descarga directa del portador oficial BCRA; binario preservado y verificado visualmente en V134.
e0_bcra_com_b9322_cuentas_corrientes_2008,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/b9322.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/b9322.pdf,20260830,N/A_DIRECT_OFFICIAL,/research/ciclo_ajuste/inputs/historical_retrieval/v130/binaries/bcra_com_b9322_cuentas_corrientes_2008.pdf,e2b588d85262ff8e3a7c586ecf43683178584958e9473aa9b10095464336c6c0,272233,Descarga directa del portador oficial BCRA; binario preservado y verificado visualmente en V134.
e0_agn_informe_segundo_trimestre_2009_act_48_0237_09,https://www.agn.gob.ar/sites/default/files/informes/2009_191info_0.pdf,https://www.agn.gob.ar/sites/default/files/informes/2009_191info_0.pdf,20260830,N/A_DIRECT_OFFICIAL,/research/ciclo_ajuste/inputs/historical_retrieval/v131/binaries/agn_2009_191_avance_2t_2009.pdf,a702a4a9b1252fae6f837ca1ac76cd1a3dd5d3a2f685deebb01c111db692e7e3,1534297,"Descarga directa del portador oficial AGN; binario preservado, hasheado y página objetivo verificada visualmente en V134."
e0_agn_api_informe_res202_act41_2009,"https://webagnapi.agn.gob.ar/api/node/informes/b52e2e9c-90b5-4af1-bf5d-0bab8596606e?include=informe,resolucion_archivo,ficha,anexo","https://webagnapi.agn.gob.ar/api/node/informes/b52e2e9c-90b5-4af1-bf5d-0bab8596606e?include=informe,resolucion_archivo,ficha,anexo",20260830,N/A_DIRECT_OFFICIAL,/research/ciclo_ajuste/inputs/historical_retrieval/v132/binaries/agn_api_informe_res202_act41_2009.json,8edcc3503af5f3ec0c380788dc70fe3276885e621ce37bfaf00f48f3baacdcfc,13002,"Descarga directa oficial; preservada, hasheada y contenido relevante verificado en V134."
e0_agn_res_202_2009_act_41_2009_resolution,https://www.agn.gob.ar/sites/default/files/informes/2009_202Reso.pdf,https://www.agn.gob.ar/sites/default/files/informes/2009_202Reso.pdf,20260830,N/A_DIRECT_OFFICIAL,/research/ciclo_ajuste/inputs/historical_retrieval/v132/binaries/agn_res_202_2009_act_41_2009.pdf,52a27534424d10eb631c9852d8ba35222d3448eeefaf583192c745d59d755589,48191,"Descarga directa oficial; preservada, hasheada y contenido relevante verificado en V134."
e0_agn_api_informe_3t_2009_res211,"https://webagnapi.agn.gob.ar/api/node/informes/7c01261c-10a0-40f6-94f6-ae7a02be8b63?include=informe,resolucion_archivo","https://webagnapi.agn.gob.ar/api/node/informes/7c01261c-10a0-40f6-94f6-ae7a02be8b63?include=informe,resolucion_archivo",20260830,N/A_DIRECT_OFFICIAL,/research/ciclo_ajuste/inputs/historical_retrieval/v132/binaries/agn_api_informe_3t_2009_res211.json,001a311e62a2ead9649c5ffc0261c2691ed32eeb150388f298ab769ec1076aa5,10672,"Descarga directa oficial; preservada, hasheada y contenido relevante verificado en V134."
e0_agn_res_211_2009_3t_activity,https://www.agn.gob.ar/sites/default/files/informes/resolucion_211_2009.pdf,https://www.agn.gob.ar/sites/default/files/informes/resolucion_211_2009.pdf,20260830,N/A_DIRECT_OFFICIAL,/research/ciclo_ajuste/inputs/historical_retrieval/v132/binaries/agn_res_211_2009_3t_2009.pdf,d8408f34fa88c2f4614fcdb30f8a2eed64d57e72f61526e2c886bddc68831b53,30951,"Descarga directa oficial; preservada, hasheada y contenido relevante verificado en V134."
e0_agn_api_informe_4t_2009_res44_2010,"https://webagnapi.agn.gob.ar/api/node/informes/616f80c7-65f2-4b5c-a4e9-b8bf4954600e?include=informe,resolucion_archivo","https://webagnapi.agn.gob.ar/api/node/informes/616f80c7-65f2-4b5c-a4e9-b8bf4954600e?include=informe,resolucion_archivo",20260830,N/A_DIRECT_OFFICIAL,/research/ciclo_ajuste/inputs/historical_retrieval/v132/binaries/agn_api_informe_4t_2009_res044_2010.json,c68a6035ac0bda2df5eb71608572943a0b00230f5fb62f1e1b18730be98ff677,10675,"Descarga directa oficial; preservada, hasheada y contenido relevante verificado en V134."
e0_agn_res_44_2010_4t_activity,https://www.agn.gob.ar/sites/default/files/informes/2010_044reso_0.pdf,https://www.agn.gob.ar/sites/default/files/informes/2010_044reso_0.pdf,20260830,N/A_DIRECT_OFFICIAL,/research/ciclo_ajuste/inputs/historical_retrieval/v132/binaries/agn_res_044_2010_4t_2009.pdf,a02e317a61221b4b163ff3e2fcf2a4756414c25871abe4886fcc218cd1e38772,30142,"Descarga directa oficial; preservada, hasheada y contenido relevante verificado en V134."
e0_agn_2022_124_oncp_control_interno,https://www.agn.gob.ar/sites/default/files/informes/2022-124-Informe_0.pdf,https://www.agn.gob.ar/sites/default/files/informes/2022-124-Informe_0.pdf,20260830,N/A_DIRECT_OFFICIAL,/research/ciclo_ajuste/inputs/historical_retrieval/v132/binaries/agn_2022_124_oncp_control_interno.pdf,4b61ce2dc5245268a4cb1858e023c202beb08a86425af3710c1a6ff963f9ccc4,8305750,"Descarga directa oficial; preservada, hasheada y contenido relevante verificado en V134."
e0_senado_exp_366_09_agn_res211_t3,https://www.senado.gob.ar/parlamentario/comisiones/verExp/366.09/OV/PP,https://www.senado.gob.ar/parlamentario/comisiones/verExp/366.09/OV/PP,20260830,N/A_DIRECT_OFFICIAL,/research/ciclo_ajuste/inputs/historical_retrieval/v134/binaries/senado_exp_366_09_agn_res211_t3.html,f74fbe0afdc64f2417b33812dbf68696df7b70e73b65b0fe1e4f2eb69720574c,48711,Captura directa oficial preservada y hasheada en V134; metadatos verificables en el HTML.
e0_senado_exp_44_10_agn_res44_t4,https://www.senado.gob.ar/parlamentario/comisiones/verExp/44.10/OV/PP,https://www.senado.gob.ar/parlamentario/comisiones/verExp/44.10/OV/PP,20260830,N/A_DIRECT_OFFICIAL,/research/ciclo_ajuste/inputs/historical_retrieval/v134/binaries/senado_exp_44_10_agn_res44_t4.html,b8ba499ccb21798d392d4c8e8499d51c6057bb076c6f8d41c08d773e201beed2,48707,Captura directa oficial preservada y hasheada en V134; metadatos verificables en el HTML.
e0_economia_consulta_expedientes_comdoc_gde,https://www.argentina.gob.ar/economia/informacionciudadana/consultadeexpedientes,https://www.argentina.gob.ar/economia/informacionciudadana/consultadeexpedientes,20260830,N/A_DIRECT_OFFICIAL,/research/ciclo_ajuste/inputs/historical_retrieval/v134/binaries/economia_consulta_expedientes_comdoc_gde.html,ffa7137f0ff2405d504b64e06cc522420384400164d23838256bff443c3d4ec2,35065,Captura directa oficial preservada y hasheada en V134; metadatos verificables en el HTML.
e0_agenda_digital_finddoc_comdoc_architecture,https://cdi.mecon.gob.ar/bases/docelec/br1018.pdf,https://cdi.mecon.gob.ar/bases/docelec/br1018.pdf,20260830,N/A_DIRECT_OFFICIAL,/research/ciclo_ajuste/inputs/historical_retrieval/v134/binaries/agenda_digital_argentina_2003_2011_br1018.pdf,1d76b6d563aea0d6dd7fa67e22a53b36e269849b3ef6ecd0508e8e16f156d68b,3550343,Descarga directa oficial preservada y hasheada en V134; páginas PDF relevantes renderizadas cuando correspondió.
e0_agn_informe_254_2013_finddoc_control,https://www.agn.gob.ar/sites/default/files/informes/Informe_254_2013.pdf,https://www.agn.gob.ar/sites/default/files/informes/Informe_254_2013.pdf,20260830,N/A_DIRECT_OFFICIAL,/research/ciclo_ajuste/inputs/historical_retrieval/v134/binaries/agn_informe_254_2013.pdf,99028db4627cc1190bab7d2282ae9330bca08846676b3bdf4cf4a64a969e23be,23877781,Descarga directa oficial preservada y hasheada en V134; páginas PDF relevantes renderizadas cuando correspondió.
e0_cgn_circular_2_1997_c41_due_date,https://www.economia.gob.ar/hacienda/cgn/normas/circulares/1997/cir2.htm,https://www.economia.gob.ar/hacienda/cgn/normas/circulares/1997/cir2.htm,20260830,N/A_DIRECT_OFFICIAL,/research/ciclo_ajuste/inputs/historical_retrieval/v134/binaries/cgn_circular_2_1997_c41.html,52ef4c74fdd4d9ff27bb694e9b0a01e60580054df22c02574669a5c274e0da29,3126,Descarga directa oficial preservada y hasheada en V134; páginas PDF relevantes renderizadas cuando correspondió.
