row_id,year,account,description,amount_ars,disclosure,document_signal,source_id,locator,permitted_inference,forbidden_inference
DC139_01,2007,83106000,COMISIONES - BANCO NACION,26656.30,83318;151752;240417,TYPE_NOT_PRINTED,e0_cgn_cuenta_inversion_2007_sdp,PDF p.68 Anexo K,Misma cuenta y leyenda existían antes.,Los números son C41 o tienen el mismo propósito.
DC139_02,2008,83106000,COMISIONES - BANCO NACION,32270.30,71597;152677;2876,TARGET_TYPE_OPEN,e0_cgn_cuenta_inversion_2008_sdp,PDF p.67 Anexo K,Tres localizadores SIDIF exactos.,"Asignar C41, C55, propósito o pago."
DC139_03,2009,83106000,COMISIONES - BANCO NACION,17557.10,,BLANK,e0_cgn_cuenta_inversion_2009_sdp,PDF p.74 Anexo K,La divulgación anual no fue uniforme.,No existieron comprobantes.
DC139_04,2010,83106000,COMISIONES - BANCO NACION,1869.45,C41 5310;74291;156087;285224,C41_EXPLICIT_EXACT_DESCRIPTION,e0_cgn_cuenta_inversion_2010_sdp,PDF p.74 Anexo K,Es el comparador documental adyacente más fuerte para C41.,Los tres SIDIF 2008 son C41.
DC139_05,2011,83106000,COMISIONES AL BNA-CONVENIO PARA PAGO INDEMNIZ.LEY 25471 YPF,1101.10,C41 10675;90537;213939;296449,C41_EXPLICIT_DESCRIPTION_CHANGED,e0_cgn_cuenta_inversion_2011_sdp,PDF p.62 Anexo K,El código admite C41 y cambió de concepto.,El concepto YPF existía en 2008.
DC139_06,2012,83106000,COMISIONES AL BNA-CONVENIO PARA PAGO INDEMNIZ.LEY 25471 YPF,1113.20,VARIOS,AGGREGATED_DESCRIPTION_CHANGED,e0_cgn_cuenta_inversion_2012_sdp,PDF p.52 Anexo K,La ausencia de tipo puede ser sólo agregación.,VARIOS excluye C41.
DC139_07,2013,83106000,COMISIONES AL BNA-CONVENIO PARA PAGO INDEMNIZ.LEY 25471 YPF,1542.75,C41 76352;171921;281843,C41_EXPLICIT_DESCRIPTION_CHANGED,e0_cgn_cuenta_inversion_2013_sdp,PDF p.53 Anexo K,C41 reaparece en el mismo código reutilizado.,Continuidad de propósito desde 2008.
DC139_08,2014,83106000,COMISIONES AL BNA-CONVENIO PARA PAGO INDEMNIZ.LEY 25471 YPF,1748.45,C41 15660;89414;184508;300052,C41_EXPLICIT_DESCRIPTION_CHANGED,e0_cgn_cuenta_inversion_2014_sdp,PDF p.67 Anexo K,C41 es un antecedente recurrente de forma.,Identidad de operación con 2008.
DC139_09,2015,83106000,COMISIONES AL BNA-CONVENIO PARA PAGO INDEMNIZ.LEY 25471 YPF,767.85,VARIOS,AGGREGATED_DESCRIPTION_CHANGED,e0_cgn_cuenta_inversion_2015_sdp,PDF p.54 Anexo K,Tipo explícito y VARIOS alternan en la publicación.,VARIOS identifica una especie documental.
DC139_10,2007-2015,83106000,serie comparada,N/A,N/A,C41_LEADING_DOCUMENT_COMPARATOR_TYPE_OPEN,e0_cgn_cuenta_inversion_2007_sdp;e0_cgn_cuenta_inversion_2008_sdp;e0_cgn_cuenta_inversion_2009_sdp;e0_cgn_cuenta_inversion_2010_sdp;e0_cgn_cuenta_inversion_2011_sdp;e0_cgn_cuenta_inversion_2012_sdp;e0_cgn_cuenta_inversion_2013_sdp;e0_cgn_cuenta_inversion_2014_sdp;e0_cgn_cuenta_inversion_2015_sdp,Anexos K,C41 lidera el prior documental; la semántica de 83106000 deriva.,Transformar frecuencia comparada en clasificación target.
