row_id,code_2013,description_2013,code_2022,description_2022,continuity_class,query_effect,inference_limit
CC142_01,AJPG,Ajuste de Pago,AJPG,Regularización Diferencia de Cambio,SAME_CODE_CHANGED_DESCRIPTION,buscar ambos códigos y descripción; pedir diccionario histórico 2008,Continuidad 2013-2022 no acredita vigencia ni uso del código en 2008.
CC142_02,ANCH,Anulación Impresión de Cheque,ANCH,Anulación Impresión de Cheque,STABLE_CODE_EQUIVALENT_DESCRIPTION,buscar ambos códigos y descripción; pedir diccionario histórico 2008,Continuidad 2013-2022 no acredita vigencia ni uso del código en 2008.
CC142_03,ANNT,Anulación Impresión Nota de Pago,ANNT,Anulación Impresión Nota de Pago,STABLE_CODE_EQUIVALENT_DESCRIPTION,buscar ambos códigos y descripción; pedir diccionario histórico 2008,Continuidad 2013-2022 no acredita vigencia ni uso del código en 2008.
CC142_04,ANPG,Anulación de Pago,ANPG,Anulación de Pago,STABLE_CODE_EQUIVALENT_DESCRIPTION,buscar ambos códigos y descripción; pedir diccionario histórico 2008,Continuidad 2013-2022 no acredita vigencia ni uso del código en 2008.
CC142_05,ANRF,Anulación Recurso Pago Figurativa,ANRF,Anulación Recurso Pago Figurativa,STABLE_CODE_EQUIVALENT_DESCRIPTION,buscar ambos códigos y descripción; pedir diccionario histórico 2008,Continuidad 2013-2022 no acredita vigencia ni uso del código en 2008.
CC142_06,ANSE,Anulación Selección de Pago,ANSE,Anulación de Selección de Pago,STABLE_CODE_EQUIVALENT_DESCRIPTION,buscar ambos códigos y descripción; pedir diccionario histórico 2008,Continuidad 2013-2022 no acredita vigencia ni uso del código en 2008.
CC142_07,ANTR,Anulación Recurso Pago por Transferencia,ANTR,Anulación Recurso Pago por Transferencia,STABLE_CODE_EQUIVALENT_DESCRIPTION,buscar ambos códigos y descripción; pedir diccionario histórico 2008,Continuidad 2013-2022 no acredita vigencia ni uso del código en 2008.
CC142_08,AUTO,Débito Automático,DBAUTO;CRAUTO,Débitos/Créditos por Extracto Bancario,SPLIT_BY_SIGN,buscar ambos códigos y descripción; pedir diccionario histórico 2008,Continuidad 2013-2022 no acredita vigencia ni uso del código en 2008.
CC142_09,DCHR,Débito por Cheque Rechazado,N/A,No aparece en tabla v3,NOT_LISTED_LATER,buscar ambos códigos y descripción; pedir diccionario histórico 2008,Continuidad 2013-2022 no acredita vigencia ni uso del código en 2008.
CC142_10,DCRB,Devolución Cuota por Rechazo Bco.,DCRB,Devolución Cuota por Rechazo Bco.,STABLE_CODE_EQUIVALENT_DESCRIPTION,buscar ambos códigos y descripción; pedir diccionario histórico 2008,Continuidad 2013-2022 no acredita vigencia ni uso del código en 2008.
CC142_11,DEPG,Desafectación de Pago,DEPG,Desafectación Diferencia de Cambio,SAME_CODE_CHANGED_DESCRIPTION,buscar ambos códigos y descripción; pedir diccionario histórico 2008,Continuidad 2013-2022 no acredita vigencia ni uso del código en 2008.
CC142_12,DLOT,Desarmado de Lote,DLOT,Desarmado de Lote,STABLE_CODE_EQUIVALENT_DESCRIPTION,buscar ambos códigos y descripción; pedir diccionario histórico 2008,Continuidad 2013-2022 no acredita vigencia ni uso del código en 2008.
CC142_13,DREC,Desconf. Rectificación de Ingreso,DREC,Desconfirmación Rectificación Ingreso,STABLE_CODE_EQUIVALENT_DESCRIPTION,buscar ambos códigos y descripción; pedir diccionario histórico 2008,Continuidad 2013-2022 no acredita vigencia ni uso del código en 2008.
CC142_14,FJCR,Cuota de Pago de Retenciones,FJCR,Cuota de Pago de Retenciones,STABLE_CODE_EQUIVALENT_DESCRIPTION,buscar ambos códigos y descripción; pedir diccionario histórico 2008,Continuidad 2013-2022 no acredita vigencia ni uso del código en 2008.
CC142_15,FJCU,Fijación de Cuota,FJCU,Fijación de Cuota,STABLE_CODE_EQUIVALENT_DESCRIPTION,buscar ambos códigos y descripción; pedir diccionario histórico 2008,Continuidad 2013-2022 no acredita vigencia ni uso del código en 2008.
CC142_16,NIDT,Ingreso no Identificado,NIDT,Ingreso no Identificado,STABLE_CODE_EQUIVALENT_DESCRIPTION,buscar ambos códigos y descripción; pedir diccionario histórico 2008,Continuidad 2013-2022 no acredita vigencia ni uso del código en 2008.
CC142_17,NULO,Nulo,NULO,Nulo,STABLE_CODE_EQUIVALENT_DESCRIPTION,buscar ambos códigos y descripción; pedir diccionario histórico 2008,Continuidad 2013-2022 no acredita vigencia ni uso del código en 2008.
CC142_18,PAGO,Pago por Cuenta Única,PAGO,Pago por Cuenta Única,STABLE_CODE_EQUIVALENT_DESCRIPTION,buscar ambos códigos y descripción; pedir diccionario histórico 2008,Continuidad 2013-2022 no acredita vigencia ni uso del código en 2008.
CC142_19,PGTR,Pago por Transferencia,PGTR,Pago por Transferencia,STABLE_CODE_EQUIVALENT_DESCRIPTION,buscar ambos códigos y descripción; pedir diccionario histórico 2008,Continuidad 2013-2022 no acredita vigencia ni uso del código en 2008.
CC142_20,PRCU,Programación de Cuota,PRCU,Programación de Cuota,STABLE_CODE_EQUIVALENT_DESCRIPTION,buscar ambos códigos y descripción; pedir diccionario histórico 2008,Continuidad 2013-2022 no acredita vigencia ni uso del código en 2008.
CC142_21,RECH,Rechazo de Pago,RECH,Rechazo de Pago,STABLE_CODE_EQUIVALENT_DESCRIPTION,buscar ambos códigos y descripción; pedir diccionario histórico 2008,Continuidad 2013-2022 no acredita vigencia ni uso del código en 2008.
