row_id,edition,movement_code,official_description,functional_group,target_use,temporal_limit,source_id,locator
EC142_2013_V1_01,2013_V1,AJPG,Ajuste de Pago,ADJUSTMENT_OR_OTHER,control positivo/negativo,El código exacto 2008 debe surgir del diccionario SICHE; no se presume continuidad.,e0_tgn_manual_system_treasury_v1,PDF p.67
EC142_2013_V1_02,2013_V1,ANCH,Anulación Impresión de Cheque,REVERSAL_REJECTION_OR_UNWIND,control positivo/negativo,El código exacto 2008 debe surgir del diccionario SICHE; no se presume continuidad.,e0_tgn_manual_system_treasury_v1,PDF p.67
EC142_2013_V1_03,2013_V1,ANNT,Anulación Impresión Nota de Pago,REVERSAL_REJECTION_OR_UNWIND,control positivo/negativo,El código exacto 2008 debe surgir del diccionario SICHE; no se presume continuidad.,e0_tgn_manual_system_treasury_v1,PDF p.67
EC142_2013_V1_04,2013_V1,ANPG,Anulación de Pago,REVERSAL_REJECTION_OR_UNWIND,control positivo/negativo,El código exacto 2008 debe surgir del diccionario SICHE; no se presume continuidad.,e0_tgn_manual_system_treasury_v1,PDF p.67
EC142_2013_V1_05,2013_V1,ANRF,Anulación Recurso Pago Figurativa,REVERSAL_REJECTION_OR_UNWIND,control positivo/negativo,El código exacto 2008 debe surgir del diccionario SICHE; no se presume continuidad.,e0_tgn_manual_system_treasury_v1,PDF p.67
EC142_2013_V1_06,2013_V1,ANSE,Anulación Selección de Pago,REVERSAL_REJECTION_OR_UNWIND,control positivo/negativo,El código exacto 2008 debe surgir del diccionario SICHE; no se presume continuidad.,e0_tgn_manual_system_treasury_v1,PDF p.67
EC142_2013_V1_07,2013_V1,ANTR,Anulación Recurso Pago por Transferencia,REVERSAL_REJECTION_OR_UNWIND,control positivo/negativo,El código exacto 2008 debe surgir del diccionario SICHE; no se presume continuidad.,e0_tgn_manual_system_treasury_v1,PDF p.67
EC142_2013_V1_08,2013_V1,AUTO,Débito Automático,AUTOMATIC_BANK_STATEMENT,priorizar comisión,El código exacto 2008 debe surgir del diccionario SICHE; no se presume continuidad.,e0_tgn_manual_system_treasury_v1,PDF p.67
EC142_2013_V1_09,2013_V1,DCHR,Débito por Cheque Rechazado,REVERSAL_REJECTION_OR_UNWIND,control positivo/negativo,El código exacto 2008 debe surgir del diccionario SICHE; no se presume continuidad.,e0_tgn_manual_system_treasury_v1,PDF p.67
EC142_2013_V1_10,2013_V1,DCRB,Devolución Cuota por Rechazo Bco.,REVERSAL_REJECTION_OR_UNWIND,control positivo/negativo,El código exacto 2008 debe surgir del diccionario SICHE; no se presume continuidad.,e0_tgn_manual_system_treasury_v1,PDF p.67
