row_id,edition,account_or_equation,denomination,official_function,target_effect,temporal_limit,source_id,locator
OA143_01,2013_V1,220,Control de devengado,saldo para devengar,control y descarte,Confirmar catálogo 2008 en SICHE.,e0_tgn_manual_system_treasury_v1;e0_tgn_treasury_system_v3_2022_cut_extract,PDF p.64
OA143_02,2013_V1,230,Débitos Automáticos,débitos del extracto que no son pagos CUT; por ejemplo gastos bancarios y embargos,filtro primario candidato,Confirmar catálogo 2008 en SICHE.,e0_tgn_manual_system_treasury_v1;e0_tgn_treasury_system_v3_2022_cut_extract,PDF p.64
OA143_03,2013_V1,320,Cuota de pago fijada,habilita a girar contra CUT,control y descarte,Confirmar catálogo 2008 en SICHE.,e0_tgn_manual_system_treasury_v1;e0_tgn_treasury_system_v3_2022_cut_extract,PDF p.64
OA143_04,2013_V1,321,Cuota de pago para retenciones,reserva de cuota de retenciones,control y descarte,Confirmar catálogo 2008 en SICHE.,e0_tgn_manual_system_treasury_v1;e0_tgn_treasury_system_v3_2022_cut_extract,PDF p.64
OA143_05,2013_V1,511,Disponibilidad para programar,saldo disponible por cuenta escritural,control y descarte,Confirmar catálogo 2008 en SICHE.,e0_tgn_manual_system_treasury_v1;e0_tgn_treasury_system_v3_2022_cut_extract,PDF p.64
OA143_06,2013_V1,530,Cuentas escriturales,saldos financieros individualizados,control y descarte,Confirmar catálogo 2008 en SICHE.,e0_tgn_manual_system_treasury_v1;e0_tgn_treasury_system_v3_2022_cut_extract,PDF p.64
OA143_07,2013_V1,640,Transferencias entre organismos,transferencias internas CUT,control y descarte,Confirmar catálogo 2008 en SICHE.,e0_tgn_manual_system_treasury_v1;e0_tgn_treasury_system_v3_2022_cut_extract,PDF p.64
OA143_08,2013_V1,710,Cuenta Única del Tesoro,cuenta representativa de la CUT,control y descarte,Confirmar catálogo 2008 en SICHE.,e0_tgn_manual_system_treasury_v1;e0_tgn_treasury_system_v3_2022_cut_extract,PDF p.64
OA143_09,2013_V1,810,Ingresos no identificados,depósitos pendientes de identificación,control y descarte,Confirmar catálogo 2008 en SICHE.,e0_tgn_manual_system_treasury_v1;e0_tgn_treasury_system_v3_2022_cut_extract,PDF p.64
OA143_10,2022_V3,230,Débitos extracto bancario,débitos del extracto que no son pagos CUT; por ejemplo gastos bancarios y embargos,filtro primario candidato,Confirmar catálogo 2008 en SICHE.,e0_tgn_manual_system_treasury_v1;e0_tgn_treasury_system_v3_2022_cut_extract,PDF p.61
OA143_11,2022_V3,320,Cuota de Pago Fijada,habilita a girar contra CUT,control y descarte,Confirmar catálogo 2008 en SICHE.,e0_tgn_manual_system_treasury_v1;e0_tgn_treasury_system_v3_2022_cut_extract,PDF p.61
OA143_12,2022_V3,321,Cuota de Pago para Retenciones,reserva de cuota de retenciones,control y descarte,Confirmar catálogo 2008 en SICHE.,e0_tgn_manual_system_treasury_v1;e0_tgn_treasury_system_v3_2022_cut_extract,PDF p.61
OA143_13,2022_V3,511,Disponibilidad para programar,saldo para asignar cuota,control y descarte,Confirmar catálogo 2008 en SICHE.,e0_tgn_manual_system_treasury_v1;e0_tgn_treasury_system_v3_2022_cut_extract,PDF p.62
OA143_14,2022_V3,530,Cuenta escritural,detalle de operaciones y saldos,control y descarte,Confirmar catálogo 2008 en SICHE.,e0_tgn_manual_system_treasury_v1;e0_tgn_treasury_system_v3_2022_cut_extract,PDF p.62
OA143_15,2022_V3,640,Pagos por Transferencia,transferencias entre cuentas escriturales sin impacto BNA,control y descarte,Confirmar catálogo 2008 en SICHE.,e0_tgn_manual_system_treasury_v1;e0_tgn_treasury_system_v3_2022_cut_extract,PDF p.62
OA143_16,2022_V3,710,Cuenta Única del Tesoro,cuenta representativa de la CUT,control y descarte,Confirmar catálogo 2008 en SICHE.,e0_tgn_manual_system_treasury_v1;e0_tgn_treasury_system_v3_2022_cut_extract,PDF p.62
OA143_17,2022_V3,810,Depósitos por Devolución a Confirmar,ingresos no identificados,control y descarte,Confirmar catálogo 2008 en SICHE.,e0_tgn_manual_system_treasury_v1;e0_tgn_treasury_system_v3_2022_cut_extract,PDF p.62
OA143_18,EQUATION,710=530+810,Balance CUT,CUT igual a cuentas escriturales más ingresos no identificados,control y descarte,Ecuación posterior; verificar versión histórica.,e0_tgn_manual_system_treasury_v1;e0_tgn_treasury_system_v3_2022_cut_extract,PDF p.64/p.62
OA143_19,EQUATION,530=511+320+321,Balance escritural,saldo escritural igual a disponible más cuota fijada más reserva,control y descarte,Ecuación posterior; verificar versión histórica.,e0_tgn_manual_system_treasury_v1;e0_tgn_treasury_system_v3_2022_cut_extract,PDF p.65/p.62
