bridge_id,category,instrument_or_measure,unit,as_of_2003_12_31,as_of_2004_12_31,delta_2004,as_of_2005_12_31,delta_2005,as_of_2006_12_31,delta_2006,sources,comparability,permitted_interpretation,forbidden_interpretation
S01,ALL_BODEN_PURPOSES,Updated_debt_stock,ARS_million,51525.296,53070.390,1545.094,64185.458,11115.068,65300.302,1114.844,e0_onp_boletin_fiscal_2003q4_cuadro37_boden;e0_cgn_cuenta_inversion_2004_sdp;e0_cgn_cuenta_inversion_2005_sdp;e0_cgn_cuenta_inversion_2006_sdp,SAME_OFFICIAL_TABLE_FAMILY_STOCKS_NOT_FLOWS,Compare end-date stock composition descriptively.,Treat delta as annual bank compensation cash flow or beneficiary gain.
S02,COMPENSATORY,Updated_debt_stock,ARS_million,17348.345,17201.249,-147.096,15162.578,-2038.671,11960.610,-3201.968,e0_onp_boletin_fiscal_2003q4_cuadro37_boden;e0_cgn_cuenta_inversion_2004_sdp;e0_cgn_cuenta_inversion_2005_sdp;e0_cgn_cuenta_inversion_2006_sdp,SAME_OFFICIAL_TABLE_FAMILY_STOCKS_NOT_FLOWS,Compare end-date stock composition descriptively.,Treat delta as annual bank compensation cash flow or beneficiary gain.
S03,COVERAGE,Updated_debt_stock,ARS_million,6879.649,7039.723,160.074,7567.855,528.132,9078.371,1510.516,e0_onp_boletin_fiscal_2003q4_cuadro37_boden;e0_cgn_cuenta_inversion_2004_sdp;e0_cgn_cuenta_inversion_2005_sdp;e0_cgn_cuenta_inversion_2006_sdp,SAME_OFFICIAL_TABLE_FAMILY_STOCKS_NOT_FLOWS,Compare end-date stock composition descriptively.,Treat delta as annual bank compensation cash flow or beneficiary gain.
S04,AHORRISTAS,Updated_debt_stock,ARS_million,17664.377,19520.717,1856.340,17162.588,-2358.129,14841.964,-2320.624,e0_onp_boletin_fiscal_2003q4_cuadro37_boden;e0_cgn_cuenta_inversion_2004_sdp;e0_cgn_cuenta_inversion_2005_sdp;e0_cgn_cuenta_inversion_2006_sdp,SAME_OFFICIAL_TABLE_FAMILY_STOCKS_NOT_FLOWS,Compare end-date stock composition descriptively.,Treat delta as annual bank compensation cash flow or beneficiary gain.
S05,COMPENSATION_RELATED,Compensatory_plus_coverage_updated_stock,ARS_million,24227.994,24240.972,12.978,22730.433,-1510.539,21038.981,-1691.452,e0_onp_boletin_fiscal_2003q4_cuadro37_boden;e0_cgn_cuenta_inversion_2004_sdp;e0_cgn_cuenta_inversion_2005_sdp;e0_cgn_cuenta_inversion_2006_sdp,SAME_OFFICIAL_TABLE_FAMILY_STOCKS_NOT_FLOWS,Compare end-date stock composition descriptively.,Treat delta as annual bank compensation cash flow or beneficiary gain.
S06,COMPENSATORY,BODEN_2007_nominal,ARS_million,868.384,1736.472,868.088,2628.282,891.810,2558.018,-70.264,e0_onp_boletin_fiscal_2003q4_cuadro37_boden;e0_cgn_cuenta_inversion_2004_sdp;e0_cgn_cuenta_inversion_2005_sdp;e0_cgn_cuenta_inversion_2006_sdp,SAME_OFFICIAL_TABLE_FAMILY_STOCKS_NOT_FLOWS,Compare end-date stock composition descriptively.,Treat delta as annual bank compensation cash flow or beneficiary gain.
S07,COMPENSATORY,PAGARE_2007_nominal,ARS_million,441.701,884.584,442.883,884.584,0.000,884.584,0.000,e0_onp_boletin_fiscal_2003q4_cuadro37_boden;e0_cgn_cuenta_inversion_2004_sdp;e0_cgn_cuenta_inversion_2005_sdp;e0_cgn_cuenta_inversion_2006_sdp,SAME_OFFICIAL_TABLE_FAMILY_STOCKS_NOT_FLOWS,Compare end-date stock composition descriptively.,Treat delta as annual bank compensation cash flow or beneficiary gain.
S08,COMPENSATORY,BODEN_2012_nominal,USD_million,4796.981,4926.146,129.165,4836.107,-90.039,4794.327,-41.780,e0_onp_boletin_fiscal_2003q4_cuadro37_boden;e0_cgn_cuenta_inversion_2004_sdp;e0_cgn_cuenta_inversion_2005_sdp;e0_cgn_cuenta_inversion_2006_sdp,SAME_OFFICIAL_TABLE_FAMILY_STOCKS_NOT_FLOWS,Compare end-date stock composition descriptively.,Treat delta as annual bank compensation cash flow or beneficiary gain.
S09,COMPENSATORY,PAGARE_2012_nominal,USD_million,3.000,3.000,0.000,0.000,-3.000,0.000,0.000,e0_onp_boletin_fiscal_2003q4_cuadro37_boden;e0_cgn_cuenta_inversion_2004_sdp;e0_cgn_cuenta_inversion_2005_sdp;e0_cgn_cuenta_inversion_2006_sdp,SAME_OFFICIAL_TABLE_FAMILY_STOCKS_NOT_FLOWS,Compare end-date stock composition descriptively.,Treat delta as annual bank compensation cash flow or beneficiary gain.
S10,COVERAGE,BODEN_2012_nominal,USD_million,1993.217,1998.270,5.053,2424.663,426.393,3462.673,1038.010,e0_onp_boletin_fiscal_2003q4_cuadro37_boden;e0_cgn_cuenta_inversion_2004_sdp;e0_cgn_cuenta_inversion_2005_sdp;e0_cgn_cuenta_inversion_2006_sdp,SAME_OFFICIAL_TABLE_FAMILY_STOCKS_NOT_FLOWS,Compare end-date stock composition descriptively.,Treat delta as annual bank compensation cash flow or beneficiary gain.
S11,COVERAGE,PAGARE_2012_nominal,USD_million,364.846,364.846,0.000,367.846,3.000,367.846,0.000,e0_onp_boletin_fiscal_2003q4_cuadro37_boden;e0_cgn_cuenta_inversion_2004_sdp;e0_cgn_cuenta_inversion_2005_sdp;e0_cgn_cuenta_inversion_2006_sdp,SAME_OFFICIAL_TABLE_FAMILY_STOCKS_NOT_FLOWS,Compare end-date stock composition descriptively.,Treat delta as annual bank compensation cash flow or beneficiary gain.


