step_id,order,evidence_object,system_or_owner,official_procedure,target_2008_use,source_id,pdf_page,status,inference_limit
AL147_01,1,registro_instrumento,SIGADE,Partir del registro del instrumento seleccionado.,Identificar si 83106000 remite a instrumento/evento SIGADE.,e0_agn_resolution_86_2021_public_debt_control,16,OFFICIAL_AUDIT_METHOD_TARGET_OPEN,Método oficial posterior; no acredita por sí solo el hecho de 2008.
AL147_02,2,estado_de_cuenta,SIGADE,Cruzar el Estado de Cuenta.,Recuperar saldos y movimientos del identificador.,e0_agn_resolution_86_2021_public_debt_control,16,OFFICIAL_AUDIT_METHOD_TARGET_OPEN,Método oficial posterior; no acredita por sí solo el hecho de 2008.
AL147_03,3,tabla_amortizacion,SIGADE,Cruzar la Tabla de Amortización.,"Distinguir servicio, comisión y cancelación.",e0_agn_resolution_86_2021_public_debt_control,16,OFFICIAL_AUDIT_METHOD_TARGET_OPEN,Método oficial posterior; no acredita por sí solo el hecho de 2008.
AL147_04,4,ficha,SIGADE,Cruzar la Ficha del instrumento.,"Fijar moneda, contraparte, fechas y condiciones.",e0_agn_resolution_86_2021_public_debt_control,16,OFFICIAL_AUDIT_METHOD_TARGET_OPEN,Método oficial posterior; no acredita por sí solo el hecho de 2008.
AL147_05,5,cuadro_1a,CGN,Controlar registro en Cuadro 1A cuando corresponda.,"Control negativo: la fila objetivo está en Anexo K, fuera de Cuadro 1A.",e0_agn_resolution_86_2021_public_debt_control,16,OFFICIAL_AUDIT_METHOD_TARGET_OPEN,Método oficial posterior; no acredita por sí solo el hecho de 2008.
AL147_06,6,mayorizado_por_sigade,e-SIDIF / SIDIF Central,Descargar reporte prediseñado parametrizado por número SIGADE.,Obtener todos los movimientos contables individualizados.,e0_agn_resolution_86_2021_public_debt_control,16,OFFICIAL_AUDIT_METHOD_TARGET_OPEN,Método oficial posterior; no acredita por sí solo el hecho de 2008.
AL147_07,7,formularios_individuales,e-SIDIF / SIDIF Central,Revisar cada formulario individualmente.,"Abrir 71597, 152677 y 2876 con cabecera y renglones.",e0_agn_resolution_86_2021_public_debt_control,16,OFFICIAL_AUDIT_METHOD_TARGET_OPEN,Método oficial posterior; no acredita por sí solo el hecho de 2008.
AL147_08,8,asientos_desembolsos_pagos,e-SIDIF / SIDIF Central,"Verificar desembolsos, intereses y gastos en asientos.","Separar comisión devengada, ordenada, pagada y revertida.",e0_agn_resolution_86_2021_public_debt_control,16,OFFICIAL_AUDIT_METHOD_TARGET_OPEN,Método oficial posterior; no acredita por sí solo el hecho de 2008.
AL147_09,9,ajustes_cambio_cer,e-SIDIF / SIDIF Central,Verificar ajustes por diferencia de cambio y CER.,Evitar confundir valuación con caja.,e0_agn_resolution_86_2021_public_debt_control,16,OFFICIAL_AUDIT_METHOD_TARGET_OPEN,Método oficial posterior; no acredita por sí solo el hecho de 2008.
AL147_10,10,movimientos_bancarios_tgn,TGN · Coordinación de Cuentas Bancarias,Solicitar movimientos de pagos y desembolsos.,"Probar fecha valor, cuenta, referencia, signo e importe.",e0_agn_resolution_86_2021_public_debt_control,16,OFFICIAL_AUDIT_METHOD_TARGET_OPEN,Método oficial posterior; no acredita por sí solo el hecho de 2008.
AL147_11,11,conciliacion_esidif_banco,TGN / e-SIDIF,Conciliar movimiento bancario con formulario y asiento.,Cerrar nexo formulario–orden–cuenta–extracto.,e0_agn_resolution_86_2021_public_debt_control,16,OFFICIAL_AUDIT_METHOD_TARGET_OPEN,Método oficial posterior; no acredita por sí solo el hecho de 2008.
AL147_12,12,custodia_cryl,BCRA · CRyL,Solicitar saldos/custodia de instrumentos cuando aplique.,Condicional: sólo si la comisión se enlaza con título o liquidación CRyL.,e0_agn_resolution_86_2021_public_debt_control,16,OFFICIAL_AUDIT_METHOD_TARGET_OPEN,Método oficial posterior; no acredita por sí solo el hecho de 2008.
AL147_13,13,mayores_pasivo,CGN / e-SIDIF,Descargar mayores de cuentas de pasivo y reconciliar.,Cerrar la cuenta contable y ajustes sin equipararlos a liquidación.,e0_agn_resolution_86_2021_public_debt_control,16,OFFICIAL_AUDIT_METHOD_TARGET_OPEN,Método oficial posterior; no acredita por sí solo el hecho de 2008.
