object_id,system_or_owner,requested_record,minimum_usable_fields,success_test,negative_rule,status
RO146_01,SIGADE,Registro/submayor del instrumento y eventos,id SIGADE;instrumento;fecha;tipo;moneda;importe;contraparte,"archivo/export individualizable, reproducible y enlazable",No basta respuesta genérica ni cero sin universo/cobertura.,DRAFT_NOT_SENT
RO146_02,SIDIF-Link,Transmisiones SIGADE→SIDIF Central,lote;fecha-hora;tipo;id SIGADE;formulario;estado;error,"archivo/export individualizable, reproducible y enlazable",No basta respuesta genérica ni cero sin universo/cobertura.,DRAFT_NOT_SENT
RO146_03,SIDIF Central,Formularios vinculados por partida y SIGADE,SAF;ejercicio;formulario;número;partida;id SIGADE;importe,"archivo/export individualizable, reproducible y enlazable",No basta respuesta genérica ni cero sin universo/cobertura.,DRAFT_NOT_SENT
RO146_04,SIDIF Central,Gastos por beneficiario,beneficiario;CUIT;fecha;importe;moneda;formulario,"archivo/export individualizable, reproducible y enlazable",No basta respuesta genérica ni cero sin universo/cobertura.,DRAFT_NOT_SENT
RO146_05,SIDIF Central,Deuda exigible hasta 2008,SAF;acreedor;fecha;concepto;importe;estado,"archivo/export individualizable, reproducible y enlazable",No basta respuesta genérica ni cero sin universo/cobertura.,DRAFT_NOT_SENT
RO146_06,SIDIF Central,Detalle de asientos 2001-2012,cuenta;asiento;fecha;debe;haber;documento;referencia,"archivo/export individualizable, reproducible y enlazable",No basta respuesta genérica ni cero sin universo/cobertura.,DRAFT_NOT_SENT
RO146_07,CUT-SIDIF Central,Extractos 2008 de cuentas candidatas,cuenta;fecha valor;fecha proceso;signo;importe;referencia,"archivo/export individualizable, reproducible y enlazable",No basta respuesta genérica ni cero sin universo/cobertura.,DRAFT_NOT_SENT
RO146_08,CUT-SIDIF Central,Conciliación bancaria,cuenta;movimiento;estado;contrapartida;fecha;importe,"archivo/export individualizable, reproducible y enlazable",No basta respuesta genérica ni cero sin universo/cobertura.,DRAFT_NOT_SENT
RO146_09,CUT-SIDIF Central,Logs de impacto/transmisión,lote;origen;destino;fecha;resultado;error,"archivo/export individualizable, reproducible y enlazable",No basta respuesta genérica ni cero sin universo/cobertura.,DRAFT_NOT_SENT
RO146_10,SICHE,Catálogo y metadatos de consultas,nombre;descripción;sistema fuente;período;campos;filtros;corte,"archivo/export individualizable, reproducible y enlazable",No basta respuesta genérica ni cero sin universo/cobertura.,DRAFT_NOT_SENT
RO146_11,SICHE,Export parametrizado y reproducible,consulta;parámetros;fecha;filas;archivo;hash,"archivo/export individualizable, reproducible y enlazable",No basta respuesta genérica ni cero sin universo/cobertura.,DRAFT_NOT_SENT
RO146_12,SAF 355,Expediente/orden/documentación de pago,expediente;acto;beneficiario;instrumento;fecha;importe,"archivo/export individualizable, reproducible y enlazable",No basta respuesta genérica ni cero sin universo/cobertura.,DRAFT_NOT_SENT
RO146_13,SAF 355,Relación asiento–pago–extracto,id SIGADE;formulario;orden;cuenta;movimiento;importe,"archivo/export individualizable, reproducible y enlazable",No basta respuesta genérica ni cero sin universo/cobertura.,DRAFT_NOT_SENT
RO146_14,Cuenta 2.1.2.01.02.99.00,Mayor/submayor y asiento REPO 2019,asiento;fecha;instrumento;id SIGADE;contraparte;importe;origen,"archivo/export individualizable, reproducible y enlazable",No basta respuesta genérica ni cero sin universo/cobertura.,DRAFT_NOT_SENT
RO146_15,UAI/SAF 355,"Papeles de trabajo de la diferencia 563,16/563,61",cálculo;componentes;ajuste;responsable;conclusión,"archivo/export individualizable, reproducible y enlazable",No basta respuesta genérica ni cero sin universo/cobertura.,DRAFT_NOT_SENT
RO146_16,Custodia,Constancia fundada de inexistencia o transferencia,repositorio;período;búsquedas;acto;fecha;responsable,"archivo/export individualizable, reproducible y enlazable",No basta respuesta genérica ni cero sin universo/cobertura.,DRAFT_NOT_SENT
