row_id,filename,role,catalogued,catalog_source_id,bytes,sha256,preserved
B152_01,cgn_2004_opening_rules_parameterized_email.html,CONTINUITY_COMPARATOR,NO,EXISTING_SOURCE_OR_BUNDLE_ONLY,52367,e1dd049a0c77fb13c41740ea9b98805dc0bd0525fd83ab8237918acc0509911d,YES
B152_02,cgn_disposition_28_2008_ac_templates.zip,AC_TEMPLATE_NEGATIVE_CONTROL,NO,EXISTING_SOURCE_OR_BUNDLE_ONLY,88071,355107cb23c1136c10d72b32517438a1e671a6c1bc0851c9163d84cabc91bbf4,YES
B152_03,cgn_disposition_28_2008_annex_index.html,ANNEX_INDEX,NO,EXISTING_SOURCE_OR_BUNDLE_ONLY,5976,b8454f1d1aeb3d64306f1da977ffaaa5f4c470fa554db2c2fa22fa1e6dcc6c36,YES
B152_04,cgn_disposition_28_2008_download_index.html,DOWNLOAD_INDEX,NO,EXISTING_SOURCE_OR_BUNDLE_ONLY,2521,e3c28dfabe370951875228b596a7f36fa77ed55fe465311def4857ab5c1dc4d0,YES
B152_05,cgn_disposition_28_2008_midyear_closing.html,MIDYEAR_CLOSING_AUTHORITY,YES,e0_cgn_disposition_28_2008_midyear_closing_axt,23872,09d13927b0418a05177f587cc8972af8d18a9becb8ff442bf19b51e2b2924b64,YES
B152_06,cgn_disposition_35_2002_annex_i_saf_od.pdf,GENERAL_SAF_INCONSISTENCY_SCHEMA,NO,EXISTING_SOURCE_OR_BUNDLE_ONLY,13938,8c3d657f8d0381c9566792a1d6bc240297b8b94342906a39685f23f2e811b205,YES
B152_07,cgn_disposition_35_2002_annex_ii_uepex.pdf,UEPEX_INCONSISTENCY_SCHEMA,NO,EXISTING_SOURCE_OR_BUNDLE_ONLY,14895,9cb6776ca1f855e2c56611b5bcad1199b304a7503bba348d3c936c736639d451,YES
B152_08,cgn_disposition_35_2002_parameterized_inconsistency.html,PARAMETERIZED_PROCEDURE,YES,e0_cgn_disposition_35_2002_parameterized_inconsistency_procedure,64662,8a41ac5b699af0b612e62de0d64e0f82de7b112b40ddb9bf874aaa550c76f7c3,YES
B152_09,enre_informe_anual_2009_uai_certifications.pdf,EXECUTED_UAI_CERTIFICATION_COMPARATOR,YES,e0_enre_annual_2009_uai_account_2008_certifications,5713945,a2062d573d0d285b0ef342b48214563eed1ae607a6103051270308c1e1188945,YES
B152_10,sigen_memoria_2009_cuenta_2008_control.pdf,SIGEN_GLOBAL_CONTROL_ROUTE,YES,e0_sigen_memory_2009_account_2008_global_control_report,97057,c10d014fc500d2fe66387944bd18a4e2c6e4137d39c85859014a07b49230ddcf,YES
