route_id,dimension,official_or_controlled_rule,locator,status,source_id
SC145_01,authority,SICHE es la única herramienta para sistemas discontinuados,Resolución 53/2024 art. 1,PROVED_ROUTE_TARGET_EXPORT_NOT_EXECUTED,e0_argentina_resolution_53_2024_siche;e0_dgsiaf_siche_landing;e0_dgsiaf_slu_landing
SC145_02,SLU_route,Desde 1/7/2024 SLU debe consultarse por SICHE,Resolución 53/2024 art. 2,PROVED_ROUTE_TARGET_EXPORT_NOT_EXECUTED,e0_argentina_resolution_53_2024_siche;e0_dgsiaf_siche_landing;e0_dgsiaf_slu_landing
SC145_03,competence,CGN y DGSIAF pueden dictar normas complementarias,Resolución 53/2024 art. 3,PROVED_ROUTE_TARGET_EXPORT_NOT_EXECUTED,e0_argentina_resolution_53_2024_siche;e0_dgsiaf_siche_landing;e0_dgsiaf_slu_landing
SC145_04,query,"Consultas estandarizadas filtran, seleccionan y ordenan",Resolución 53/2024 considerando,PROVED_ROUTE_TARGET_EXPORT_NOT_EXECUTED,e0_argentina_resolution_53_2024_siche;e0_dgsiaf_siche_landing;e0_dgsiaf_slu_landing
SC145_05,export,Grilla exportable a planilla,Resolución 53/2024 considerando,PROVED_ROUTE_TARGET_EXPORT_NOT_EXECUTED,e0_argentina_resolution_53_2024_siche;e0_dgsiaf_siche_landing;e0_dgsiaf_slu_landing
SC145_06,origin,"Repositorio tal como está, sin migración/transformación",Resolución 53/2024 considerando,PROVED_ROUTE_TARGET_EXPORT_NOT_EXECUTED,e0_argentina_resolution_53_2024_siche;e0_dgsiaf_siche_landing;e0_dgsiaf_slu_landing
SC145_07,historical_access,SICHE estandariza acceso histórico,página SICHE,PROVED_ROUTE_TARGET_EXPORT_NOT_EXECUTED,e0_argentina_resolution_53_2024_siche;e0_dgsiaf_siche_landing;e0_dgsiaf_slu_landing
SC145_08,decommission,SLU se desafecta tras disponibilización en SICHE,página SLU,PROVED_ROUTE_TARGET_EXPORT_NOT_EXECUTED,e0_argentina_resolution_53_2024_siche;e0_dgsiaf_siche_landing;e0_dgsiaf_slu_landing
SC145_09,first_action,Primero exportar SICHE/inventario; backups si falta cobertura,inferencia controlada V156,PROVED_ROUTE_TARGET_EXPORT_NOT_EXECUTED,e0_argentina_resolution_53_2024_siche;e0_dgsiaf_siche_landing;e0_dgsiaf_slu_landing
SC145_10,zero_rule,"Cero no prueba ausencia sin corte, filtros y universo",inferencia controlada V156,PROVED_ROUTE_TARGET_EXPORT_NOT_EXECUTED,e0_argentina_resolution_53_2024_siche;e0_dgsiaf_siche_landing;e0_dgsiaf_slu_landing


