participant,accepted_offer_count,underlying_boden2012_vno_usd,effective_coupon_value_usd,accepted_components_vno_at_price,participant_share_of_awarded_effective_pct,source_id,source_locator,ultimate_holder_identified,settlement_confirmation,caveat
Citibank,7,135666200,17228512.40,175000@12.12;200000@12.66;42220000@12.70;431000@12.70;4680000@12.70;10000200@12.70;77960000@12.70,51.13548925,e0_mecon_strip_boden2012_result_2009_06_12,PDF_annex_pp2_3,NO,SCHEDULED_NOT_INDEPENDENTLY_CONFIRMED,Agrupación derivada de ofertas aceptadas; participante MAE no equivale a beneficiario final.
Standard Bank,5,15140200,1911562.14,2454200@12.47;2666000@12.49;20000@12.70;5000000@12.70;5000000@12.70,5.67365673,e0_mecon_strip_boden2012_result_2009_06_12,PDF_annex_pp2_3,NO,SCHEDULED_NOT_INDEPENDENTLY_CONFIRMED,Agrupación derivada de ofertas aceptadas; participante MAE no equivale a beneficiario final.
BBVA Banco Francés,1,40000,5036.00,40000@12.59,0.01494722,e0_mecon_strip_boden2012_result_2009_06_12,PDF_annex_pp2_3,NO,SCHEDULED_NOT_INDEPENDENTLY_CONFIRMED,Agrupación derivada de ofertas aceptadas; participante MAE no equivale a beneficiario final.
MERVAL,3,2716900,343451.10,76000@12.60;2532000@12.64;108900@12.70,1.01938807,e0_mecon_strip_boden2012_result_2009_06_12,PDF_annex_pp2_3,NO,SCHEDULED_NOT_INDEPENDENTLY_CONFIRMED,Agrupación derivada de ofertas aceptadas; participante MAE no equivale a beneficiario final.
Nuevo Banco Bisel S.A.,1,435000,54810.00,435000@12.60,0.16268010,e0_mecon_strip_boden2012_result_2009_06_12,PDF_annex_pp2_3,NO,SCHEDULED_NOT_INDEPENDENTLY_CONFIRMED,Agrupación derivada de ofertas aceptadas; participante MAE no equivale a beneficiario final.
Banco de Galicia,2,110000000,13931500.00,55000000@12.65;55000000@12.68,41.34971447,e0_mecon_strip_boden2012_result_2009_06_12,PDF_annex_pp2_3,NO,SCHEDULED_NOT_INDEPENDENTLY_CONFIRMED,Agrupación derivada de ofertas aceptadas; participante MAE no equivale a beneficiario final.
Banco Morgan,1,1708800,217017.60,1708800@12.70,0.64412416,e0_mecon_strip_boden2012_result_2009_06_12,PDF_annex_pp2_3,NO,SCHEDULED_NOT_INDEPENDENTLY_CONFIRMED,Agrupación derivada de ofertas aceptadas; participante MAE no equivale a beneficiario final.



