transaction_id,year,mechanism,phase,instrument,recipient_universe,amount_original,original_unit,normalized_ars_million,source_id,source_locator,bank_compensation_aggregation,realization_status,caveat
T26,2004,ASymmetric_pesification,PRIOR_PERIOD_ACCOUNTING_CONVALIDATION,Public_debt_titles,2002_registration,16183544262,ARS,16183.544262,e0_cgn_cuenta_inversion_2004_tomo_i,PDF_p65_printed_52,NO_AUTOMATIC_AGGREGATION,PRIOR_2002_REGISTRATION_CONVALIDATED,It is declarative and not a new 2004 issue transfer or cash payment.
T27,2004,ASymmetric_pesification,YEAR_END_DEBT_STOCK,Compensatory_BODEN_and_pagares,System,17201249,ARS_thousand_updated,17201.249,e0_cgn_cuenta_inversion_2004_sdp,PDF_p66,NO_AUTOMATIC_AGGREGATION,YEAR_END_PURPOSE_STOCK,Stock embeds issuance service valuation and corrections; it is not a 2004 flow.
T28,2004,FX_negative_position_coverage,YEAR_END_DEBT_STOCK,BODEN_and_pagare_2012_coverage,System,7039723,ARS_thousand_updated,7039.723,e0_cgn_cuenta_inversion_2004_sdp,PDF_p66,NO_AUTOMATIC_AGGREGATION,YEAR_END_PURPOSE_STOCK,Coverage is not automatically a free transfer.
T29,2004,Depositor_bond_exchange,YEAR_END_DEBT_STOCK,BODEN_for_ahorristas,Depositor_options,19520717,ARS_thousand_updated,19520.717,e0_cgn_cuenta_inversion_2004_sdp,PDF_p66,NO_AUTOMATIC_AGGREGATION,YEAR_END_PURPOSE_STOCK,Keep outside bank compensation.
T30,2004,All_BODEN_purposes,YEAR_END_CONTROL_TOTAL,BODEN_pagares_and_OCMO,Mixed,53070390,ARS_thousand_updated,53070.390,e0_cgn_cuenta_inversion_2004_sdp,PDF_p66,NO_AUTOMATIC_AGGREGATION,CONTROL_TOTAL,Includes depositors quasi-currency and 13-percent compensation.
T31,2004,Financial_system_reordering,ADMINISTRATIVE_STATUS_NARRATIVE,Multiple_compensation_mechanisms,System,N/D,N/D,N/D,e0_cgn_cuenta_inversion_2004_sdp,PDF_p71,NO_AUTOMATIC_AGGREGATION,PRACTICALLY_FINALIZED_NARRATIVE,Subsequent 2005-2006 issues and adjustments disprove treating this wording as transactional closure.
T32,2005,CER_CVS_asymmetry,NET_ISSUANCE,BGN_pesos_variable_rate_2013,Eligible_CER_CVS_portfolios,77,ARS_million_VNO,77,e0_cgn_cuenta_inversion_2005_sdp,PDF_p87_printed_85,NO_AUTOMATIC_AGGREGATION,NET_ISSUANCE_NOT_CASH,Rounded VNO issue is not delivery by entity or cash.
T33,2005,ASymmetric_pesification,NET_ISSUANCE,BODEN_2007_compensatory,System,2081,ARS_million_VNO,2081,e0_cgn_cuenta_inversion_2005_sdp,PDF_p87_printed_85,NO_AUTOMATIC_AGGREGATION,NET_ISSUANCE_NOT_CASH,Do not infer gross delivery or cash.
T34,2005,ASymmetric_pesification,NET_ISSUANCE_CORRECTION,BODEN_2012_compensatory,System,-35.8,USD_million_VNO,N/D,e0_cgn_cuenta_inversion_2005_sdp,PDF_p87_printed_85,NO_AUTOMATIC_AGGREGATION,NEGATIVE_NET_ISSUANCE_CORRECTION,Do not convert to ARS without dated transaction-level exchange rates.
T35,2005,FX_negative_position_coverage,COVERAGE_SUBSCRIPTION,BODEN_2012_coverage,System,2001,USD_million_VNO,N/D,e0_cgn_cuenta_inversion_2005_sdp,PDF_p87_printed_85,NO_AUTOMATIC_AGGREGATION,SUBSCRIBED_NOT_FREE_TRANSFER,Requires subscription-price and financing bridge.
T36,2005,ASymmetric_pesification,YEAR_END_DEBT_STOCK,Compensatory_BODEN_and_pagares,System,15162578,ARS_thousand_updated,15162.578,e0_cgn_cuenta_inversion_2005_sdp,PDF_p80,NO_AUTOMATIC_AGGREGATION,YEAR_END_PURPOSE_STOCK,Stock is not annual issuance or cash.
T37,2005,FX_negative_position_coverage,YEAR_END_DEBT_STOCK,BODEN_and_pagare_2012_coverage,System,7567855,ARS_thousand_updated,7567.855,e0_cgn_cuenta_inversion_2005_sdp,PDF_p80,NO_AUTOMATIC_AGGREGATION,YEAR_END_PURPOSE_STOCK,Do not add to subscriptions as a flow.
T38,2005,Depositor_bond_exchange,YEAR_END_DEBT_STOCK,BODEN_for_ahorristas,Depositor_options,17162588,ARS_thousand_updated,17162.588,e0_cgn_cuenta_inversion_2005_sdp,PDF_p80,NO_AUTOMATIC_AGGREGATION,YEAR_END_PURPOSE_STOCK,Keep outside bank compensation.
T39,2005,ASymmetric_pesification_and_depositor_relief,MIXED_DEBT_FINANCING,BODEN_2007_2012_2013,Mixed,2950.0,ARS_million,2950.0,e0_onp_sintesis_ejecutiva_2005q4,PDF_p19,NO_AUTOMATIC_AGGREGATION,MIXED_BANK_DEPOSITOR_PLACEMENT,Do not label as bank-only compensation or sum to purpose stocks.
T40,2005,ASymmetric_pesification,BUDGET_TRANSFER_ACCRUAL,Current_transfers,Private_companies,3300.29,ARS_million,3300.29,e0_cgn_cuenta_inversion_2005_tomo_i,PDF_p118_printed_106,NO_AUTOMATIC_AGGREGATION,ACCRUED_TRANSFER_NOT_CASH_PROOF,Does not identify entity date instrument or cash settlement and may overlap debt placement accounting.
T41,2005,FX_negative_position_coverage,SUBSCRIPTION_PRICE_DIFFERENCE_TRANSFER,BODEN_2012,System,69.1,ARS_million,69.1,e0_onp_sintesis_ejecutiva_2005q4,PDF_p19,NO_AUTOMATIC_AGGREGATION,TRANSFER_COMPONENT_WITHIN_MIXED_BUCKET,Likely overlaps broader transfer execution; do not add without accounting keys.
T42,2005,Decree_905_counterflow,BANK_DEPOSITS_TO_TREASURY,Deposits_Art_13_Decree_905,System,970.96,ARS_million,970.96,e0_cgn_cuenta_inversion_2005_tomo_i,PDF_p124_printed_112,NO_AUTOMATIC_AGGREGATION,BANK_COUNTERFLOW_FINANCING_BALANCE,Not a Treasury transfer to banks.
T43,2005,Financial_system_reordering,OTHER_FINANCIAL_ASSET_APPLICATION,BODEN_2012_Decree_905,Program_level,1107.46,ARS_million,1107.46,e0_cgn_cuenta_inversion_2005_tomo_i,PDF_p124_printed_112,NO_AUTOMATIC_AGGREGATION,PROGRAM_LEVEL_APPLICATION_AMBIGUOUS,Purpose and counterpart are insufficient for bank-compensation aggregation.
T44,2006,CER_CVS_asymmetry,NET_ISSUANCE,BGN_pesos_variable_rate_2013,Eligible_CER_CVS_portfolios,11.9,ARS_million_VNO,11.9,e0_cgn_cuenta_inversion_2006_sdp,PDF_p132_printed_131,NO_AUTOMATIC_AGGREGATION,NET_ISSUANCE_NOT_CASH,Rounded VNO is not entity delivery or cash.
T45,2006,ASymmetric_pesification,NET_ISSUANCE,BODEN_2007_compensatory,System,21.3,ARS_million_VNO,21.3,e0_cgn_cuenta_inversion_2006_sdp,PDF_p132_printed_131,NO_AUTOMATIC_AGGREGATION,NET_ISSUANCE_NOT_CASH,Do not infer gross delivery or cash.
T46,2006,ASymmetric_pesification,NET_ISSUANCE_CORRECTION,BODEN_2012_compensatory,System,-32.4,USD_million_VNO,N/D,e0_cgn_cuenta_inversion_2006_sdp,PDF_p132_printed_131,NO_AUTOMATIC_AGGREGATION,NEGATIVE_NET_ISSUANCE_CORRECTION,Do not convert to ARS without dated transactions.
T47,2006,FX_negative_position_coverage,COVERAGE_SUBSCRIPTION,BODEN_2012_coverage,System,1007,USD_million_VNO,N/D,e0_cgn_cuenta_inversion_2006_sdp,PDF_p132_printed_131,NO_AUTOMATIC_AGGREGATION,SUBSCRIBED_NOT_FREE_TRANSFER,Requires subscription price and financing bridge.
T48,2006,Compensation_total,YEAR_END_DEBT_STOCK,Compensatory_BODEN_and_pagares_including_CER_CVS,System,11960610,ARS_thousand_updated,11960.610,e0_cgn_cuenta_inversion_2006_sdp,PDF_p121,NO_AUTOMATIC_AGGREGATION,YEAR_END_PURPOSE_STOCK,Stock is not annual issuance or cash.
T49,2006,FX_negative_position_coverage,YEAR_END_DEBT_STOCK,BODEN_and_pagare_2012_coverage,System,9078371,ARS_thousand_updated,9078.371,e0_cgn_cuenta_inversion_2006_sdp,PDF_p121,NO_AUTOMATIC_AGGREGATION,YEAR_END_PURPOSE_STOCK,Do not add to coverage issuance as a flow.
T50,2006,Depositor_bond_exchange,YEAR_END_DEBT_STOCK,BODEN_for_ahorristas_and_OCMO,Depositor_options,14841964,ARS_thousand_updated,14841.964,e0_cgn_cuenta_inversion_2006_sdp,PDF_p121,NO_AUTOMATIC_AGGREGATION,YEAR_END_PURPOSE_STOCK,Keep outside bank compensation.
T51,2006,BNA_capitalization_and_compensation,MIXED_BUDGET_BUCKET,Pagares_transfers_and_bonds,Mixed,1780.1,ARS_million,1780.1,e0_onp_sintesis_ejecutiva_2006q4,PDF_p22_printed_21,NO_AUTOMATIC_AGGREGATION,MIXED_BNA_AND_COMPENSATION_BUCKET,Never label the whole bucket bank compensation.
T52,2006,ASymmetric_pesification,MIXED_BANK_DEPOSITOR_COMPENSATION,Compensation_and_coverage,Mixed,762,ARS_million,762,e0_onp_sintesis_ejecutiva_2006q4,PDF_p22_printed_21,NO_AUTOMATIC_AGGREGATION,MIXED_BANK_DEPOSITOR_COMPONENT,Not bank-only and not separately reconciled to price-difference coverage.
T53,2006,ASymmetric_pesification,BUDGET_TRANSFER_ACCRUAL,Current_transfers,Private_companies,510.10,ARS_million,510.10,e0_cgn_cuenta_inversion_2006_tomo_i,PDF_p142_printed_126,NO_AUTOMATIC_AGGREGATION,ACCRUED_TRANSFER_NOT_CASH_PROOF,Does not identify entity date instrument or cash settlement.
T54,2006,Financial_system_reordering,DEBT_PLACEMENT_FINANCING,BODEN_2012,Coverage_and_compensatory,3551.66,ARS_million,3551.66,e0_cgn_cuenta_inversion_2006_tomo_i,PDF_p136_printed_120,NO_AUTOMATIC_AGGREGATION,MIXED_PURPOSE_PLACEMENT,Cannot be added to transfer accruals or purpose stocks.
T55,2006,All_BODEN_2012_purposes,DEBT_SERVICE_AMORTIZATION,BODEN_2012,Mixed,6935.20,ARS_million,6935.20,e0_cgn_cuenta_inversion_2006_tomo_i,PDF_p137_printed_121,NO_AUTOMATIC_AGGREGATION,MIXED_PURPOSE_SERVICE_NOT_ALLOCATED,BODEN 2012 includes compensation coverage depositors and market placements.
T56,2006,All_BODEN_2007_purposes,DEBT_SERVICE_AMORTIZATION,BODEN_2007,Mixed,1326.21,ARS_million,1326.21,e0_cgn_cuenta_inversion_2006_tomo_i,PDF_p137_printed_121,NO_AUTOMATIC_AGGREGATION,MIXED_PURPOSE_SERVICE_NOT_ALLOCATED,BODEN 2007 includes compensation and depositor holdings.
T57,2006,BCRA_Treasury_financing,CANCELLATION_OF_CENTRAL_BANK_ADVANCES,BCRA_advances,Institutional_financing,15998.20,ARS_million,15998.20,e0_cgn_cuenta_inversion_2006_tomo_i,PDF_p137_printed_121,NO_AUTOMATIC_AGGREGATION,BCRA_FINANCING_CANCELLATION,Institutional financing settlement not compensation to commercial banks.
T58,2006,Decree_905_counterflow,BANK_DEPOSITS_TO_TREASURY,Deposits_Art_13_Decree_905,System,309.22,ARS_million,309.22,e0_cgn_cuenta_inversion_2006_tomo_i,PDF_p136_printed_120,NO_AUTOMATIC_AGGREGATION,BANK_COUNTERFLOW_FINANCING_BALANCE,Counterflow not a Treasury transfer to banks.



