row_id,date_or_period,official_source,observed_name_or_record,observed_token,proved_relationship,allowed_use,forbidden_use,status
AT159_01,2003,Memoria SIGEN 2003 p.3,"Gerencia de Supervisión de Economía, Planificación Federal y Entidades",GSEPFyE,El mismo documento vincula área y sufijo de notas,Buscar GSEPFyE y nombre largo en series 2003,Trasladar identidad a 2009,CONTEMPORARY_ASSOCIATION
AT159_02,2003,Memoria SIGEN 2003 p.7,Subgerencia de Economía y Planificación Federal,N/A,La Resolución 87/03 organizó seis Sindicaturas bajo esa Subgerencia,Reconstruir nivel Gerencia-Subgerencia-Sindicatura,Convertir Subgerencia en sufijo de nota,STRUCTURE_ONLY
AT159_03,2004,Memoria SIGEN 2004 p.8,Subgerencia de Economía y Planificación Federal; Subgerencia de Entidades y Sociedades,N/A,La Resolución 58/04 redujo la estructura a dos Subgerencias,Delimitar estructura 2004,Presumir estructura idéntica en 2009,STRUCTURE_ONLY
AT159_04,2004,Memoria SIGEN 2004 p.9,"Gerencia de Supervisión Económica, Planificación Federal y Entidades",GSEPFyE,Expansión entre paréntesis en fuente oficial,Equivalencia exacta para el acto 2004,Corregir variantes editoriales sin conservar literal,EXPLICIT_EXPANSION
AT159_05,2008,Plan SIGEN 2008,"Gerencia de Supervisión Economía, Planificación Federal y Entes Reguladores",N/A,Nombre largo contemporáneo del plan,Agregar nombre largo a la búsqueda 2008,Inferir sigla o sucesión sin acto,LONG_NAME_ONLY
AT159_06,2009,Cuenta de Inversión 2009 UEPEX,Nota SIGEN 3672/09,GSEyP,Sufijo exacto del documento target referido,Buscar literal GSEyP y número de nota,Expandirlo por similitud,TARGET_TOKEN_ONLY
AT159_07,2009 referido después,Libro Blanco SIGEN 2012,Informe global Cuenta 2008 del Ministerio de Economía,GSEPyPF,Área consignada en inventario posterior,Buscar ese token como ruta separada,Equipararlo a GSEyP,DISTINCT_INVENTORY_TOKEN
AT159_08,2010,Acta ERAS 09/2010 p.5,Nota SIGEN 4712/2010,GSEPYPF,Sufijo exacto unido a nota e informe 2009,Buscar literal mayúsculo en 2010,Convertirlo en expansión contemporánea,DISTINCT_NOTE_TOKEN
AT159_09,2013,Resolución SIGEN 93/2013,"Gerencia de Supervisión de Economía, Producción y Planificación Federal",GSEPyPF,Expansión oficial posterior,Desambiguar el token largo de 2013,Retrotraer identidad a Nota 3672/09,POSTERIOR_EXPANSION_ONLY
AT159_10,2003-2013,Cruce controlado,Cuatro formas documentadas,GSEPFyE; GSEyP; GSEPyPF; GSEPYPF,Serie de variantes y cambios institucionales,Consulta por tokens separados y fechas,Normalizar a una sigla canónica,TOKEN_SEPARATION_RULE
AT159_11,2008-2010,Target de archivo,Gerencia/Subgerencia/Sindicatura competente,N/A,Falta acto contemporáneo que encadene unidades,"Pedir organigrama, responsabilidades, firmas y sucesión",Designar productor final por inferencia,REQUEST_TARGET
AT159_12,Regla final,Método V168,Similitud ortográfica no es identidad administrativa,N/A,Sólo una fuente coetánea explícita puede unir token y unidad,Mantener rutas paralelas,Cerrar el gap nominativo,METHOD_LIMIT
