table_id,table_name,function,administration,history,available_operations,target_role,historical_consequence,source_id,locator
ST144_01,BCUENTA,codificación de cuentas bancarias y escriturales del organismo,LOCAL,NO,alta;baja;modificación;consulta;consulta de baja;rehabilitación,"identificar banco, sucursal, cuenta, tipo, fuente y vigencia 2008",pedir backup/snapshot; la tabla vigente no reconstruye cambios,e0_dgsiaf_slu_treasury_basic_tables_1,DOC p.2 · interna 120
ST144_02,ACTA_FUE,relación cuenta bancaria-fuente de financiamiento,LOCAL,NO,alta;baja;modificación;consulta;consulta de baja;rehabilitación,cruzar cuenta con fuente 13 o la fuente histórica recuperada,pedir backup/snapshot y bajas rehabilitadas,e0_dgsiaf_slu_treasury_basic_tables_1,DOC p.3 · interna 121
ST144_03,ACTABAN_CTAESC,relación cuenta bancaria-cuenta escritural receptora,LOCAL,NO,alta;baja;modificación;consulta;consulta de baja;rehabilitación,cerrar banco→cuenta escritural CUT,pedir estado 2008 desde respaldo,e0_dgsiaf_slu_treasury_basic_tables_1,DOC p.5 · interna 123
ST144_04,BGRUPMOVBCO,grupos de códigos de movimiento bancario,EXTERNA,NO,consulta;consulta de baja,identificar APL/LIB/MAN/TRA/EXB o equivalente vigente,tabla actual no prueba grupo 2008,e0_dgsiaf_slu_treasury_basic_tables_2,DOC p.3 · interna 144
ST144_05,BMOVBCO,códigos internos de movimientos del extracto,EXTERNA,NO,consulta;consulta de baja,"resolver código interno, descripción, signo y grupo",pedir dump histórico completo,e0_dgsiaf_slu_treasury_basic_tables_2,DOC p.4 · interna 145
ST144_06,BMOVEXTERNO,códigos de movimientos externos según codificación de cada banco,EXTERNA,NO,consulta;consulta de baja,mapear código BNA externo→grupo→movimiento interno→tipo automático/manual,pedir todas las versiones 2008 y contracódigos,e0_dgsiaf_slu_treasury_basic_tables_2,DOC p.5 · interna 146
ST144_07,AMOV_FORG,parametrización de aplicación automática de gastos por cuenta bancaria y movimiento,LOCAL,NO,alta;baja;modificación;consulta;consulta de baja;rehabilitación,cerrar cuenta+movimiento externo/interno→partida de gasto/C55,"objeto central: pedir backup 2008, filas dadas de baja y rehabilitadas",e0_dgsiaf_slu_treasury_basic_tables_2,DOC p.6 · interna 147
ST144_08,ACLB_MOB,relación código de movimiento de extracto-código de Libro Banco,EXTERNA,NO,consulta;consulta de baja,cerrar movimiento externo/interno→Libro Banco,pedir snapshot y filas inactivas,e0_dgsiaf_slu_treasury_basic_tables_2,DOC p.7 · interna 148
ST144_09,BCODLIBBCO,códigos de comprobantes/movimientos de Libro Banco,EXTERNA,NO,consulta;consulta de baja,"obtener código, descripción, débito/crédito y marca de conciliación",pedir snapshot y catálogo vigente por fecha,e0_dgsiaf_slu_treasury_basic_tables_2,DOC p.8 · interna 149
ST144_10,BEMPRESA,agrupación de cuentas informadas por un banco en un extracto,LOCAL,NO,alta;baja;modificación;consulta;consulta de baja;rehabilitación,delimitar universo de cuentas cargadas por BNA,pedir configuración 2008 desde respaldo,e0_dgsiaf_slu_treasury_basic_tables_2,DOC p.9 · interna 150
ST144_11,BERROR_AUD,códigos de error del auditor,EXTERNA,NO,consulta;consulta de baja,interpretar rechazos/errores de proceso,pedir catálogo vigente y código textual,e0_dgsiaf_slu_treasury_basic_tables_2,DOC p.11 · interna 152
ST144_12,BPROCESO,códigos de procesos del auditor,EXTERNA,NO,consulta;consulta de baja,interpretar proceso/log de impacto,pedir catálogo 2008 y logs con descripción,e0_dgsiaf_slu_treasury_basic_tables_2,DOC p.12 · interna 153

