collection_id,collection_name,year,catalog_endpoint,exact_prefix_status,target_prefixes,evidentiary_effect
CC-MAIN-2020-50,November/December 2020 Index,2020,https://index.commoncrawl.org/CC-MAIN-2020-50/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2020-45,October 2020 Index,2020,https://index.commoncrawl.org/CC-MAIN-2020-45/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2020-40,September 2020 Index,2020,https://index.commoncrawl.org/CC-MAIN-2020-40/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2020-34,August 2020 Index,2020,https://index.commoncrawl.org/CC-MAIN-2020-34/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2020-29,July 2020 Index,2020,https://index.commoncrawl.org/CC-MAIN-2020-29/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2020-24,May/June 2020 Index,2020,https://index.commoncrawl.org/CC-MAIN-2020-24/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2020-16,March/April 2020 Index,2020,https://index.commoncrawl.org/CC-MAIN-2020-16/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2020-10,February 2020 Index,2020,https://index.commoncrawl.org/CC-MAIN-2020-10/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2020-05,January 2020 Index,2020,https://index.commoncrawl.org/CC-MAIN-2020-05/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2019-51,December 2019 Index,2019,https://index.commoncrawl.org/CC-MAIN-2019-51/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2019-47,November 2019 Index,2019,https://index.commoncrawl.org/CC-MAIN-2019-47/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2019-43,October 2019 Index,2019,https://index.commoncrawl.org/CC-MAIN-2019-43/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2019-39,September 2019 Index,2019,https://index.commoncrawl.org/CC-MAIN-2019-39/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2019-35,August 2019 Index,2019,https://index.commoncrawl.org/CC-MAIN-2019-35/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
CC-MAIN-2019-30,July 2019 Index,2019,https://index.commoncrawl.org/CC-MAIN-2019-30/,PENDING_SERVICE_RECOVERY,www.sigen.gov.ar/documentacion/plananualpdfs/ | sigen.gov.ar/documentacion/plananualpdfs/,NONE_NOT_NEGATIVE
