collection,year,target,query_url,attempts,curl_exit,http_status,classification,valid_capture_rows,response,run_scope,evidentiary_effect
CC-MAIN-2014-10,2014,sigen.gov.ar/documentacion/plananualpdfs/,https://index.commoncrawl.org/CC-MAIN-2014-10-index?url=sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200,1,28,000,SERVICE_ERROR,0,curl: (28) Connection timed out after 12006 milliseconds,2014_FULL,NONE_SERVICE_ERROR
CC-MAIN-2014-10,2014,www.sigen.gov.ar/documentacion/plananualpdfs/,https://index.commoncrawl.org/CC-MAIN-2014-10-index?url=www.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200,1,28,000,SERVICE_ERROR,0,curl: (28) Connection timed out after 12000 milliseconds,2014_FULL,NONE_SERVICE_ERROR
CC-MAIN-2014-15,2014,sigen.gov.ar/documentacion/plananualpdfs/,https://index.commoncrawl.org/CC-MAIN-2014-15-index?url=sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200,1,28,000,SERVICE_ERROR,0,curl: (28) Connection timed out after 12005 milliseconds,2014_FULL,NONE_SERVICE_ERROR
CC-MAIN-2014-15,2014,www.sigen.gov.ar/documentacion/plananualpdfs/,https://index.commoncrawl.org/CC-MAIN-2014-15-index?url=www.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200,1,28,000,SERVICE_ERROR,0,curl: (28) Connection timed out after 12007 milliseconds,2014_FULL,NONE_SERVICE_ERROR
CC-MAIN-2014-23,2014,sigen.gov.ar/documentacion/plananualpdfs/,https://index.commoncrawl.org/CC-MAIN-2014-23-index?url=sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200,1,28,000,SERVICE_ERROR,0,curl: (28) Connection timed out after 12014 milliseconds,2014_FULL,NONE_SERVICE_ERROR
CC-MAIN-2014-23,2014,www.sigen.gov.ar/documentacion/plananualpdfs/,https://index.commoncrawl.org/CC-MAIN-2014-23-index?url=www.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200,1,28,000,SERVICE_ERROR,0,curl: (28) Connection timed out after 12012 milliseconds,2014_FULL,NONE_SERVICE_ERROR
CC-MAIN-2014-35,2014,sigen.gov.ar/documentacion/plananualpdfs/,https://index.commoncrawl.org/CC-MAIN-2014-35-index?url=sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200,1,28,000,SERVICE_ERROR,0,curl: (28) Connection timed out after 12010 milliseconds,2014_FULL,NONE_SERVICE_ERROR
CC-MAIN-2014-35,2014,www.sigen.gov.ar/documentacion/plananualpdfs/,https://index.commoncrawl.org/CC-MAIN-2014-35-index?url=www.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200,1,28,000,SERVICE_ERROR,0,curl: (28) Connection timed out after 12013 milliseconds,2014_FULL,NONE_SERVICE_ERROR
CC-MAIN-2014-41,2014,sigen.gov.ar/documentacion/plananualpdfs/,https://index.commoncrawl.org/CC-MAIN-2014-41-index?url=sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200,1,28,000,SERVICE_ERROR,0,curl: (28) Connection timed out after 12010 milliseconds,2014_FULL,NONE_SERVICE_ERROR
CC-MAIN-2014-41,2014,www.sigen.gov.ar/documentacion/plananualpdfs/,https://index.commoncrawl.org/CC-MAIN-2014-41-index?url=www.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200,1,28,000,SERVICE_ERROR,0,curl: (28) Connection timed out after 12004 milliseconds,2014_FULL,NONE_SERVICE_ERROR
