row_id,component,date_or_period,amount,unit,fx_or_conversion,usd_equivalent,basis,additivity,source_id,caveat
PUBLIC_2008-08-28,FOUR_PUBLIC_TENDERS,2008-08-28,9890509.02,ARS_effective,3.0278,3266566.160248365149613580817755466014928,OFFICIAL_RESULT_AND_REFERENCE_FX,COMPONENT_FOR_SENSITIVITY_ONLY,E0_FISCAL_PUBLIC_BUYBACK_TENDERS_2008_V171.csv,Conversión de control; no prueba caja ni homogeneidad temporal perfecta.
PUBLIC_2008-09-04,FOUR_PUBLIC_TENDERS,2008-09-04,20154238.16,ARS_effective,3.0462,6616190.059746569496421771387302212592738,OFFICIAL_RESULT_AND_REFERENCE_FX,COMPONENT_FOR_SENSITIVITY_ONLY,E0_FISCAL_PUBLIC_BUYBACK_TENDERS_2008_V171.csv,Conversión de control; no prueba caja ni homogeneidad temporal perfecta.
PUBLIC_2008-09-11,FOUR_PUBLIC_TENDERS,2008-09-11,50758361.98,ARS_effective,3.068,16544446.53846153846153846153846153846154,OFFICIAL_RESULT_AND_REFERENCE_FX,COMPONENT_FOR_SENSITIVITY_ONLY,E0_FISCAL_PUBLIC_BUYBACK_TENDERS_2008_V171.csv,Conversión de control; no prueba caja ni homogeneidad temporal perfecta.
PUBLIC_2008-10-02,FOUR_PUBLIC_TENDERS,2008-10-02,54803105.70,ARS_effective,3.135,17481054.44976076555023923444976076555024,OFFICIAL_RESULT_AND_REFERENCE_FX,COMPONENT_FOR_SENSITIVITY_ONLY,E0_FISCAL_PUBLIC_BUYBACK_TENDERS_2008_V171.csv,Conversión de control; no prueba caja ni homogeneidad temporal perfecta.
FIRST_STAGE_APPROX,FIRST_STAGE_MARKET_PURCHASES,2008-08-11/2008-08-22,380000000,USD_approx_effective,N/A,380000000,OFFICIAL_APPROXIMATE_PROGRAM_AGGREGATE,NON_ADDITIVE_APPROXIMATE,e0_argentina_recompra_segunda_semana_2008_08_22,"Aproximado, especies mezcladas y blotter abierto."
PUBLIC_TOTAL_USD_EQ,FOUR_PUBLIC_TENDERS,2008-08-28/2008-10-02,135606214.86,ARS_effective,DATE_SPECIFIC_REFERENCE_FX,43908257.20821723865781304819327998261945,DERIVED_DATE_LEVEL_CONVERSION,SENSITIVITY_COMPONENT,E0_FISCAL_PUBLIC_BUYBACK_TENDERS_2008_V171.csv,"Equivalente sintético, no total contable USD."
SYNTHETIC_SUM,FIRST_STAGE_PLUS_PUBLIC_EQUIVALENT,2008-08/2008-10,423908257.2082172386578130481932799826194,USD_synthetic,N/A,423908257.2082172386578130481932799826194,DERIVED_APPROXIMATE_BRIDGE,CONTROL_NOT_ADDITIVE,e0_argentina_recompra_segunda_semana_2008_08_22;E0_FISCAL_PUBLIC_BUYBACK_TENDERS_2008_V171.csv,No afirmar conciliación exacta ni liquidación; combina un aproximado con conversiones de fecha.
BCRA_CONTROL,BCRA_PROGRAM_AGGREGATE,FROM_2008-08,420000000,USD_approx,N/A,420000000,BCRA_MONTO_CERCANO,INDEPENDENT_CONTROL_NOT_ADDITIVE,e0_bcra_inflation_report_q4_2008_buyback_control,Monto cercano; alcance y fecha de corte no se identifican al nivel de operación.
BRIDGE_GAP,SYNTHETIC_MINUS_BCRA_CONTROL,2008-08/2008-10,3908257.2082172386578130481932799826194,USD_synthetic,N/A,3908257.2082172386578130481932799826194,0.93053743%_OF_BCRA_APPROX_CONTROL,DIAGNOSTIC_ONLY,E0_FISCAL_BUYBACK_APPROX_AGGREGATE_BRIDGE_V171.csv,"Brecha pequeña compatible con redondeo/alcance, pero no demuestra igualdad ni exhaustividad."




