role,path,url,bytes,sha256,analytic_use
V175_SOURCE,/research/ciclo_ajuste/inputs/historical_retrieval/v175/binaries/argentina_decreto_1795_2009_pacios_renuncia.html,https://www.argentina.gob.ar/normativa/nacional/norma-160448,33171,cbf76d8de865fce97f2fb26937a4faa2ed7c9020337da0ee9f9d3caa8c9faa60,Delimita una autoridad posible hasta el relevo; no identifica al firmante de la Nota 3672 sin su fecha o cuerpo.
V175_SOURCE,/research/ciclo_ajuste/inputs/historical_retrieval/v175/binaries/argentina_decreto_1796_2009_reposo_designacion.html,https://www.argentina.gob.ar/normativa/nacional/norma-160449,32962,7e2cae58d83017beece911e8cc59f6a5d9919e9d1313edcefd37e751c7772eec,Delimita una segunda autoridad posible desde el relevo; no permite atribuir firma sin fecha o cuerpo de la Nota 3672.
V175_SOURCE,/research/ciclo_ajuste/inputs/historical_retrieval/v175/binaries/argentina_decreto_759_1966_actualizado.html,https://www.argentina.gob.ar/normativa/nacional/123084/actualizacion,54292,3808eede740c2f0986cc3bd76198165179e6791c6b0bc0b099c22fad7a331a10,"Prueba obligaciones generales de numeración única, recepción, clasificación, registro, distribución, archivo y conservación del movimiento/destino; no prueba por sí solo la fila 3672."
V175_SOURCE,/research/ciclo_ajuste/inputs/historical_retrieval/v175/binaries/argentina_resolucion_2600_2009.html,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-2600-2009-163154/texto,53893,38b9ca150241ad4e4ea7a7689dd40704f237c95ddd5c8c54c120d4a84b91d266,"Prueba el flujo contemporáneo de informe preliminar/final, expediente receptor, carga en SISIO, estados y acciones encaradas; es comparador procedimental, no el registro objetivo."
V175_SOURCE,/research/ciclo_ajuste/inputs/historical_retrieval/v175/binaries/cgn_cuenta_2010_uepex.html,https://www.economia.gob.ar/hacienda/cgn/cuenta/2010/sep/uepex.htm,115479,87554e2a514327f06fd41692d35e4841d3f1708de08d637d8d36a08ad43a2e27,"Prueba continuidad de elevación CGN→SIGEN y correcciones por reemplazo de cuadros o regularización SIDIF; no contiene las cadenas 3672, 0120/09 o SISIO."
V175_SOURCE,/research/ciclo_ajuste/inputs/historical_retrieval/v175/binaries/cgn_cuenta_2011_uepex.html,https://www.economia.gob.ar/hacienda/cgn/cuenta/2011/sep/uepex.htm,67561,fe91cb5dddeb344a46db71ec4833679028d6166f70e141a0a23c36288e3b1ff3,"Prueba continuidad anual del mecanismo correctivo e informe a SIGEN; no contiene las cadenas 3672, 0120/09 o SISIO."
V175_SOURCE,/research/ciclo_ajuste/inputs/historical_retrieval/v175/binaries/cgn_cuenta_2012_uepex.html,https://www.economia.gob.ar/hacienda/cgn/cuenta/2012/sep/uepex.htm,41470,1c4e300dca6cdf334d978b585b2f6beb85f7cb8b8669853bc32ebbae3539e699,"Prueba persistencia del control, regularizaciones y un informe específico a SIGEN; no atribuye resultados a Nota 3672."
V175_SOURCE,/research/ciclo_ajuste/inputs/historical_retrieval/v175/binaries/cgn_cuenta_2013_uepex.html,https://www.economia.gob.ar/hacienda/cgn/cuenta/2013/sep/uepex.htm,57243,066323301806c56d9a971f6f290481c4c230dc1313ced197a777605ae2f1ab6f,"Prueba continuidad de sustitución de cuadros, regularización SIDIF y subsanaciones; no contiene las cadenas 3672, 0120/09 o SISIO."
V175_SOURCE,/research/ciclo_ajuste/inputs/historical_retrieval/v175/binaries/sigen_memoria_2009.pdf,https://www.argentina.gob.ar/sites/default/files/memoria_sigen_2009.pdf,97057,c10d014fc500d2fe66387944bd18a4e2c6e4137d39c85859014a07b49230ddcf,"Prueba capacidad contemporánea: instrucciones para certificaciones, mejoras SISIO WEB y construcción/reordenamiento del archivo digital y general; no exhibe la Nota 3672."
V175_SOURCE,/research/ciclo_ajuste/inputs/historical_retrieval/v175/binaries/vlex_pjn_tocf4_cfp_2111_2010_to1_2017.html,https://ar.vlex.com/vid/principal-tribunal-oral-to01-694793069,173290,bc733cf8af88daae86bce5d1374dd1acfff72d49163633c064b58f1e91f96692,"Reproduce un inventario judicial con Nota 734 fechada, Nota 5259, rangos correlativos de remitos y avisos de recibo originales. La procedencia primaria es judicial; el host preservado no es oficial."
