observable_id,observable,contemporary_rule,target_role,source_id,locator,status
TS143_01,disparador,Débito detectado en cuenta bancaria; ejemplo expreso: comisión cobrada,REQUIRED_CAUSAL_CLASS,e0_dgsiaf_slu_global_regularization_2004,DOC Abril 2004 · revisión 14/06/2005 · Regularización Global/Débito Directo,SIGNATURE_PROVED_TARGET_RECORD_OPEN
TS143_02,tipo,Débito Directo,REQUIRED_FORM_CLASS,e0_dgsiaf_slu_global_regularization_2004,DOC Abril 2004 · revisión 14/06/2005 · Regularización Global/Débito Directo,SIGNATURE_PROVED_TARGET_RECORD_OPEN
TS143_03,formulario,C55-REG,REQUIRED_IDENTIFIER,e0_dgsiaf_slu_global_regularization_2004,DOC Abril 2004 · revisión 14/06/2005 · Regularización Global/Débito Directo,SIGNATURE_PROVED_TARGET_RECORD_OPEN
TS143_04,orden de pago original,No corresponde para Débito Directo,EXPECTED_ABSENCE,e0_dgsiaf_slu_global_regularization_2004,DOC Abril 2004 · revisión 14/06/2005 · Regularización Global/Débito Directo,SIGNATURE_PROVED_TARGET_RECORD_OPEN
TS143_05,cuenta de débito,Obligatoria,REQUIRED_ACCOUNT,e0_dgsiaf_slu_global_regularization_2004,DOC Abril 2004 · revisión 14/06/2005 · Regularización Global/Débito Directo,SIGNATURE_PROVED_TARGET_RECORD_OPEN
TS143_06,signo Libro Banco,+débito,REQUIRED_SIGN,e0_dgsiaf_slu_global_regularization_2004,DOC Abril 2004 · revisión 14/06/2005 · Regularización Global/Débito Directo,SIGNATURE_PROVED_TARGET_RECORD_OPEN
TS143_07,impacto presupuestario,Regulariza etapas presupuestarias o no presupuestarias,REQUIRED_CLASSIFICATION,e0_dgsiaf_slu_global_regularization_2004,DOC Abril 2004 · revisión 14/06/2005 · Regularización Global/Débito Directo,SIGNATURE_PROVED_TARGET_RECORD_OPEN
TS143_08,impacto Libro Banco,Se materializa sólo tras aceptación de SIDIF Central cuando corresponde,REQUIRED_ACCEPTANCE,e0_dgsiaf_slu_global_regularization_2004,DOC Abril 2004 · revisión 14/06/2005 · Regularización Global/Débito Directo,SIGNATURE_PROVED_TARGET_RECORD_OPEN
TS143_09,institución,Campo del Débito Directo,REQUEST_FIELD,e0_dgsiaf_slu_global_regularization_2004,DOC Abril 2004 · revisión 14/06/2005 · Regularización Global/Débito Directo,SIGNATURE_PROVED_TARGET_RECORD_OPEN
TS143_10,unidad de gestión,Campo del Débito Directo,REQUEST_FIELD,e0_dgsiaf_slu_global_regularization_2004,DOC Abril 2004 · revisión 14/06/2005 · Regularización Global/Débito Directo,SIGNATURE_PROVED_TARGET_RECORD_OPEN
TS143_11,fuente de financiamiento,Campo del Débito Directo,REQUEST_FIELD,e0_dgsiaf_slu_global_regularization_2004,DOC Abril 2004 · revisión 14/06/2005 · Regularización Global/Débito Directo,SIGNATURE_PROVED_TARGET_RECORD_OPEN
TS143_12,clase de gasto,Campo del Débito Directo,REQUEST_FIELD,e0_dgsiaf_slu_global_regularization_2004,DOC Abril 2004 · revisión 14/06/2005 · Regularización Global/Débito Directo,SIGNATURE_PROVED_TARGET_RECORD_OPEN
TS143_13,beneficiario,Campo del Débito Directo,REQUEST_FIELD,e0_dgsiaf_slu_global_regularization_2004,DOC Abril 2004 · revisión 14/06/2005 · Regularización Global/Débito Directo,SIGNATURE_PROVED_TARGET_RECORD_OPEN
TS143_14,estado C,Confirmado por SIDIF Central,REQUIRED_POSITIVE_STATE,e0_dgsiaf_slu_global_regularization_2004,DOC Abril 2004 · revisión 14/06/2005 · Regularización Global/Débito Directo,SIGNATURE_PROVED_TARGET_RECORD_OPEN
TS143_15,histórico,"Conserva ingreso, autorización, envío y recepción de respuesta",REQUIRED_AUDIT_TRAIL,e0_dgsiaf_slu_global_regularization_2004,DOC Abril 2004 · revisión 14/06/2005 · Regularización Global/Débito Directo,SIGNATURE_PROVED_TARGET_RECORD_OPEN
TS143_16,reversa,C55-DEG y contraasiento posible en Libro Banco,REQUIRED_NEGATIVE_CONTROL,e0_dgsiaf_slu_global_regularization_2004,DOC Abril 2004 · revisión 14/06/2005 · Regularización Global/Débito Directo,SIGNATURE_PROVED_TARGET_RECORD_OPEN

