row_id,program,account_id,present_2008,present_2009,present_reference_2018,reference_2018_ars,reported_2019_current_data,identity_rule,limit
AC177_01,BID 1192/OC-AR,2119/45,YES,YES,YES,22384741.80,NO,exact account code within same loan/program; SAF reorganization does not break program identity,2018 amount is a prior-period reference printed in Cuenta 2019; not a verified 2019 closing balance
AC177_02,BID 1192/OC-AR,54451/95,NO,NO,YES,45925902.21,NO,exact account code within same loan/program; SAF reorganization does not break program identity,2018 amount is a prior-period reference printed in Cuenta 2019; not a verified 2019 closing balance
AC177_03,BID 1192/OC-AR,210010000,YES,NO,YES,3066718.24,NO,exact account code within same loan/program; SAF reorganization does not break program identity,2018 amount is a prior-period reference printed in Cuenta 2019; not a verified 2019 closing balance
AC177_04,BID 1192/OC-AR,MI 4285,YES,YES,YES,19659140.06,NO,exact account code within same loan/program; SAF reorganization does not break program identity,2018 amount is a prior-period reference printed in Cuenta 2019; not a verified 2019 closing balance
AC177_05,BID 1192/OC-AR,MS 4285,YES,YES,YES,240397198.95,NO,exact account code within same loan/program; SAF reorganization does not break program identity,2018 amount is a prior-period reference printed in Cuenta 2019; not a verified 2019 closing balance
AC177_06,BID 1192/OC-AR,MY 4002,YES,YES,YES,569350.57,NO,exact account code within same loan/program; SAF reorganization does not break program identity,2018 amount is a prior-period reference printed in Cuenta 2019; not a verified 2019 closing balance
AC177_07,BID 1192/OC-AR,MY 4003,YES,YES,YES,481443.72,NO,exact account code within same loan/program; SAF reorganization does not break program identity,2018 amount is a prior-period reference printed in Cuenta 2019; not a verified 2019 closing balance
AC177_08,BID 1192/OC-AR,MY 4004,YES,YES,YES,1183046.44,NO,exact account code within same loan/program; SAF reorganization does not break program identity,2018 amount is a prior-period reference printed in Cuenta 2019; not a verified 2019 closing balance
AC177_09,BID 1192/OC-AR,MY 4005,YES,YES,YES,7995.84,NO,exact account code within same loan/program; SAF reorganization does not break program identity,2018 amount is a prior-period reference printed in Cuenta 2019; not a verified 2019 closing balance
AC177_10,BID 1192/OC-AR,MY 4006,YES,YES,YES,959708.51,NO,exact account code within same loan/program; SAF reorganization does not break program identity,2018 amount is a prior-period reference printed in Cuenta 2019; not a verified 2019 closing balance
AC177_11,BID 1192/OC-AR,MYUEC 1,YES,YES,YES,160399286.55,NO,exact account code within same loan/program; SAF reorganization does not break program identity,2018 amount is a prior-period reference printed in Cuenta 2019; not a verified 2019 closing balance
AC177_12,BID 1192/OC-AR,MYUEC,YES,YES,YES,0.00,NO,exact account code within same loan/program; SAF reorganization does not break program identity,2018 amount is a prior-period reference printed in Cuenta 2019; not a verified 2019 closing balance
AC177_13,BID 1192/OC-AR,COBCAP,YES,YES,YES,176877658.03,NO,exact account code within same loan/program; SAF reorganization does not break program identity,2018 amount is a prior-period reference printed in Cuenta 2019; not a verified 2019 closing balance
AC177_14,BID 1192/OC-AR,COBINT,YES,YES,YES,138589654.14,NO,exact account code within same loan/program; SAF reorganization does not break program identity,2018 amount is a prior-period reference printed in Cuenta 2019; not a verified 2019 closing balance
AC177_15,BID 1192/OC-AR,FP1192,YES,YES,YES,14359521.15,NO,exact account code within same loan/program; SAF reorganization does not break program identity,2018 amount is a prior-period reference printed in Cuenta 2019; not a verified 2019 closing balance
AC177_16,BID 1192/OC-AR,FDOGTOS,YES,YES,YES,0.00,NO,exact account code within same loan/program; SAF reorganization does not break program identity,2018 amount is a prior-period reference printed in Cuenta 2019; not a verified 2019 closing balance
