award_id,tender_date,scheduled_settlement_date,instrument,isin,native_currency,participant,participant_role,price_components,awarded_notional_native,awarded_effective_native,reference_fx_ars_per_usd,awarded_effective_ars_raw,derivation,source_id,source_locator,ultimate_holder_identified,original_purpose_identified,settlement_confirmation,additivity,caveat
A20080828_GDPARS_CITI,2008-08-28,2008-09-02,GDP_UNIT_ARS,ARARGE03E147,ARS,Citibank,MAE_PARTICIPANT_INTERMEDIARY_OR_OWN_ACCOUNT,73135@8.90,73135,6509.015,1,6509.015,Accepted offer rows through the published cutoff reproduce the official instrument total exactly.,e0_argentina_resultado_recompra_2008_08_28,PDF_pp1_3,NO,NO,SCHEDULED_NOT_INDEPENDENTLY_CONFIRMED,ADD_WITHIN_FOUR_LOCATED_PUBLIC_TENDER_AWARDS_ONLY,La entidad es participante MAE; puede actuar por cuenta propia o de terceros y no prueba beneficiario final.
A20080828_GDPARS_HSBC,2008-08-28,2008-09-02,GDP_UNIT_ARS,ARARGE03E147,ARS,HSBC Bank,MAE_PARTICIPANT_INTERMEDIARY_OR_OWN_ACCOUNT,10000000@8.90;30000000@8.95;30000000@8.99;40000000@9.03,110000000,9884000.00,1,9884000.00,Accepted offer rows through the published cutoff reproduce the official instrument total exactly.,e0_argentina_resultado_recompra_2008_08_28,PDF_pp1_3,NO,NO,SCHEDULED_NOT_INDEPENDENTLY_CONFIRMED,ADD_WITHIN_FOUR_LOCATED_PUBLIC_TENDER_AWARDS_ONLY,La entidad es participante MAE; puede actuar por cuenta propia o de terceros y no prueba beneficiario final.
A20080904_B2012_CITI,2008-09-04,2008-09-09,BODEN_2012,ARARGE034678,USD,Citibank,MAE_PARTICIPANT_INTERMEDIARY_OR_OWN_ACCOUNT,193000@39.50;1000000@39.55,1193000,471735.00,3.0462,1436999.157000,Accepted offer rows through the published cutoff reproduce the official instrument total exactly.,e0_argentina_resultado_recompra_2008_09_04,PDF_pp1_2,NO,NO,AGGREGATE_Q3_DEBT_REDUCTION_EXACT_MATCH_PER_ROUND_CAJA_AND_PAYMENT_OPEN,ADD_WITHIN_FOUR_LOCATED_PUBLIC_TENDER_AWARDS_ONLY,"El cuadro oficial Q3 reduce exactamente el residual agregado adjudicado; no identifica la transferencia de esta oferta, el asiento por ronda ni el pago BCRA."
A20080904_B2012_STANDARD,2008-09-04,2008-09-09,BODEN_2012,ARARGE034678,USD,Standard Bank,MAE_PARTICIPANT_INTERMEDIARY_OR_OWN_ACCOUNT,3000000@39.70,3000000,1191000.00,3.0462,3628024.200000,Accepted offer rows through the published cutoff reproduce the official instrument total exactly.,e0_argentina_resultado_recompra_2008_09_04,PDF_pp1_2,NO,NO,AGGREGATE_Q3_DEBT_REDUCTION_EXACT_MATCH_PER_ROUND_CAJA_AND_PAYMENT_OPEN,ADD_WITHIN_FOUR_LOCATED_PUBLIC_TENDER_AWARDS_ONLY,"El cuadro oficial Q3 reduce exactamente el residual agregado adjudicado; no identifica la transferencia de esta oferta, el asiento por ronda ni el pago BCRA."
A20080904_B2013_CITI,2008-09-04,2008-09-09,BODEN_2013,ARARGE035709,USD,Citibank,MAE_PARTICIPANT_INTERMEDIARY_OR_OWN_ACCOUNT,1000000@47.95;1000000@48.05;1000000@48.25,3000000,1442500.00,3.0462,4394143.500000,Accepted offer rows through the published cutoff reproduce the official instrument total exactly.,e0_argentina_resultado_recompra_2008_09_04,PDF_pp1_2,NO,NO,AGGREGATE_Q3_DEBT_REDUCTION_EXACT_MATCH_PER_ROUND_CAJA_AND_PAYMENT_OPEN,ADD_WITHIN_FOUR_LOCATED_PUBLIC_TENDER_AWARDS_ONLY,"El cuadro oficial Q3 reduce exactamente el residual agregado adjudicado; no identifica la transferencia de esta oferta, el asiento por ronda ni el pago BCRA."
A20080904_B2013_MERVAL,2008-09-04,2008-09-09,BODEN_2013,ARARGE035709,USD,MERVAL,MAE_PARTICIPANT_INTERMEDIARY_OR_OWN_ACCOUNT,382000@48.19,382000,184085.80,3.0462,560762.163960,Accepted offer rows through the published cutoff reproduce the official instrument total exactly.,e0_argentina_resultado_recompra_2008_09_04,PDF_pp1_2,NO,NO,AGGREGATE_Q3_DEBT_REDUCTION_EXACT_MATCH_PER_ROUND_CAJA_AND_PAYMENT_OPEN,ADD_WITHIN_FOUR_LOCATED_PUBLIC_TENDER_AWARDS_ONLY,"El cuadro oficial Q3 reduce exactamente el residual agregado adjudicado; no identifica la transferencia de esta oferta, el asiento por ronda ni el pago BCRA."
A20080904_B2013_MARIVA,2008-09-04,2008-09-09,BODEN_2013,ARARGE035709,USD,Banco Mariva,MAE_PARTICIPANT_INTERMEDIARY_OR_OWN_ACCOUNT,3000000@48.25,3000000,1447500.00,3.0462,4409374.500000,Accepted offer rows through the published cutoff reproduce the official instrument total exactly.,e0_argentina_resultado_recompra_2008_09_04,PDF_pp1_2,NO,NO,AGGREGATE_Q3_DEBT_REDUCTION_EXACT_MATCH_PER_ROUND_CAJA_AND_PAYMENT_OPEN,ADD_WITHIN_FOUR_LOCATED_PUBLIC_TENDER_AWARDS_ONLY,"El cuadro oficial Q3 reduce exactamente el residual agregado adjudicado; no identifica la transferencia de esta oferta, el asiento por ronda ni el pago BCRA."
A20080904_GDPARS_CITI,2008-09-04,2008-09-09,GDP_UNIT_ARS,ARARGE03E147,ARS,Citibank,MAE_PARTICIPANT_INTERMEDIARY_OR_OWN_ACCOUNT,52268@9.00,52268,4704.12,1,4704.12,Accepted offer rows through the published cutoff reproduce the official instrument total exactly.,e0_argentina_resultado_recompra_2008_09_04,PDF_pp1_3,NO,NO,SCHEDULED_NOT_INDEPENDENTLY_CONFIRMED,ADD_WITHIN_FOUR_LOCATED_PUBLIC_TENDER_AWARDS_ONLY,La entidad es participante MAE; puede actuar por cuenta propia o de terceros y no prueba beneficiario final.
A20080904_GDPUSD_CITI,2008-09-04,2008-09-09,GDP_UNIT_USD_LAW_AR,ARARGE03E154,USD,Citibank,MAE_PARTICIPANT_INTERMEDIARY_OR_OWN_ACCOUNT,50000@3.25,50000,1625.00,3.0462,4950.075000,Accepted offer rows through the published cutoff reproduce the official instrument total exactly.,e0_argentina_resultado_recompra_2008_09_04,PDF_pp1_3,NO,NO,SCHEDULED_NOT_INDEPENDENTLY_CONFIRMED,ADD_WITHIN_FOUR_LOCATED_PUBLIC_TENDER_AWARDS_ONLY,La entidad es participante MAE; puede actuar por cuenta propia o de terceros y no prueba beneficiario final.
A20080904_GDPUSD_STANDARD,2008-09-04,2008-09-09,GDP_UNIT_USD_LAW_AR,ARARGE03E154,USD,Standard Bank,MAE_PARTICIPANT_INTERMEDIARY_OR_OWN_ACCOUNT,3950000@8.85;900000@8.85;2150000@8.85;3700000@8.85;10500000@8.85,21200000,1876200.00,3.0462,5715280.440000,Accepted offer rows through the published cutoff reproduce the official instrument total exactly.,e0_argentina_resultado_recompra_2008_09_04,PDF_pp1_3,NO,NO,SCHEDULED_NOT_INDEPENDENTLY_CONFIRMED,ADD_WITHIN_FOUR_LOCATED_PUBLIC_TENDER_AWARDS_ONLY,La entidad es participante MAE; puede actuar por cuenta propia o de terceros y no prueba beneficiario final.
