source_id,institution,title,url,local_path,sha256,bytes,evidentiary_role,limit
e0_macro_20f_2007_mypes_collateral_v181,Banco Macro S.A.,Form 20-F 2007 · garantías y activos administrados MyPES II,https://www.macro.com.ar/relaciones-inversores/documento/1493316419832/bma_20f_2007_eng.pdf,/research/ciclo_ajuste/inputs/historical_retrieval/v181/binaries/banco_macro_20f_2007.pdf,9950041285e3a8e636f09ec120b183c9db9934245c637d08c3715a1e2239afdd,1849779,bank-side collateral / registry / filing-control / provenance,En miles de pesos: préstamos afectados a MyPES II 19.241 en 2006 y 12.801 en 2007. El valor 18.634 de activos administrados usa una base distinta y no se suma ni resta a la garantía.
e0_macro_20f_2009_mypes_collateral_v181,Banco Macro S.A.,Form 20-F 2009 · garantías MyPES II,https://www.macro.com.ar/relaciones-inversores/documento/1517358335677/bma_20f_2009_eng.pdf,/research/ciclo_ajuste/inputs/historical_retrieval/v181/binaries/banco_macro_20f_2009.pdf,5e74c787a985c8eaf1250efa2e98c1fc900df8ca88c3565b5fc61ef67f266c15,1813257,bank-side collateral / registry / filing-control / provenance,"En miles de pesos: préstamos afectados a MyPES II 20.367 en 2008 y 9.876 en 2009; prueba garantía contable, no comisión ni utilidad."
e0_macro_20f_2010_mypes_collateral_v181,Banco Macro S.A.,Form 20-F 2010 · garantías MyPES II,https://www.macro.com.ar/relaciones-inversores/documento/1517358335382/bma_20f_2010_eng.pdf,/research/ciclo_ajuste/inputs/historical_retrieval/v181/binaries/banco_macro_20f_2010.pdf,2914cac0e23d84637f4fa81aaad85514fef18bdcdf37768a9953ef7ada338aa9,1815120,bank-side collateral / registry / filing-control / provenance,En miles de pesos: préstamos afectados a MyPES II 9.876 en 2009 y 2.599 en 2010.
e0_macro_20f_2011_mypes_collateral_v181,Banco Macro S.A.,Form 20-F 2011 · último saldo explícito de garantía MyPES II,https://www.macro.com.ar/relaciones-inversores/documento/1517358335198/bma_20f_2011_eng.pdf,/research/ciclo_ajuste/inputs/historical_retrieval/v181/binaries/banco_macro_20f_2011.pdf,4fc6b68eee42f64c68b0f8a5500354cd55fc4444cbe1e15aa552b621894f3cef,2139688,bank-side collateral / registry / filing-control / provenance,En miles de pesos: préstamos afectados a MyPES II 2.599 en 2010 y 163 en 2011; no informa el reclamo administrativo posterior de 2014.
e0_sec_macro_20f_2012_restricted_assets_v181,U.S. Securities and Exchange Commission / Banco Macro,Form 20-F 2012 · cierre de la línea de garantía MyPES II,https://www.sec.gov/Archives/edgar/data/1347426/000119312513178117/d526406d20f.htm,/research/ciclo_ajuste/inputs/historical_retrieval/v181/binaries/sec_banco_macro_20f_2012.html,3d660683472f94a9bf6556480a9ccd4825e7d1bf00fd4d0ed860dc675ecb09cc,5974426,bank-side collateral / registry / filing-control / provenance,La nota de activos restringidos muestra Loans/Other 163 para 2011 y cero para 2012. MyPES no se nombra expresamente; la identificación del comparativo surge del 20-F 2011. No prueba extinción de una obligación por comisión.
e0_sec_macro_20f_2013_contingency_control_v181,U.S. Securities and Exchange Commission / Banco Macro,Form 20-F 2013 · control de divulgación posterior MyPES II,https://www.sec.gov/Archives/edgar/data/1347426/000119312514167653/d713664d20f.htm,/research/ciclo_ajuste/inputs/historical_retrieval/v181/binaries/sec_banco_macro_20f_2013.html,a669cca15f659987216b8697ec0fc9a5493a565d0f68dcbc6e6ecad611f12142,4342755,bank-side collateral / registry / filing-control / provenance,"Control posterior: sin mención exacta MyPES/Macro Fiducia/Resolución 1406. La ausencia puede obedecer a materialidad, agrupación o alcance y no prueba inexistencia de reclamo."
e0_sec_macro_20f_2014_contingency_control_v181,U.S. Securities and Exchange Commission / Banco Macro,Form 20-F 2014 · control contemporáneo a Resolución 1406,https://www.sec.gov/Archives/edgar/data/1347426/000119312515152311/d912561d20f.htm,/research/ciclo_ajuste/inputs/historical_retrieval/v181/binaries/sec_banco_macro_20f_2014.html,4835aa6c08c41ebeb419c03bae2a8fae5bb9454b9606e0c71dbf22711710c881,4381710,bank-side collateral / registry / filing-control / provenance,"Control contemporáneo: sin mención exacta MyPES/Macro Fiducia/Resolución 1406; no sustituye el acto, el recurso ni el análisis de materialidad contable."
e0_sec_macro_20f_2015_contingency_control_v181,U.S. Securities and Exchange Commission / Banco Macro,Form 20-F 2015 · control posterior a Resolución 1406,https://www.sec.gov/Archives/edgar/data/1347426/000119312516563512/d176736d20f.htm,/research/ciclo_ajuste/inputs/historical_retrieval/v181/binaries/sec_banco_macro_20f_2015.html,62ac146b10556f4df6c086952d65e9184e016bc569a1560dab1f1ed234dfd6a7,4655828,bank-side collateral / registry / filing-control / provenance,"Control posterior: sin mención exacta MyPES/Macro Fiducia/Resolución 1406. No prueba pago, rechazo ni falta de provisión específica."
e0_sec_macro_submission_index_v181,U.S. Securities and Exchange Commission,Índice oficial de presentaciones Banco Macro CIK 0001347426,https://data.sec.gov/submissions/CIK0001347426.json,/research/ciclo_ajuste/inputs/historical_retrieval/v181/binaries/sec_banco_macro_submissions_2026-09-01.json,f4f2db3d4ff1bdd162d9712099ee91ae8d1136c352913917f31cd23ea75bdec3,163773,bank-side collateral / registry / filing-control / provenance,"Enumera la serie 20-F y sus accessions; es prueba de procedencia, no del contenido sustantivo de cada presentación."
e0_bcra_nonfinancial_entities_2011s2_mypes_v181,Banco Central de la República Argentina,Información de Entidades no Financieras · MyPES II al segundo semestre 2011,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/EntidadesNo/enf022011.pdf,/research/ciclo_ajuste/inputs/historical_retrieval/v181/binaries/bcra_entidades_no_financieras_2011_s2.pdf,8c84f1025ee12a2fc4c16b0a4f40bf57dcb296d62bea55cd5e15d44d4490afb2,3011265,bank-side collateral / registry / filing-control / provenance,"Identifica Macro Fiducia S.A. y deuda total en miles de pesos: 3.331,10 (dic-2010), 630,30 (jun-2011) y 39,60 (dic-2011), un registro, 100% situación normal."
