variable,known,needed,why
contrato y versión,ejecutado 19/08/2005 según AGN,contraparte firmada y anexos,identificar obligados y prelación
mínimo trimestral,USD 8m,calendario de trimestres y regla del primer período,definir base exigible
desembolso efectivo,"USD 831.246,65 al 31/12/2005",fecha valor y cartera por IFI,saldo/ponderación temporal
tasa,"0,75% anual","day-count, redondeo y devengamiento",convertir tasa anual a semestre/trimestre
imputación,UCP propuso monto por banco,instructivo 27/12/2005 y liquidaciones,"separar Macro, Credicoop y fiduciario"
compensación,UCP propuso arrastrar defectos/excesos hasta fin 2006,ledger trimestral 2006,evitar sobreestimar cargo
demora/dispensa,UCP consideró demorar percepción,acto competente y fundamento,"exigibilidad, intereses y prescripción"
acto 2014,SIGEN reporta Res. 1406,"acto, anexos, notificación y expediente",monto intimado y motivación
recursos,reconsideración con jerárquico en subsidio,"escritos, dictámenes y decisión",firmeza y agotamiento administrativo
pago/contabilidad,no localizado,"mayores, extractos, provisiones, cobros y baja",daño residual y satisfacción
