year,opening_ars,opening_foreign,debit_ars,credit_ars,closing_ars,closing_foreign,extract_foreign,ars_identity_gap,closing_vs_extract_foreign_gap,implied_closing_ars_per_foreign,evidence_status,source,legal_limit
2006,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,RETROSPECTIVE_2005_ZERO_NO_2006_INFORMATION,Cuenta 2006 PDF 116,"cuenta/valuación no identifica pagador, acto, deuda firme, pago, daño o responsabilidad"
2007,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,RETROSPECTIVE_2005_ZERO_NO_2007_INFORMATION,Cuenta 2007 PDF 125,"cuenta/valuación no identifica pagador, acto, deuda firme, pago, daño o responsabilidad"
2008,21619.80,6953.94,10231.26,0.00,31851.06,9332.28,10186.68,0.00,-854.40,3.412999,INCONSISTENT_NO_EXTRACT_REFERENCE_FX,Cuenta 2008 PDF 118,"cuenta/valuación no identifica pagador, acto, deuda firme, pago, daño o responsabilidad"
2009,34767.14,10186.68,11314.45,226.46,45855.13,12195.51,12305.78,0.00,-110.27,3.760001,INCONSISTENT_FORMULA_AND_FX,Cuenta 2009 PDF 143,"cuenta/valuación no identifica pagador, acto, deuda firme, pago, daño o responsabilidad"
2010,46269.73,12305.78,6310.62,0.00,52580.35,13358.83,13358.83,0.00,0.00,3.936000,TABLE_TIES_EXTRACT_COUNTERPARTY_OPEN,Cuenta 2010 PDF 194,"cuenta/valuación no identifica pagador, acto, deuda firme, pago, daño o responsabilidad"
2011,52580.35,13358.83,5301.53,0.00,57881.88,13574.55,13574.55,0.00,0.00,4.264000,TABLE_TIES_EXTRACT_COUNTERPARTY_OPEN,Cuenta 2011 PDF 201,"cuenta/valuación no identifica pagador, acto, deuda firme, pago, daño o responsabilidad"
2012,57881.88,13574.55,8385.02,0.00,66266.90,13584.85,13584.85,0.00,0.00,4.878000,TABLE_TIES_EXTRACT_COUNTERPARTY_OPEN,Cuenta 2012 PDF 223,"cuenta/valuación no identifica pagador, acto, deuda firme, pago, daño o responsabilidad"
2013,66266.90,13584.85,21776.51,0.00,88043.41,13584.85,13584.85,0.00,0.00,6.481000,ME_STABLE_PESO_REMEASUREMENT,Cuenta 2013 PDF 220,"cuenta/valuación no identifica pagador, acto, deuda firme, pago, daño o responsabilidad"
2014,88043.41,13584.85,26762.16,0.00,114805.57,13584.85,13584.85,0.00,0.00,8.451000,ME_STABLE_PESO_REMEASUREMENT,Cuenta 2014 PDF 223,"cuenta/valuación no identifica pagador, acto, deuda firme, pago, daño o responsabilidad"
2015,114805.57,13584.85,0.00,0.00,175787.96,13584.85,13584.85,60982.39,0.00,12.940000,ARITHMETIC_GAP_OR_UNSHOWN_VALUATION,Cuenta 2015 PDF 220,"cuenta/valuación no identifica pagador, acto, deuda firme, pago, daño o responsabilidad"
2016,175787.96,13584.85,38716.82,0.00,214504.78,13584.85,13584.85,0.00,0.00,15.790000,ME_STABLE_PESO_REMEASUREMENT,Cuenta 2016 PDF 160,"cuenta/valuación no identifica pagador, acto, deuda firme, pago, daño o responsabilidad"
2017,214504.78,13584.85,37480.60,0.00,251985.38,13584.85,13584.85,0.00,0.00,18.549000,ME_STABLE_PESO_REMEASUREMENT,Cuenta 2017 PDF 245,"cuenta/valuación no identifica pagador, acto, deuda firme, pago, daño o responsabilidad"
2018,251985.38,13584.85,330950.04,13584.85,569350.57,15182.68,0.00,0.00,15182.68,37.500005,UEPEX_ZERO_CGN_RECONSTRUCTION_WITHOUT_BANK_IDENTIFIABLE_SUPPORT,Cuenta 2018 PDF 249,"cuenta/valuación no identifica pagador, acto, deuda firme, pago, daño o responsabilidad"
