search_id,exact_query_or_control,result,status,official_result_url,searched_on,negative_inference_limit,next_action
XP148_01,83106000,Cuenta 2008 Anexo K,EXACT_PUBLIC_REFERENCE_ROW_ONLY,https://www.economia.gob.ar/hacienda/cgn/cuenta/2008/archivos/sdp.pdf,2026-08-31,"No prueba inexistencia, expurgo ni falta de pago.","Pedido por serie, sistema, custodio, parámetros, archivo y hash."
XP148_02,71597,Sólo dentro de la fila publicada 2008,EXACT_PUBLIC_REFERENCE_ROW_ONLY,https://www.economia.gob.ar/hacienda/cgn/cuenta/2008/archivos/sdp.pdf,2026-08-31,"No prueba inexistencia, expurgo ni falta de pago.","Pedido por serie, sistema, custodio, parámetros, archivo y hash."
XP148_03,152677,Sólo dentro de la fila publicada 2008,EXACT_PUBLIC_REFERENCE_ROW_ONLY,https://www.economia.gob.ar/hacienda/cgn/cuenta/2008/archivos/sdp.pdf,2026-08-31,"No prueba inexistencia, expurgo ni falta de pago.","Pedido por serie, sistema, custodio, parámetros, archivo y hash."
XP148_04,2876,Sólo dentro de la fila publicada dentro del universo controlado,EXACT_PUBLIC_REFERENCE_ROW_ONLY,https://www.economia.gob.ar/hacienda/cgn/cuenta/2008/archivos/sdp.pdf,2026-08-31,"No prueba inexistencia, expurgo ni falta de pago.","Pedido por serie, sistema, custodio, parámetros, archivo y hash."
XP148_05,"32.270,30",Sólo como importe agregado de la fila,EXACT_PUBLIC_REFERENCE_ROW_ONLY,https://www.economia.gob.ar/hacienda/cgn/cuenta/2008/archivos/sdp.pdf,2026-08-31,"No prueba inexistencia, expurgo ni falta de pago.","Pedido por serie, sistema, custodio, parámetros, archivo y hash."
XP148_06,COMISIONES - BANCO NACION,Continuidad anual; cuerpos target no,REFERENCE_SERIES_ONLY,https://www.economia.gob.ar/hacienda/cgn/cuenta/2008/archivos/sdp.pdf,2026-08-31,"No prueba inexistencia, expurgo ni falta de pago.","Pedido por serie, sistema, custodio, parámetros, archivo y hash."
XP148_07,71597 expediente,Sin cuerpo oficial individualizable,PUBLIC_BODY_NOT_LOCATED,N/A,2026-08-31,"No prueba inexistencia, expurgo ni falta de pago.","Pedido por serie, sistema, custodio, parámetros, archivo y hash."
XP148_08,152677 expediente,Sin cuerpo oficial individualizable,PUBLIC_BODY_NOT_LOCATED,N/A,2026-08-31,"No prueba inexistencia, expurgo ni falta de pago.","Pedido por serie, sistema, custodio, parámetros, archivo y hash."
XP148_09,2876 SIDIF 2008,Sin cuerpo oficial individualizable,PUBLIC_BODY_NOT_LOCATED,N/A,2026-08-31,"No prueba inexistencia, expurgo ni falta de pago.","Pedido por serie, sistema, custodio, parámetros, archivo y hash."
XP148_10,83106000 C-41 C-55,Sin clasificación target pública,TARGET_DOCUMENT_TYPE_OPEN,N/A,2026-08-31,"No prueba inexistencia, expurgo ni falta de pago.","Pedido por serie, sistema, custodio, parámetros, archivo y hash."
XP148_11,83106000 Banco Nación 32270,"Sin orden, extracto o conciliación pública",TARGET_SETTLEMENT_BODY_NOT_LOCATED,N/A,2026-08-31,"No prueba inexistencia, expurgo ni falta de pago.","Pedido por serie, sistema, custodio, parámetros, archivo y hash."
XP148_12,negative_limit,No localizado públicamente no equivale a inexistente,CONTROLLED_NEGATIVE,N/A,2026-08-31,"No prueba inexistencia, expurgo ni falta de pago.","Pedido por serie, sistema, custodio, parámetros, archivo y hash."

