file,pages,result
uai_saf362_informe_22_2023_cierre_cambio_administracion.pdf,6;11;20;21,PASS_BUDGET_ACCOUNT_AND_SUCCESSOR_CONTEXT
uai_informe_3_2022_cierre_ejercicio_2021_saf362.pdf,2,PASS_RECONCILIATION_FINDING_DATE_CAVEAT
uai_informe_9_2022_cuenta_inversion_2021_saf362.pdf,4,PASS_CUADRO1_RECONCILIATION
uai_informe_2_2023_cierre_ejercicio_2022_saf362.pdf,2,PASS_OLD_UNRECONCILED_ITEMS
uai_informe_3_2023_cuenta_inversion_2022_saf362.pdf,2,PASS_CUADRO1_AND_BID2923_NEGATIVE_CONTROL
uai_informe_17_2023_fondep.pdf,2,PASS_FONDEP_CONTROL_COMPARATOR
uai_informe_1_2024_cierre_ejercicio_2023_saf362.pdf,2,PASS_PRIOR_YEAR_ITEMS_FS16_GAP
uai_informe_4_2024_cuenta_inversion_2023_saf362.pdf,2-3,PASS_CUADRO1_AND_FONDEP_STATEMENTS_GAP
uai_informe_2_2025_cierre_ejercicio_2024_saf362.pdf,2-3,PASS_PRIOR_YEAR_ITEMS_GENERIC
uai_cuenta_inversion_2024_saf362_2025.pdf,2-3,PASS_CUADRO1_RECONCILIATION_GENERIC
