source_id,url,provenance,materialized_local,local_path,bytes,sha256,mime,retrieval_status,strict_gate,notes
BCRA_PRIVATE_HOLDER_STOCKS_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/perser_priv.xls,OFFICIAL_BCRA_ENDPOINT_WEB_VERIFIED,False,,N/D,N/D,N/D,BYTE_GATE_FAILED_CURRENT_RUNTIME,FAIL_VALUES_BYTES,Official link exposed from BCRA loans/deposits pages. Stock source only; even with bytes it would not itself allocate accrued interest result.
BCRA_PUBLIC_HOLDER_STOCKS_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/perser_pub.xls,OFFICIAL_BCRA_ENDPOINT_WEB_VERIFIED,False,,N/D,N/D,N/D,BYTE_GATE_FAILED_CURRENT_RUNTIME,FAIL_VALUES_BYTES,Official binary endpoint verified via BCRA page.
BCRA_PUBLIC_SECURITIES_BY_ISSUER_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/titpubser.xls,OFFICIAL_BCRA_ENDPOINT_WEB_VERIFIED,False,,N/D,N/D,N/D,BYTE_GATE_FAILED_CURRENT_RUNTIME,FAIL_VALUES_BYTES,Issuer stock is not result contribution; requires a same-window result bridge.
BCRA_UVA_LOANS_MONTHLY_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/finuva_mensual.xls,OFFICIAL_BCRA_ENDPOINT_WEB_VERIFIED,False,,N/D,N/D,N/D,BYTE_GATE_FAILED_CURRENT_RUNTIME,FAIL_VALUES_BYTES,Potential gross indexed-asset leg; result reconciliation still required.
BCRA_UVA_DEPOSITS_MONTHLY_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/depuva_mensual.xls,OFFICIAL_BCRA_ENDPOINT_WEB_VERIFIED,False,,N/D,N/D,N/D,BYTE_GATE_FAILED_CURRENT_RUNTIME,FAIL_VALUES_BYTES,Potential gross indexed-liability leg; result reconciliation still required.
BCRA_BANK_DEC2023_SERIES_XLSX,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Infbanc1223.xlsx,OFFICIAL_BCRA_ENDPOINT_WEB_VERIFIED,False,,N/D,N/D,N/D,BYTE_GATE_FAILED_CURRENT_RUNTIME,FAIL_VALUES_BYTES,Official page advertises this file. Browser identifies XLSX endpoint but cannot expose binary bytes.
BCRA_BANK_DEC2023_ANEXO_XLSX,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc_Anexo.xlsx,OFFICIAL_BCRA_ENDPOINT_WEB_VERIFIED,False,,N/D,N/D,N/D,BYTE_GATE_FAILED_CURRENT_RUNTIME,FAIL_VALUES_BYTES,"Filename is generic on server; current endpoint may be overwritten by later editions, so a downloaded byte snapshot must be versioned immediately."
BCRA_BANK_DEC2018_SERIES_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Infbanc1218.xls,OFFICIAL_BCRA_ENDPOINT_WEB_VERIFIED,False,,N/D,N/D,N/D,BYTE_GATE_FAILED_CURRENT_RUNTIME,FAIL_VALUES_BYTES,Needed for historical 2018 compatibility checks.
BCRA_BALANCE_DETAIL_RESULTS_XLS,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/baldethis.xls,OFFICIAL_BCRA_ENDPOINT_WEB_VERIFIED,False,,N/D,N/D,N/D,BYTE_GATE_FAILED_CURRENT_RUNTIME,FAIL_VALUES_BYTES,Highest-priority candidate for subaccount/result reconstruction. BCRA methodological notes state these data come from processed financial-institution accounting balances.
BCRA_INFO_ENTITIES_OPEN_DATA,https://www.bcra.gob.ar/informacion-sobre-entidades-financieras/,OFFICIAL_BCRA_ENDPOINT_WEB_VERIFIED,False,,N/D,N/D,N/D,BYTE_GATE_FAILED_CURRENT_RUNTIME,FAIL_VALUES_BYTES,Potential entity-level subaccount source. Runtime did not resolve the month-specific .7z endpoint.
BCRA_DIN3_TXT,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/din3_ser.txt,OFFICIAL_BCRA_ENDPOINT_WEB_VERIFIED,False,,N/D,N/D,N/D,BYTE_GATE_FAILED_CURRENT_RUNTIME,FAIL_VALUES_BYTES,"Useful for stock validation, not sufficient for income/result allocation."
BCRA_DIN4_TXT,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/din4_ser.txt,OFFICIAL_BCRA_ENDPOINT_WEB_VERIFIED,False,,N/D,N/D,N/D,BYTE_GATE_FAILED_CURRENT_RUNTIME,FAIL_VALUES_BYTES,"Useful for funding stock validation, not sufficient for sectoral accrued-interest result."
BCRA_ES_SERIES_METADATA_CACHE,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/es_series.txt,USER_PROVIDED_GITHUB_CACHE; OFFICIAL CURRENT PAGE CONFIRMS SAME ENDPOINT,True,raw_cache/es_series.txt,5827774,46089e8501001529f6a089e9981fb72f1e5f46e8817504ddc76f18996f28dd2b,text/plain; legacy latin1,MATERIALIZED_FROM_USER_REPO_CACHE,PASS_SCHEMA_BYTES_ONLY,"Supports subaccount schema/methodology, not 2023 monthly values. Current BCRA TXT page says catalog version is updated through 2021; do not assume every legacy code remains numerically continuous through 2023 without value-file verification."
