series_code,description,method_note,periodicity,v55_role,axis_value,usable_for_2023_numeric_reconciliation,source_provenance,source_sha256
1150,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados mensuales, en miles de pesos - Total",Refleja los resultados netos (calculados por diferencia entre los totales del ejercicio acumulados en el mes corriente y el mes anterior) devengados en el mes con independencia de que se hayan efectivizado. Las entidades deducen de las cuentas de origen los ingresos que devuelven o los egresos que recobren dentro del mismo ejercicio en el que se hubieran originado.,M,monthly_total_result,supporting_subaccount,NO_VALUES_MATERIALIZED,USER_GITHUB_CACHE_OF_BCRA_ES_SERIES,46089e8501001529f6a089e9981fb72f1e5f46e8817504ddc76f18996f28dd2b
1151,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados mensuales, en miles de pesos - Intereses ganados - Total","Suma de las ganancias devengadas por distintos conceptos (por primas de futuro vinculadas con pases activos y con operaciones de venta de moneda extranjera y por el resto de las operaciones realizadas en ejercicio de la actividad habitual de intermediación, entre otros)",M,earned_interest_total,supporting_subaccount,NO_VALUES_MATERIALIZED,USER_GITHUB_CACHE_OF_BCRA_ES_SERIES,46089e8501001529f6a089e9981fb72f1e5f46e8817504ddc76f18996f28dd2b
1152,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados mensuales, en miles de pesos - Intereses ganados - Por disponibilidades","Incluye, entre otras, las ganancias devengadas por intereses de la cuenta Requisitos de liquidez -Comunicación A 2350 - abierta en bancos autorizados del exterior.",M,earned_interest_liquidity,supporting_subaccount,NO_VALUES_MATERIALIZED,USER_GITHUB_CACHE_OF_BCRA_ES_SERIES,46089e8501001529f6a089e9981fb72f1e5f46e8817504ddc76f18996f28dd2b
1153,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados mensuales, en miles de pesos - Intereses ganados - Por préstamos","Corresponde a las ganancias devengadas por intereses de los capitales prestados, y de los correspondientes a los pagarés Bonos del Gobierno Nacional en pesos 2porcentaje 2007 y en dólares estadounidenses Libor 2012 y por la actualización de los capitales prestados con cláusula de ajuste",M,earned_interest_loans_plus_indexation,accounting_source_not_sector,NO_VALUES_MATERIALIZED,USER_GITHUB_CACHE_OF_BCRA_ES_SERIES,46089e8501001529f6a089e9981fb72f1e5f46e8817504ddc76f18996f28dd2b
1154,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados mensuales, en miles de pesos - Intereses ganados - Por activos emergentes de operaciones a término vinculadas con: - Pases activos",Corresponde a las ganancias devengadas por primas de futuro vinculadas con pases activos.,M,earned_interest_active_passes,counterparty_candidate_if_instrument_identity_known,NO_VALUES_MATERIALIZED,USER_GITHUB_CACHE_OF_BCRA_ES_SERIES,46089e8501001529f6a089e9981fb72f1e5f46e8817504ddc76f18996f28dd2b
1155,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados mensuales, en miles de pesos - Intereses ganados - Por activos emergentes de operaciones a término vinculadas con: - Venta de mon. ext.",Corresponde a las ganancias devengadas por primas originadas en operaciones de venta de moneda extranjera -liquidables o no en pesos- concertadas a futuro.,M,earned_interest_fx_forward_sales,accounting_mode_forward_fx,NO_VALUES_MATERIALIZED,USER_GITHUB_CACHE_OF_BCRA_ES_SERIES,46089e8501001529f6a089e9981fb72f1e5f46e8817504ddc76f18996f28dd2b
1156,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados mensuales, en miles de pesos - Intereses ganados - Por otras financiaciones por intermediación financiera",Incluye el resto de las ganancias devengadas por operaciones realizadas en ejercicio de la actividad de intermediación habitual entre la oferta y demanda de recursos financieros (que no correspondan a intereses o actualizaciones por préstamos ni a primas de futuro).,M,earned_interest_other_financing,supporting_subaccount,NO_VALUES_MATERIALIZED,USER_GITHUB_CACHE_OF_BCRA_ES_SERIES,46089e8501001529f6a089e9981fb72f1e5f46e8817504ddc76f18996f28dd2b
1157,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados mensuales, en miles de pesos - Intereses pagados - Total","Corresponde a las suma de las pérdidas devengadas por distintos conceptos (intereses por depósitos y sobre capitales de obligaciones subordinadas,por primas de operaciones de pase pasivo y por el resto de operaciones realizadas en la actividad de intermediación habitual, entre otros)",M,paid_interest_total,supporting_subaccount,NO_VALUES_MATERIALIZED,USER_GITHUB_CACHE_OF_BCRA_ES_SERIES,46089e8501001529f6a089e9981fb72f1e5f46e8817504ddc76f18996f28dd2b
1158,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados mensuales, en miles de pesos - Intereses pagados - Por depósitos","Corresponde a las pérdidas devengadas por intereses de los capitales recibidos bajo la forma de depósitos, letras de plazo fijo u otras inversiones a plazo y por la actualización de los capitales recibidos con cláusula de ajuste.",M,paid_interest_deposits_plus_indexation,accounting_source_not_holder_sector,NO_VALUES_MATERIALIZED,USER_GITHUB_CACHE_OF_BCRA_ES_SERIES,46089e8501001529f6a089e9981fb72f1e5f46e8817504ddc76f18996f28dd2b
1159,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados mensuales, en miles de pesos - Intereses pagados - Por pasivos emergentes de operaciones a término vinculadas con: - Pases pasivos",Incluye las pérdidas devengadas por las primas de operaciones de pase pasivo -liquidable o no en pesos- a término.,M,paid_interest_passive_passes,counterparty_candidate_if_passive_pass_instrument_identity_known,NO_VALUES_MATERIALIZED,USER_GITHUB_CACHE_OF_BCRA_ES_SERIES,46089e8501001529f6a089e9981fb72f1e5f46e8817504ddc76f18996f28dd2b
