series_code,legacy_description,modern_description,modern_public_name,legacy_periodicity,modern_periodicity,modern_txt_location,legacy_role,description_continuity,methodology_note_continuity,published_series_id_continuity,underlying_niif_account_equivalence,modern_catalog_sha256,modern_catalog_provenance
1150,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados mensuales, en miles de pesos - Total","Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Total",Resultados Mensuales de entidades financieras -total,M,Mensual,DIN1,monthly_total_result,EXACT_NORMALIZED,EXACT_NORMALIZED,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,NOT_FULLY_IDENTIFIED_FROM_SERIES_METADATA_ALONE,3d9a98fa443b833ebb34c814863c1259a89d4ab8d59570578ee030c00288b5d0,BCRA Series_estadisticas.xlsx; repo cache consultation 2026-08-21
1151,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados mensuales, en miles de pesos - Intereses ganados - Total","Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Intereses ganados - Total",Resultados Mensuales de entidades financieras por intereses ganados totales,M,Mensual,DIN1,earned_interest_total,EXACT_NORMALIZED,TEXT_CHANGED_OR_REFORMATTED_DO_NOT_USE_AS_ACCOUNT_IDENTITY,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,NOT_FULLY_IDENTIFIED_FROM_SERIES_METADATA_ALONE,3d9a98fa443b833ebb34c814863c1259a89d4ab8d59570578ee030c00288b5d0,BCRA Series_estadisticas.xlsx; repo cache consultation 2026-08-21
1152,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados mensuales, en miles de pesos - Intereses ganados - Por disponibilidades","Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Intereses ganados - Por disponibilidades",Resultados Mensuales de entidades financieras por intereses ganados de disponibilidades,M,Mensual,DIN1,earned_interest_liquidity,EXACT_NORMALIZED,EXACT_NORMALIZED,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,NOT_FULLY_IDENTIFIED_FROM_SERIES_METADATA_ALONE,3d9a98fa443b833ebb34c814863c1259a89d4ab8d59570578ee030c00288b5d0,BCRA Series_estadisticas.xlsx; repo cache consultation 2026-08-21
1153,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados mensuales, en miles de pesos - Intereses ganados - Por préstamos","Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Intereses ganados - Por préstamos ",Resultados Mensuales de entidades financieras por intereses ganados de préstamos ,M,Mensual,DIN1,earned_interest_loans_plus_indexation,EXACT_NORMALIZED,TEXT_CHANGED_OR_REFORMATTED_DO_NOT_USE_AS_ACCOUNT_IDENTITY,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,NOT_FULLY_IDENTIFIED_FROM_SERIES_METADATA_ALONE,3d9a98fa443b833ebb34c814863c1259a89d4ab8d59570578ee030c00288b5d0,BCRA Series_estadisticas.xlsx; repo cache consultation 2026-08-21
1154,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados mensuales, en miles de pesos - Intereses ganados - Por activos emergentes de operaciones a término vinculadas con: - Pases activos","Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Intereses ganados - Por activos emergentes de operaciones a término vinculadas con: - Pases activos",Resultados Mensuales de entidades financieras por intereses ganados de pases activos,M,Mensual,DIN1,earned_interest_active_passes,EXACT_NORMALIZED,EXACT_NORMALIZED,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,NOT_FULLY_IDENTIFIED_FROM_SERIES_METADATA_ALONE,3d9a98fa443b833ebb34c814863c1259a89d4ab8d59570578ee030c00288b5d0,BCRA Series_estadisticas.xlsx; repo cache consultation 2026-08-21
1155,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados mensuales, en miles de pesos - Intereses ganados - Por activos emergentes de operaciones a término vinculadas con: - Venta de mon. ext.","Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Intereses ganados - Por activos emergentes de operaciones a término vinculadas con: - Venta de mon.ext.",Resultados Mensuales de entidades financieras por intereses ganados de activos emergentes de operaciones a término vinculadas con venta de mon.ext.,M,Mensual,DIN1,earned_interest_fx_forward_sales,EXACT_NORMALIZED,TEXT_CHANGED_OR_REFORMATTED_DO_NOT_USE_AS_ACCOUNT_IDENTITY,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,NOT_FULLY_IDENTIFIED_FROM_SERIES_METADATA_ALONE,3d9a98fa443b833ebb34c814863c1259a89d4ab8d59570578ee030c00288b5d0,BCRA Series_estadisticas.xlsx; repo cache consultation 2026-08-21
1156,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados mensuales, en miles de pesos - Intereses ganados - Por otras financiaciones por intermediación financiera","Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Intereses ganados - Por otras financiaciones por intermediación financiera",Resultados Mensuales de entidades financieras por intereses ganados de otras financiaciones por intermediación financiera,M,Mensual,DIN1,earned_interest_other_financing,EXACT_NORMALIZED,TEXT_CHANGED_OR_REFORMATTED_DO_NOT_USE_AS_ACCOUNT_IDENTITY,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,NOT_FULLY_IDENTIFIED_FROM_SERIES_METADATA_ALONE,3d9a98fa443b833ebb34c814863c1259a89d4ab8d59570578ee030c00288b5d0,BCRA Series_estadisticas.xlsx; repo cache consultation 2026-08-21
1157,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados mensuales, en miles de pesos - Intereses pagados - Total","Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Intereses pagados - Total",Resultados Mensuales de entidades financieras por intereses pagados totales,M,Mensual,DIN1,paid_interest_total,EXACT_NORMALIZED,TEXT_CHANGED_OR_REFORMATTED_DO_NOT_USE_AS_ACCOUNT_IDENTITY,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,NOT_FULLY_IDENTIFIED_FROM_SERIES_METADATA_ALONE,3d9a98fa443b833ebb34c814863c1259a89d4ab8d59570578ee030c00288b5d0,BCRA Series_estadisticas.xlsx; repo cache consultation 2026-08-21
1158,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados mensuales, en miles de pesos - Intereses pagados - Por depósitos","Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Intereses pagados - Por depósitos ",Resultados Mensuales de entidades financieras deintereses pagados por depósitos ,M,Mensual,DIN1,paid_interest_deposits_plus_indexation,EXACT_NORMALIZED,EXACT_NORMALIZED,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,NOT_FULLY_IDENTIFIED_FROM_SERIES_METADATA_ALONE,3d9a98fa443b833ebb34c814863c1259a89d4ab8d59570578ee030c00288b5d0,BCRA Series_estadisticas.xlsx; repo cache consultation 2026-08-21
1159,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados mensuales, en miles de pesos - Intereses pagados - Por pasivos emergentes de operaciones a término vinculadas con: - Pases pasivos","Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Intereses pagados - Por pasivos emergentes de operaciones a término vinculadas con: - Pases pasivos",Resultados Mensuales de entidades financieras por intereses pagados por pases pasivos,M,Mensual,DIN1,paid_interest_passive_passes,EXACT_NORMALIZED,EXACT_NORMALIZED,SUPPORTED_SAME_ID_IN_MODERN_OFFICIAL_CATALOG,NOT_FULLY_IDENTIFIED_FROM_SERIES_METADATA_ALONE,3d9a98fa443b833ebb34c814863c1259a89d4ab8d59570578ee030c00288b5d0,BCRA Series_estadisticas.xlsx; repo cache consultation 2026-08-21
